dataflow_kernel_id,kernel_path,helper_source_path,helper_call_ids,host_id,host_path,host_line,relationship
DF001,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,D001,DH001,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/op.py,26,path fragment (reviewed separately)
DF002,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,D002,DH002,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/test_udm_reduction_interleaved.cpp,89,exact path
DF003,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,D003,DH003,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp,226,exact path
DF004,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,D004,DH003,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp,216,exact path
DF005,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_worker_writer.cpp,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,D005; D006,F034,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,1221,exact path
DF006,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_writer.cpp,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,D005; D006,F034,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,1179,exact path
DF007,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,D007; D008; D009,F035,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/rms_allgather_program_factory.cpp,797,exact path
DF008,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,D010,F036,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/attn_res_gather_softmax_program_factory.cpp,346,path fragment (reviewed separately)
DF009,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,D011,F040,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/indexer_score_program_factory.cpp,364,path fragment (reviewed separately)
DF009,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,D011,F041,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/ring_indexer_score_dsa_program_factory.cpp,459,path fragment (reviewed separately)
DF010,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/dataflow/reader_sigmoid_gated_rms_norm.cpp,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/dataflow/reader_sigmoid_gated_rms_norm.cpp,D012,F043,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/sigmoid_gated_rms_norm_program_factory.cpp,97,exact path
DF011,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_rm.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_rm.cpp,D013,F047,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,206,exact path
DF012,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,D014,F047,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,208,exact path
DF012,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,D014,DH004,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/welford_reduce_program_factory.cpp,333,exact path
DF013,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id_metal2.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id_metal2.cpp,D015,F048,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,133,path fragment (reviewed separately)
DF014,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_interleaved_input_cols_partitioned_sharded.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_interleaved_input_cols_partitioned_sharded.cpp,D016,,,,No static host reference
DF015,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,D017,DH004,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/welford_reduce_program_factory.cpp,325,exact path
DF016,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned_metal2.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned_metal2.cpp,D018,F046,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,140,path fragment (reviewed separately)
DF017,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,D019,DH005,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/joint_sdpa_program_factory.cpp,468,exact path
DF018,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,D020,DH006,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/sdpa_program_factory.cpp,1563,exact path
DF019,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,D021,DH007,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa_decode/device/sdpa_decode_program_factory.cpp,1077,path fragment (reviewed separately)
