call_id,source_id,category,area,source_path,line,end_line,api,template_arguments,arguments,migration_flags
R127,S034,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,252,257,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, pre_intermediate_cb, reduce_scalar_sum_cb, stats_dest_cb",compute_kernel_lib::ReduceInputBlockShape::single(),
R128,S034,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,310,315,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, pre_intermediate_cb, reduce_scalar_sum_cb, stats_dest_cb",compute_kernel_lib::ReduceInputBlockShape::single(),
R129,S034,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,388,397,compute_kernel_lib::reduce,"PoolType::AVG, ReduceDim::REDUCE_ROW, stats_gathered_cb, reduce_scalar_avg_cb, reduce_result_cb","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, eps_rsqrt",named post-op callback
R130,S034,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,486,495,compute_kernel_lib::reduce,"PoolType::AVG, ReduceDim::REDUCE_ROW, stats_gathered_cb, reduce_scalar_avg_cb, reduce_result_cb","compute_kernel_lib::ReduceInputBlockShape::row(stats_tiles_cols), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, eps_rsqrt",named post-op callback
R134,S035,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,182,189,compute_kernel_lib::reduce,"PoolType::AVG, ReduceDim::REDUCE_ROW, cb_ex_external2, cb_scaler_global, cb_to_allgather_writer, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT",reduce_block,
R135,S035,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,191,198,compute_kernel_lib::reduce,"PoolType::AVG, ReduceDim::REDUCE_ROW, cb_ex_external2, cb_scaler_global, cb_ex2, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT",reduce_block,
R136,S035,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,220,228,compute_kernel_lib::reduce,"PoolType::AVG, ReduceDim::REDUCE_ROW, cb_stats, post_cb_scaler_global, cb_var, compute_kernel_lib::ReduceInputPolicy::NoWaitNoPop, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT",compute_kernel_lib::ReduceInputBlockShape::row(num_distributed_blocks),
R137,S036,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp,108,114,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, cb_tmp, cb_scaler, cb_local_stats, compute_kernel_lib::ReduceInputPolicy::BulkWaitBulkPop",compute_kernel_lib::ReduceInputBlockShape::row(Wt),
R147,S039,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,597,607,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_ROW, cb_acc_strip, cb_scaler, cb_out_strip, compute_kernel_lib::ReduceInputPolicy::BulkWaitBulkPop","compute_kernel_lib::ReduceInputBlockShape::of( blocks_per_unit, block_tiles, q_tiles_per_unit)",
R148,S040,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp,398,402,reduce,"ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, SquaredDfb, dfb::ones, InverseNormsDfb","compute_kernel_lib::ReduceInputBlockShape::of(row_tiles, column_tiles), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, inverse_norm",
