dataflow_kernel_id,kernel_path,kind,helper_reach,helper_source_paths,helper_call_ids,helper_sites_reached,host_paths,notes
DF001,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,C++ dataflow kernel,direct,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,D001,1,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/op.py,
DF002,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,C++ dataflow kernel,direct,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,D002,1,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/test_udm_reduction_interleaved.cpp,
DF003,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,C++ dataflow kernel,direct,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,D003,1,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp,
DF004,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,C++ dataflow kernel,direct,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,D004,1,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp,
DF005,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_worker_writer.cpp,C++ dataflow kernel,shared header,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,D005; D006,2,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,"Both DiT writers call dit_rmsnorm_generate_scalars_and_transmat; the two helper sites are shared, counted once."
DF006,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_writer.cpp,C++ dataflow kernel,shared header,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,D005; D006,2,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,"Both DiT writers call dit_rmsnorm_generate_scalars_and_transmat; the two helper sites are shared, counted once."
DF007,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,D007; D008; D009,3,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/rms_allgather_program_factory.cpp,
DF008,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,D010,1,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/attn_res_gather_softmax_program_factory.cpp,
DF009,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,D011,1,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/indexer_score_program_factory.cpp; ttnn/cpp/ttnn/operations/experimental/indexer_score/device/ring_indexer_score_dsa_program_factory.cpp,
DF010,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/dataflow/reader_sigmoid_gated_rms_norm.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/dataflow/reader_sigmoid_gated_rms_norm.cpp,D012,1,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/sigmoid_gated_rms_norm_program_factory.cpp,
DF011,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_rm.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_rm.cpp,D013,1,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,
DF012,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,D014,1,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp; ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/welford_reduce_program_factory.cpp,
DF013,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id_metal2.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id_metal2.cpp,D015,1,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,
DF014,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_interleaved_input_cols_partitioned_sharded.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_interleaved_input_cols_partitioned_sharded.cpp,D016,1,,"No static host reference found; retained as a legacy consumer, not credited with execution coverage."
DF015,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,D017,1,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/welford_reduce_program_factory.cpp,
DF016,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned_metal2.cpp,C++ dataflow kernel,direct,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned_metal2.cpp,D018,1,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,
