factory_id,factory_path,reference_lines,kind,builder_definitions,entry_kernel_ids,reduce_source_ids
F024,tests/ttnn/unit_tests/operations/fused/parallel_sequential/test_parallel_sequential.py,1432,source composition test only,_compile_source:1499,K100,S089
F034,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,1347,program builder,DitFusedDistributedRmsnormMeshWorkloadFactory::create_at:363; DitFusedDistributedRmsnormMeshWorkloadFactory::create_mesh_workload:1494,K044,S034
F035,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/rms_allgather_program_factory.cpp,828,program builder,RMSAllGatherMeshWorkloadFactory::create_at:34; RMSAllGatherMeshWorkloadFactory::create_mesh_workload:1221,K045,S035
F036,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/attn_res_gather_softmax_program_factory.cpp,373,program builder,AttnResGatherSoftmaxMeshWorkloadFactory::create_at:78; AttnResGatherSoftmaxMeshWorkloadFactory::create_mesh_workload:537,K046,S036
F040,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/indexer_score_program_factory.cpp,369,program builder,IndexerScoreProgramFactory::create_at:62; IndexerScoreProgramFactory::create_mesh_workload:476,K050,S039
F041,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/ring_indexer_score_dsa_program_factory.cpp,471,program builder,RingIndexerScoreDsaProgramFactory::create_workload_descriptor:698; RingIndexerScoreDsaMeshWorkloadFactory::create_mesh_workload:714; descriptor_adapter_t::create_mesh_workload:719,K050,S039
F042,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/prepare_chunk_recurrence_program_factory.cpp,233,program builder,PrepareChunkRecurrenceProgramFactory::create_program_artifacts:29; ttnn::create_reader_datamovement_config:168; ttnn::create_writer_datamovement_config:198,K051,S040
F043,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/sigmoid_gated_rms_norm_program_factory.cpp,144,program builder,SigmoidGatedRmsNormProgramFactory::create_program_artifacts:27; ttnn::create_reader_datamovement_config:115; ttnn::create_writer_datamovement_config:127,K052,S041
F046,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,168,program builder,ReduceDeviceOperation::ReduceMultiCoreHProgramFactory::create_program_artifacts:31; ttnn::create_reader_datamovement_config:151; ttnn::create_writer_datamovement_config:162,K057,S046
F047,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,254; 256,program builder,ReduceDeviceOperation::ReduceMultiCoreWProgramFactory::create_descriptor:20,K056; K058,S045; S047
F048,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,162,program builder,ReduceDeviceOperation::ReduceSingleCoreHwProgramFactory::create_program_artifacts:25; ttnn::create_reader_datamovement_config:143; ttnn::create_writer_datamovement_config:154,K057,S046
F052,ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/deepseek_grouped_gate_program_factory.cpp,299,program builder,DeepseekGroupedGateDeviceOperation::ProgramFactory::create_descriptor:19,K062,S051
F053,ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/hc_sum_reduce_program_factory.cpp,153,program builder,HCSumReduceProgramFactory::create_descriptor:17,K063,S052
F055,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/fused_rmsnorm_post_all_gather_program_factory.cpp,243,program builder,FusedRMSNormPostAllGatherProgramFactory::create_descriptor:18,K065,S054
F056,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/fused_rmsnorm_pre_all_gather_program_factory.cpp,123,program builder,FusedRMSNormPreAllGatherProgramFactory::create_descriptor:16,K066,S055
F057,ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/moreh_clip_grad_norm_step1_program_factory.cpp,34,program builder,MorehClipGradNormStep1Operation::create_descriptor:37,K067,S056
F058,ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/moreh_dot_program_factory.cpp,23,program builder,MorehDotOperation::ProgramFactory::create_program_artifacts:25,K068,S057
F059,ttnn/cpp/ttnn/operations/moreh/moreh_group_norm/device/moreh_group_norm_program_factory.cpp,251; 252,program builder,MorehGroupNormOperation::create_descriptor:52,K069; K070,S058; S059
F060,ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/gamma_beta_grad/moreh_group_norm_backward_gamma_beta_grad_factory.cpp,289,program builder,MorehGroupNormBackwardGammaBetaGradOperation::MorehGroupNormBackwardGammaBetaGradFactory::create_program_artifacts:13; ttnn::create_reader_datamovement_config:254; ttnn::create_writer_datamovement_config:282,K071,S060
F061,ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/input_grad/moreh_group_norm_backward_input_grad_factory.cpp,303; 305,program builder,MorehGroupNormBackwardInputGradOperation::MorehGroupNormBackwardInputGradFactory::create_program_artifacts:13; ttnn::create_reader_datamovement_config:280; ttnn::create_writer_datamovement_config:296,K072; K073,S061; S062
F062,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/moreh_layer_norm_program_factory.cpp,282; 283,program builder,MorehLayerNormOperation::ProgramFactory::create_descriptor:28,K069; K070,S058; S059
F063,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/moreh_layer_norm_backward_gamma_beta_grad_program_factory.cpp,286,program builder,MorehLayerNormBackwardGammaBetaGradOperation::MorehLayerNormBackwardGammaBetaGradFactory::create_program_artifacts:18; ttnn::create_reader_datamovement_config:254; ttnn::create_writer_datamovement_config:279,K071,S060
F064,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/moreh_layer_norm_backward_input_grad_program_factory.cpp,330; 332,program builder,MorehLayerNormBackwardInputGradOperation::MorehLayerNormBackwardInputGradFactory::create_program_artifacts:18; ttnn::create_reader_datamovement_config:307; ttnn::create_writer_datamovement_config:323,K072; K073,S061; S062
F065,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/moreh_linear_backward_multi_core_program_factory.cpp,246,program builder,MorehBiasAddBackwardOperation::MultiCoreProgramFactory::create_program_artifacts:17; ttnn::create_reader_datamovement_config:180; ttnn::create_writer_datamovement_config:193,K074,S063
F066,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/moreh_linear_backward_single_core_program_factory.cpp,294,program builder,MorehBiasAddBackwardOperation::SingleCoreProgramFactory::create_program_artifacts:16; ttnn::create_reader_datamovement_config:178; ttnn::create_writer_datamovement_config:191,K075,S064
F067,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/moreh_mean_h_program_factory.cpp,256,program builder,MorehMeanOperation::MorehMeanHFactory::create_program_artifacts:18; ttnn::create_reader_datamovement_config:161; ttnn::create_writer_datamovement_config:176,K076,S065
F068,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_program_factory_h_other.cpp,237,program builder,MorehNormOperation::ProgramFactoryHOther::create_program_artifacts:17; ttnn::create_reader_datamovement_config:192; ttnn::create_writer_datamovement_config:217,K079,S068
F069,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_program_factory_w_other.cpp,242,program builder,MorehNormOperation::ProgramFactoryWOther::create_program_artifacts:17; ttnn::create_reader_datamovement_config:197; ttnn::create_writer_datamovement_config:222,K080,S069
F070,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_h_large/softmax_h_large.cpp,223,program builder,MorehSoftmaxOperation::MorehSoftmaxHLargeFactory::create_program_artifacts:21; ttnn::create_reader_datamovement_config:151; ttnn::create_writer_datamovement_config:161,K082,S071
F071,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_h_small/softmax_h_small.cpp,228,program builder,MorehSoftmaxOperation::MorehSoftmaxHSmallFactory::create_program_artifacts:21; ttnn::create_reader_datamovement_config:150; ttnn::create_writer_datamovement_config:160,K081,S070
F072,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_w_large/softmax_w_large.cpp,233,program builder,MorehSoftmaxOperation::MorehSoftmaxWLargeFactory::create_program_artifacts:26; ttnn::create_reader_datamovement_config:159; ttnn::create_writer_datamovement_config:170,K084,S073
F073,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_w_small/softmax_w_small.cpp,238,program builder,MorehSoftmaxOperation::MorehSoftmaxWSmallFactory::create_program_artifacts:22; ttnn::create_reader_datamovement_config:154; ttnn::create_writer_datamovement_config:165,K083,S072
F074,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_h_large/softmax_backward_h_large.cpp,134,program builder,MorehSoftmaxBackwardOperation::MorehSoftmaxBackwardHLargeFactory::create_program_artifacts:20; ttnn::create_reader_datamovement_config:98; ttnn::create_writer_datamovement_config:111,K086,S075
F075,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_h_small/softmax_backward_h_small.cpp,127,program builder,MorehSoftmaxBackwardOperation::MorehSoftmaxBackwardHSmallFactory::create_program_artifacts:20; ttnn::create_reader_datamovement_config:92; ttnn::create_writer_datamovement_config:105,K085,S074
F076,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_w_large/softmax_backward_w_large.cpp,133,program builder,MorehSoftmaxBackwardOperation::MorehSoftmaxBackwardWLargeFactory::create_program_artifacts:19; ttnn::create_reader_datamovement_config:97; ttnn::create_writer_datamovement_config:110,K088,S077
F077,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_w_small/softmax_backward_w_small.cpp,126,program builder,MorehSoftmaxBackwardOperation::MorehSoftmaxBackwardWSmallFactory::create_program_artifacts:19; ttnn::create_reader_datamovement_config:91; ttnn::create_writer_datamovement_config:104,K087,S076
F078,ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_program_factory.cpp,276,program builder,MorehSumOperation::MorehSumHFactory::create_program_artifacts:17; ttnn::create_reader_datamovement_config:181; ttnn::create_writer_datamovement_config:195,K089,S078
F079,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/groupnorm_mcast_program_factory.cpp,737,program builder,GroupNormDeviceOperation::GroupNormMcastProgramFactory::create_descriptor:40,K090,S079
F080,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/groupnorm_no_mcast_program_factory.cpp,932,program builder,GroupNormDeviceOperation::GroupNormNoMcastProgramFactory::create_descriptor:40,K090,S079
F081,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/groupnorm_sharded_program_factory.cpp,841; 861,program builder,GroupNormDeviceOperation::GroupNormShardedProgramFactory::create_descriptor:25,K091,S080
F083,ttnn/cpp/ttnn/operations/normalization/layernorm/device/layernorm_op_multi_core_sharded.cpp,228,program builder,LayerNormShardedProgramFactory::create_program_artifacts:32,K094; K096,S083; S085
F084,ttnn/cpp/ttnn/operations/normalization/layernorm/device/sharded_layernorm_factory_helpers.cpp,488; 503,path selector and shared program builder,,K094; K096,S083; S085
F085,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_post_all_gather_program_factory.cpp,280,program builder,LayerNormPostAllGatherProgramFactory::create_program_artifacts:68; ttnn::create_reader_datamovement_config:387; ttnn::create_writer_datamovement_config:410,K101,S090
F086,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_post_all_gather_welford_program_factory.cpp,299,program builder,LayerNormPostAllGatherWelfordProgramFactory::create_program_artifacts:61; ttnn::create_reader_datamovement_config:392; ttnn::create_writer_datamovement_config:419,K101,S090
F087,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_pre_all_gather_program_factory.cpp,75; 189; 191,program builder,LayerNormPreAllGatherProgramFactory::create_program_artifacts:84; ttnn::create_reader_datamovement_config:241; ttnn::create_writer_datamovement_config:258; LayerNormPreAllGather2DProgramFactory::create_program_artifacts:396; ttnn::create_reader_datamovement_config:572; ttnn::create_writer_datamovement_config:589,K098; K099; K102,S087; S088; S091
F088,ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_attention_optimized.cpp,502,program builder,SoftmaxDeviceOperation::SoftmaxProgramFactoryAttentionOptimized::create_program_artifacts:26; ttnn::create_reader_datamovement_config:380; ttnn::create_writer_datamovement_config:397,K104; K105,S093; S094
F089,ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_attention_optimized_sharded.cpp,373,program builder,SoftmaxDeviceOperation::SoftmaxShardedProgramFactoryAttentionOptimized::create_program_artifacts:24; ttnn::create_reader_datamovement_config:295,K106,S095
F090,ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_h_large.cpp,228,program builder,SoftmaxDeviceOperation::SoftmaxProgramFactoryGeneralHLarge::create_program_artifacts:24; ttnn::create_reader_datamovement_config:161; ttnn::create_writer_datamovement_config:171,K082,S071
F091,ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_h_small.cpp,233,program builder,SoftmaxDeviceOperation::SoftmaxProgramFactoryGeneralHSmall::create_program_artifacts:24; ttnn::create_reader_datamovement_config:160; ttnn::create_writer_datamovement_config:170,K081,S070
