call_id,source_path,line,end_line,api,template_arguments,arguments,source_expression
D018,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned_metal2.cpp,41,41,prepare_reduce_scaler,"dfb::scaler, REDUCE_OP, REDUCE_DIM",scaler_f,"dataflow_kernel_lib::prepare_reduce_scaler<dfb::scaler, REDUCE_OP, REDUCE_DIM>(scaler_f)"
D019,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,49,53,calculate_and_prepare_reduce_scaler,"dfb::identity_scale_in, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        dfb::identity_scale_in,
        ckernel::PoolType::MAX,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D020,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,109,113,calculate_and_prepare_reduce_scaler,"dfb_identity_scale_in, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        dfb_identity_scale_in,
        ckernel::PoolType::MAX,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D021,ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,228,232,calculate_and_prepare_reduce_scaler,"dfb_identity_scale_in, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        dfb_identity_scale_in,
        ckernel::PoolType::MAX,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D022,ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/dataflow/writer_deepseek_grouped_gate.cpp,465,468,calculate_and_prepare_reduce_scaler,"cb_reduce_ones_scalar, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",n_activated_experts,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_reduce_ones_scalar,
        ckernel::PoolType::SUM,
        ckernel::ReduceDim::REDUCE_ROW>(n_activated_experts)"
D023,ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/reader_ssm_1d_sum_reduce.cpp,24,24,calculate_and_prepare_reduce_scaler,"cb_id_in2, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<cb_id_in2, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL>()"
D024,ttnn/cpp/ttnn/operations/experimental/transformer/dit_layernorm_pre_all_gather/device/kernels/dataflow/reader_layernorm_preallgather_dit.cpp,28,32,calculate_and_prepare_reduce_scaler,"cb_reduce, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_reduce,
        ckernel::PoolType::SUM,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D025,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/dataflow/rms_post_allgather_reader.cpp,85,89,calculate_and_prepare_reduce_scaler,"reduce_scalar_cb, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW, reduce_factor",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        reduce_scalar_cb,
        ckernel::PoolType::AVG,
        ckernel::ReduceDim::REDUCE_ROW,
        reduce_factor>()"
D026,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/dataflow/rms_pre_allgather_reader.cpp,37,37,calculate_and_prepare_reduce_scaler,"reduce_scalar_cb, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<reduce_scalar_cb, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D027,ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/reader_moreh_dot.cpp,69,69,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D028,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/reader_moreh_bias_backward_h.cpp,23,23,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL>()"
D029,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/reader_moreh_mean_h.cpp,28,32,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_COL, reduce_factor",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        dfb::scaler,
        ckernel::PoolType::AVG,
        ckernel::ReduceDim::REDUCE_COL,
        reduce_factor>()"
D030,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_h.cpp,36,36,calculate_and_prepare_reduce_scaler,"dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_COL>()"
D031,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_h.cpp,38,38,calculate_and_prepare_reduce_scaler,"dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL>()"
D032,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_h_large.cpp,36,36,calculate_and_prepare_reduce_scaler,"dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_COL>()"
D033,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_h_large.cpp,38,38,calculate_and_prepare_reduce_scaler,"dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL>()"
D034,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_w.cpp,36,36,calculate_and_prepare_reduce_scaler,"dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW>()"
