epoch usage_bytes total_rss total_cache failcnt
1780419038 114327539712 3629613056 104167759872 0
1780419043 114369499136 3671191552 104167952384 0
1780419048 114377740288 3679371264 104167952384 0
1780419053 114675716096 3975430144 104167952384 0
1780419058 114706247680 3977539584 104195076096 0
1780419063 114915528704 4140900352 104233885696 0
1780419068 115073646592 4264288256 104264527872 0
1780419073 114993115136 4152467456 104294354944 0
1780419078 114927394816 4050534400 104328306688 0
1780419083 114925686784 4012511232 104362774528 0
1780419088 114937491456 3992076288 104393981952 0
1780419093 115058208768 4069367808 104436338688 0
1780419098 115278098432 4250349568 104467968000 0
1780419103 115159486464 4101586944 104497082368 0
1780419108 115076460544 3986411520 104528142336 0
1780419113 111638904832 568459264 104561549312 0
1780419118 111772966912 654581760 104604979200 0
1780419123 111906013184 755167232 104636149760 0
1780419128 111959764992 774856704 104668299264 0
1780419133 112031260672 809771008 104702726144 0
1780419138 111950512128 696684544 104732491776 0
1780419143 111911653376 625385472 104763359232 0
1780419148 111943069696 619229184 104797409280 0
1780419153 111981379584 620613632 104832569344 0
1780419158 111993356288 579420160 104868081664 0
1780419163 111996588032 565252096 104899633152 0
1780419168 112002052096 532242432 104935895040 0
1780419173 112270344192 756813824 104974393344 0
1780419178 112336691200 790568960 105005019136 0
1780419183 112399405056 815484928 105039945728 0
1780419188 112432869376 812924928 105074249728 0
1780419193 112324276224 670208000 105105698816 0
1780419198 112374083584 686166016 105137274880 0
1780419203 112422952960 702427136 105168183296 0
1780419208 112345124864 594984960 105195548672 0
1780419213 112346243072 565272576 105225781248 0
1780419218 112400396288 581521408 105258643456 0
1780419223 112468746240 619479040 105288994816 0
1780419228 112507863040 624046080 105320681472 0
1780419233 112521617408 604868608 105352617984 0
1780419238 112541716480 575565824 105383067648 0
1780419243 112556089344 577146880 105412878336 0
1780419248 112600137728 579125248 105449562112 0
1780419253 112660688896 604602368 105481936896 0
1780419258 112666906624 576905216 105514258432 0
1780419263 112815628288 693567488 105544515584 0
1780419268 112847405056 691638272 105576189952 0
1780419273 113007804416 816361472 105608888320 0
1780419278 113053429760 826376192 105640914944 0
1780419283 113087242240 825282560 105672916992 0
1780419288 112952291328 660373504 105703723008 0
1780419293 113172951040 839147520 105740300288 0
1780419298 113207713792 837062656 105774321664 0
1780419303 113242329088 835743744 105808003072 0
1780419308 113107156992 667922432 105838882816 0
1780419313 113174323200 699670528 105871876096 0
1780419318 113118564352 609239040 105904111616 0
1780419323 113141313536 597417984 105936728064 0
1780419328 113234665472 656244736 105968513024 0
1780419333 113210261504 593903616 106003095552 0
1780419338 113239441408 589332480 106036518912 0
1780419343 113313669120 626163712 106069913600 0
1780419348 113357688832 633733120 106103812096 0
1780419353 113397862400 637415424 106137751552 0
1780419358 113433976832 637120512 106171506688 0
1780419363 113566461952 729047040 106209280000 0
1780419368 113724801024 846831616 106247708672 0
1780419373 113744285696 827838464 106283323392 0
1780419378 113587806208 634183680 106319826944 0
1780419383 113540775936 562925568 106343489536 0
1780419388 113607356416 591695872 106377887744 0
1780419393 113697509376 647004160 106410360832 0
1780419398 113826738176 737034240 106445324288 0
1780419403 113958883328 829202432 106481864704 0
1780419408 113790697472 621871104 106518855680 0
1780419413 113625817088 438800384 106542657536 0
1780419418 113707028480 482086912 106576109568 0
1780419423 113836605440 573870080 106611838976 0
1780419428 113846263808 527998976 106647646208 0
1780419433 114003558400 668065792 106679455744 0
1780419438 114044735488 672694272 106713653248 0
1780419443 113842454528 445718528 106738790400 0
1780419448 113905250304 469794816 106775216128 0
1780419453 114168700928 692580352 106812035072 0
1780419458 114202423296 689119232 106845671424 0
1780419463 114007658496 458391552 106880499712 0
1780419468 114024517632 451596288 106903392256 0
1780419473 114048593920 440209408 106936025088 0
1780419478 114115026944 467976192 106968035328 0
1780419483 114392010752 706224128 107007008768 0
1780419488 114379018240 654131200 107041726464 0
1780419493 114211364864 453705728 107072737280 0
1780419498 114301882368 518000640 107097911296 0
1780419503 114409730048 587587584 107133812736 0
1780419508 114385317888 527450112 107168673792 0
1780419513 114559336448 666669056 107200667648 0
1780419518 114487066624 554577920 107235905536 0
1780419523 114433929216 475070464 107262558208 0
1780419528 114591203328 594456576 107297079296 0
1780419533 114733449216 697733120 107333697536 0
1780419538 114762887168 689876992 107367997440 0
1780419543 114548645888 448172032 107395371008 0
1780419548 114591428608 460537856 107423956992 0
1780419553 114664312832 494825472 107458363392 0
1780419558 114797617152 591618048 107492159488 0
1780419563 114912247808 668110848 107527983104 0
1780419568 114901487616 620937216 107563606016 0
1780419573 114748530688 442507264 107588055040 0
1780419578 114816159744 474480640 107620519936 0
1780419583 114869878784 488747008 107651096576 0
1780419588 114905223168 488607744 107683987456 0
1780419593 115056820224 611127296 107715538944 0
1780419598 115219914752 722128896 107751362560 0
1780419603 115193335808 673427456 107784663040 0
1780419608 115022172160 466485248 107819151360 0
