timestamp,git_commit,git_branch,dirty,mode,shape_id,device_config,op_type,M,K,N,grid,fusion_summary,best_M_block,best_K_block,best_N_block,best_sb_h,best_sb_w,best_duration_ns,best_duration_us,ideal_us,limiter,speedup,n_measured,n_skipped,status,sweep_csv_path
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m1024_k2304_n6144,bh_4x8_ring8,agmm,1024,2304,6144,12x9,-,3,3,14,3,1,253486,253.49,97.09,compute,2.61,116,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m1024_k2304_n6144.csv
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m1024_k3072_n6144,bh_4x8_ring8,agmm,1024,3072,6144,12x9,-,6,6,11,3,1,302477,302.48,129.45,compute,2.34,300,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m1024_k3072_n6144.csv
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n128,bh_4x8_ring8,agmm,1024,6144,128,12x9,-,6,8,2,2,2,204784,204.78,55.05,fabric,3.72,335,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m1024_k6144_n128.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n2304,bh_4x8_ring8,agmm,1024,6144,2304,12x9,-,3,6,12,1,4,279270,279.27,97.09,compute,2.88,335,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m1024_k6144_n2304.csv
2026-07-15_13-58-55,33399ec3c63,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n4608,bh_4x8_ring8,agmm,1024,6144,4608,12x9,-,3,3,16,1,4,435425,435.43,194.18,compute,2.24,112,,OK,agmm/sweeps/33399ec3c63_2026-07-15_13-58-55/flux_m1024_k6144_n4608.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n768,bh_4x8_ring8,agmm,1024,6144,768,12x9,-,3,8,4,1,4,205934,205.93,55.05,fabric,3.74,394,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m1024_k6144_n768.csv
2026-07-15_13-35-24,33399ec3c63,cglagovich/agmm_analysis,True,full,flux_m32_k256_n6144,bh_4x8_ring8,agmm,32,256,6144,12x9,-,2,1,14,2,2,68695,68.69,6.18,dram,11.12,61,,OK,agmm/sweeps/33399ec3c63_2026-07-15_13-35-24/flux_m32_k256_n6144.csv
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n1536,bh_4x8_ring8,agmm,32,6144,1536,12x9,-,4,8,6,2,2,140557,140.56,37.63,dram,3.74,335,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m32_k6144_n1536.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n2304,bh_4x8_ring8,agmm,32,6144,2304,12x9,-,4,6,8,2,2,185372,185.37,56.06,dram,3.31,283,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m32_k6144_n2304.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n4608,bh_4x8_ring8,agmm,32,6144,4608,12x9,-,6,6,8,2,2,354504,354.50,111.36,dram,3.18,283,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m32_k6144_n4608.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n6144,bh_4x8_ring8,agmm,32,6144,6144,12x9,-,6,6,8,2,2,467673,467.67,148.22,dram,3.16,311,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m32_k6144_n6144.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m512_k15360_n768,bh_4x8_ring8,agmm,512,15360,768,12x9,-,2,20,3,1,3,302889,302.89,76.80,dram,3.94,442,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m512_k15360_n768.csv
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m512_k2304_n6144,bh_4x8_ring8,agmm,512,2304,6144,12x9,-,2,3,14,2,2,207012,207.01,59.90,dram,3.46,98,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m512_k2304_n6144.csv
