stage,id,M,K_gathered,N,fused,GFLOPs,time_us,TFLOPs_ach,flop_util_%,MB_read,DRAM_GBps,dram_util_%,shard_MB,fabric_MB_per_link,fabric_GBps_per_link,fabric_util_%,bound,t_ideal_us,limiter,speedup
stage1,16,32,2048,8,,0.001,37.31,0.028,0.009,0.164,4.391,0.858,0.033,0.025,0.659,2.635,fabric,0.983,fabric,37.954
stage1,17,32,2048,512,,0.067,37.45,1.792,0.6,2.228,59.499,11.621,0.033,0.025,0.656,2.625,dram,4.352,dram,8.605
stage1,18,1216,4096,1024,,10.201,144.81,70.441,23.591,18.35,126.718,24.75,2.49,1.868,12.898,51.592,fabric,74.711,fabric,1.938
stage1,19,32,2048,512,,0.067,37.41,1.794,0.601,2.228,59.562,11.633,0.033,0.025,0.657,2.628,dram,4.352,dram,8.596
stage1,20,1216,4096,4096,,40.802,486.65,83.843,28.079,43.516,89.419,17.465,2.49,1.868,3.838,15.352,compute,136.646,compute,3.561
stage1,21,32,2048,2048,,0.268,110.23,2.435,0.816,8.52,77.29,15.096,0.033,0.025,0.223,0.892,dram,16.64,dram,6.624
stage2,0,4864,4096,8,,0.319,456.28,0.699,0.234,39.911,87.471,17.084,9.961,7.471,16.374,65.496,fabric,298.844,fabric,1.527
stage2,1,4864,4096,3072, chunks=3,122.407,684.11,178.928,59.923,65.012,95.031,18.561,9.961,7.471,10.921,43.684,compute,409.937,compute,1.669
stage2,2,4864,4096,1024,addcmul,40.802,513.54,79.453,26.609,48.234,93.925,18.345,9.961,7.471,14.548,58.193,fabric,298.844,fabric,1.718
stage2,3,4864,4096,8,,0.319,455.07,0.7,0.235,39.911,87.704,17.13,9.961,7.471,16.417,65.67,fabric,298.844,fabric,1.523
stage2,4,4864,4096,1024,,40.802,487.39,83.716,28.036,48.234,98.965,19.329,9.961,7.471,15.329,61.315,fabric,298.844,fabric,1.631
stage2,5,4864,4096,1024,addcmul,40.802,513.41,79.473,26.615,48.234,93.949,18.349,9.961,7.471,14.552,58.208,fabric,298.844,fabric,1.718
stage2,6,32,2048,8,,0.001,37.31,0.028,0.009,0.164,4.391,0.858,0.033,0.025,0.659,2.635,fabric,0.983,fabric,37.954
stage2,7,32,2048,1536, chunks=3,0.201,59.81,3.366,1.127,6.423,107.382,20.973,0.033,0.025,0.411,1.644,dram,12.544,dram,4.768
stage2,8,32,2048,512,addcmul,0.067,37.45,1.792,0.6,2.228,59.499,11.621,0.033,0.025,0.656,2.625,dram,4.352,dram,8.605
stage2,9,32,2048,8,,0.001,37.25,0.028,0.009,0.164,4.398,0.859,0.033,0.025,0.66,2.639,fabric,0.983,fabric,37.893
stage2,10,32,2048,512,,0.067,37.46,1.791,0.6,2.228,59.483,11.618,0.033,0.025,0.656,2.624,dram,4.352,dram,8.608
stage2,11,32,2048,512,,0.067,37.46,1.791,0.6,2.228,59.483,11.618,0.033,0.025,0.656,2.624,dram,4.352,dram,8.608
stage2,12,4864,4096,8,,0.319,460.45,0.692,0.232,39.911,86.679,16.93,9.961,7.471,16.226,64.903,fabric,298.844,fabric,1.541
stage2,13,4864,4096,512,,20.401,496.13,41.12,13.771,44.04,88.767,17.337,9.961,7.471,15.059,60.235,fabric,298.844,fabric,1.66
stage2,14,256,2048,1024, chunks=2,1.074,47.72,22.501,7.535,5.243,109.868,21.459,0.262,0.197,4.12,16.48,dram,10.24,dram,4.66
stage2,15,4864,2048,1024,,20.401,289.9,70.373,23.568,24.117,83.192,16.248,4.981,3.736,12.886,51.543,fabric,149.422,fabric,1.94
stage2,16,32,2048,8,,0.001,37.31,0.028,0.009,0.164,4.391,0.858,0.033,0.025,0.659,2.635,fabric,0.983,fabric,37.954
stage2,17,32,2048,512,,0.067,37.46,1.791,0.6,2.228,59.483,11.618,0.033,0.025,0.656,2.624,dram,4.352,dram,8.608
stage2,18,4864,4096,1024,,40.802,499.01,81.766,27.383,48.234,96.66,18.879,9.961,7.471,14.972,59.887,fabric,298.844,fabric,1.67
stage2,19,32,2048,512,,0.067,37.45,1.792,0.6,2.228,59.499,11.621,0.033,0.025,0.656,2.625,dram,4.352,dram,8.605
stage2,20,4864,4096,4096,,163.209,1576.03,103.557,34.681,73.4,46.573,9.096,9.961,7.471,4.74,18.962,compute,546.583,compute,2.883
stage2,21,32,2048,2048,,0.268,110.2,2.436,0.816,8.52,77.311,15.1,0.033,0.025,0.223,0.892,dram,16.64,dram,6.623
