stage,instance,fastest_device,global_call_count,min_time_us,max_time_us,mean_time_us,skew_ratio,tflops_at_min,flops,M,K_local,K_gathered,N,chunks,N_per_chunk,activation_shape,weight_shape,gathered_activation_shape,has_bias,bias_shape,has_addcmul,ternary_a_shape,ternary_b_shape,fsdp_fused,ring_size,num_links,num_workers_per_link,num_buffers_per_channel,topology,cluster_axis,force_transpose,using_persistent_weight_buffer,fsdp_cluster_axis,fsdp_ring_size,M_block_size,K_block_size,N_block_size,subblock_h,subblock_w,grid,act_dtype,weight_dtype,out_dtype,act_memory,math_fidelity,core_count,num_inputs,num_outputs
stage1,0,0,124928,136.14,334.08,209.01,2.454,0.59,79691776,1216,1024,4096,8,1,8,"[1, 1, 1216, 1024]","[1, 1, 4096, 8]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,8,8,1,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,1,26,129050,220.59,400.72,294.11,1.817,138.72,30601641984,1216,1024,4096,3072,3,1024,"[1, 1, 1216, 1024]","[1, 1, 4096, 3072]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 3072]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,12,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,4
stage1,2,21,142357,146.06,356.8,225.24,2.443,69.84,10200547328,1216,1024,4096,1024,1,1024,"[1, 1, 1216, 1024]","[1, 1, 4096, 1024]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 1024]",True,"[1, 1, 1216, 1024]","[1, 1, 1, 1024]",False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,6,2
stage1,3,0,151552,136.71,287.87,196.49,2.106,0.58,79691776,1216,1024,4096,8,1,8,"[1, 1, 1216, 1024]","[1, 1, 4096, 8]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,8,8,1,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,4,0,155648,144.82,366.43,228.4,2.53,70.44,10200547328,1216,1024,4096,1024,1,1024,"[1, 1, 1216, 1024]","[1, 1, 4096, 1024]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,5,0,167936,147.58,327.74,217.38,2.221,69.12,10200547328,1216,1024,4096,1024,1,1024,"[1, 1, 1216, 1024]","[1, 1, 4096, 1024]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 1024]",True,"[1, 1, 1216, 1024]","[1, 1, 1, 1024]",False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,6,2
stage1,6,0,183296,37.28,205.86,97.34,5.523,0.03,1048576,32,512,2048,8,1,8,"[1, 1, 32, 512]","[1, 1, 2048, 8]","[1, 1, 32, 2048]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,1,1,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,7,0,187392,59.72,222.51,115.69,3.726,3.37,201326592,32,512,2048,1536,3,512,"[1, 1, 32, 512]","[1, 1, 2048, 1536]","[1, 1, 32, 2048]",True,"[1, 1, 1, 1536]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,4,16,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,4
stage1,8,19,203795,37.41,233.83,110.28,6.25,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",True,"[1, 1, 32, 512]","[1, 1, 1, 512]",False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,6,2
stage1,9,27,213019,37.3,177.83,88.84,4.768,0.03,1048576,32,512,2048,8,1,8,"[1, 1, 32, 512]","[1, 1, 2048, 8]","[1, 1, 32, 2048]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,1,1,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
