timestamp,git_commit,git_branch,dirty,mode,shape_id,device_config,op_type,M,K,N,grid,fusion_summary,best_M_block,best_K_block,best_N_block,best_sb_h,best_sb_w,best_duration_ns,best_duration_us,ideal_us,limiter,speedup,n_measured,n_skipped,status,sweep_csv_path
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m1024_k2304_n6144_mm,bh_4x8_ring8,mm,1024,2304,6144,12x9,-,12,4,8,2,2,163524,163.52,,,,456,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m1024_k2304_n6144_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m1024_k3072_n6144_mm,bh_4x8_ring8,mm,1024,3072,6144,12x9,-,10,6,8,2,2,200204,200.20,,,,414,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m1024_k3072_n6144_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n128_mm,bh_4x8_ring8,mm,1024,6144,128,12x9,-,3,8,2,3,1,61806,61.81,,,,379,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m1024_k6144_n128_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n2304_mm,bh_4x8_ring8,mm,1024,6144,2304,12x9,-,6,4,6,2,2,145995,146.00,,,,379,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m1024_k6144_n2304_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n4608_mm,bh_4x8_ring8,mm,1024,6144,4608,12x9,-,4,6,6,2,2,276342,276.34,,,,379,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m1024_k6144_n4608_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m1024_k6144_n768_mm,bh_4x8_ring8,mm,1024,6144,768,12x9,-,3,8,3,1,3,82381,82.38,,,,452,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m1024_k6144_n768_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m32_k256_n6144_mm,bh_4x8_ring8,mm,32,256,6144,12x9,-,2,2,8,2,2,24493,24.49,,,,158,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m32_k256_n6144_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n1536_mm,bh_4x8_ring8,mm,32,6144,1536,12x9,-,2,8,4,2,2,81270,81.27,,,,379,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m32_k6144_n1536_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n2304_mm,bh_4x8_ring8,mm,32,6144,2304,12x9,-,2,8,12,2,2,113384,113.38,,,,316,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m32_k6144_n2304_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n4608_mm,bh_4x8_ring8,mm,32,6144,4608,12x9,-,2,16,8,2,2,211357,211.36,,,,316,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m32_k6144_n4608_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m32_k6144_n6144_mm,bh_4x8_ring8,mm,32,6144,6144,12x9,-,4,8,16,2,2,282500,282.50,,,,346,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m32_k6144_n6144_mm.csv
