shape_id,device_config,M,K,N,fusion,agmm_us,ag_us,mm_us,serial_us,fusion_save_us,fusion_save_pct,overlap_ratio
ltx_m32_k2048_n8,bh_4x8,32,2048,8,-,42.8,7.0,15.1,22.0,-20.7,-94.1,1.9
ltx_m32_k2048_n512,bh_4x8,32,2048,512,-,42.8,7.0,21.1,28.1,-14.6,-51.9,1.5
ltx_m32_k2048_n512_ac,bh_4x8,32,2048,512,"addcmul,approx",44.2,7.0,21.2,28.2,-16.0,-56.6,1.6
ltx_m32_k2048_n1536_c3,bh_4x8,32,2048,1536,"chunks=3,approx",64.1,7.0,33.3,40.3,-23.8,-59.0,1.6
ltx_m32_k2048_n2048,bh_4x8,32,2048,2048,-,76.7,7.0,45.1,52.1,-24.6,-47.3,1.5
ltx_m256_k2048_n1024_c2,bh_4x8,256,2048,1024,"chunks=2,approx",53.1,22.3,27.3,49.6,-3.5,-7.0,1.1
ltx_m1216_k2048_n1024,bh_4x8,1216,2048,1024,-,101.8,59.7,48.2,107.9,6.1,5.7,0.9
ltx_m1216_k4096_n8,bh_4x8,1216,4096,8,-,161.6,105.5,54.5,160.0,-1.6,-1.0,1.0
ltx_m1216_k4096_n512,bh_4x8,1216,4096,512,-,162.8,105.5,59.8,165.4,2.6,1.5,1.0
ltx_m1216_k4096_n1024,bh_4x8,1216,4096,1024,-,167.1,105.5,81.7,187.3,20.1,10.7,0.9
ltx_m1216_k4096_n1024_ac,bh_4x8,1216,4096,1024,"addcmul,approx",176.5,105.5,80.8,186.3,9.8,5.3,0.9
ltx_m1216_k4096_n3072_c3,bh_4x8,1216,4096,3072,"chunks=3,approx",251.5,105.5,193.9,299.4,47.9,16.0,0.8
ltx_m1216_k4096_n4096,bh_4x8,1216,4096,4096,-,311.5,105.5,242.3,347.8,36.4,10.5,0.9
ltx_m4864_k2048_n1024,bh_4x8,4864,2048,1024,-,309.4,199.0,129.4,328.4,19.0,5.8,0.9
ltx_m4864_k4096_n8,bh_4x8,4864,4096,8,-,518.0,389.4,156.2,545.6,27.5,5.0,0.9
ltx_m4864_k4096_n512,bh_4x8,4864,4096,512,-,523.7,389.4,164.8,554.2,30.5,5.5,0.9
s2_fabric_n512,bh_4x8,4864,4096,512,-,525.4,389.4,,,,,
ltx_m4864_k4096_n1024,bh_4x8,4864,4096,1024,-,531.2,389.4,215.1,604.5,73.3,12.1,0.9
ltx_m4864_k4096_n1024_ac,bh_4x8,4864,4096,1024,"addcmul,approx",589.6,389.4,215.5,604.9,15.3,2.5,1.0
ltx_m4864_k4096_n3072_c3,bh_4x8,4864,4096,3072,"chunks=3,approx",719.0,389.4,558.9,948.2,229.2,24.2,0.8
ltx_m4864_k4096_n4096,bh_4x8,4864,4096,4096,-,949.5,389.4,750.3,1139.7,190.2,16.7,0.8
flux_m32_k256_n6144,bh_4x8_ring8,32,256,6144,-,68.7,8.0,24.5,32.5,-36.2,-111.3,2.1
flux_m32_k6144_n1536,bh_4x8_ring8,32,6144,1536,-,140.6,15.3,81.3,96.6,-43.9,-45.5,1.5
flux_m32_k6144_n2304,bh_4x8_ring8,32,6144,2304,-,185.4,15.3,113.4,128.7,-56.6,-44.0,1.4
flux_m32_k6144_n4608,bh_4x8_ring8,32,6144,4608,-,354.5,15.3,211.4,226.7,-127.8,-56.4,1.6
flux_m32_k6144_n6144,bh_4x8_ring8,32,6144,6144,-,467.7,15.3,282.5,297.9,-169.8,-57.0,1.6
flux_m512_k2304_n6144,bh_4x8_ring8,512,2304,6144,-,207.0,44.1,128.1,172.2,-34.8,-20.2,1.2
flux_m512_k3072_n6144,bh_4x8_ring8,512,3072,6144,-,260.0,51.1,160.6,211.7,-48.3,-22.8,1.2
flux_m512_k6144_n768,bh_4x8_ring8,512,6144,768,-,148.4,84.1,57.4,141.4,-7.0,-4.9,1.0
flux_m512_k6144_n2304,bh_4x8_ring8,512,6144,2304,-,224.3,84.1,120.1,204.1,-20.2,-9.9,1.1
flux_m512_k6144_n4608,bh_4x8_ring8,512,6144,4608,-,374.4,84.1,218.5,302.6,-71.8,-23.7,1.2
flux_m512_k15360_n768,bh_4x8_ring8,512,15360,768,-,302.9,185.0,124.1,309.2,6.3,2.0,1.0
flux_m1024_k2304_n6144,bh_4x8_ring8,1024,2304,6144,-,253.5,66.8,163.5,230.3,-23.2,-10.1,1.1
flux_m1024_k3072_n6144,bh_4x8_ring8,1024,3072,6144,-,302.5,83.7,200.2,283.9,-18.6,-6.5,1.1
flux_m1024_k6144_n128,bh_4x8_ring8,1024,6144,128,-,204.8,149.8,61.8,211.6,6.8,3.2,1.0
flux_m1024_k6144_n768,bh_4x8_ring8,1024,6144,768,-,205.9,149.8,82.4,232.1,26.2,11.3,0.9
flux_m1024_k6144_n2304,bh_4x8_ring8,1024,6144,2304,-,279.3,149.8,146.0,295.8,16.5,5.6,0.9
flux_m1024_k6144_n4608,bh_4x8_ring8,1024,6144,4608,-,435.4,149.8,276.3,426.1,-9.3,-2.2,1.0
