# Stage D latency sweep — MEASURED E2EL (mean_e2el_ms), APC OFF, weight-cache OFF.
# server	ISL	OSL	CONC	t/s/u	agg_tok/s	E2EL_s(meas)	TTFT_ms
k64	1024	1024	1	25.28	24.9	41.2	707
k64	16384	1024	1	23.71	18.3	56.1	12915
k64	32768	1024	1	22.20	13.5	75.9	29790
k64	130048	1024	1	13.53	2.7	374.3	298740
k64	1024	128	8	13.52	63.0	16.2	6850
k64	1024	128	16	13.81	83.2	24.6	15407
k64	32768	128	8	2.67	1.9	478.1	430552
k64	32768	128	16	4.44	1.9	905.3	876678
ttnndef	32768	1024	1	16.57	16.5	62.1	369
ttnndef	130048	1024	1	6.32	6.3	163.0	1117
