shape,factory,M,K,N,num_cores,grid,in0_block_w,per_core_N,in1_dtype,out_dtype,out_mem,fidelity,packer_l1_acc,fp32_dest,l1_kb_est,src,dur_us,bw_gbps,dram_pct,ach_pct,util_pct,status,note
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",1,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,1739,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",1,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,1750,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",1,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,1761,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",2,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,2109,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",2,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,2124,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",2,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,2138,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",4,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,2850,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",4,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,2871,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",4,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,2892,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",7,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,3962,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",7,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,3992,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",7,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,4023,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",8,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,4332,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",8,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,4366,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",8,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,4400,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",14,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,6556,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",14,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,6608,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",14,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,6661,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",16,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,7297,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",16,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,7356,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",16,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,7415,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",28,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,11744,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",28,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,11841,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",28,114,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,11938,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",32,112,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,13226,,,,,,,SKIP_L1,
FF2,dram_sharded,32,7168,3584,1,"(1, 1)",32,113,BFLOAT8_B,BFLOAT16,l1_ws,LoFi,True,True,13336,,,,,,,SKIP_L1,
