shape,factory,M,K,N,num_cores,grid,in0_block_w,per_core_N,in1_dtype,out_dtype,out_mem,fidelity,packer_l1_acc,fp32_dest,l1_kb_est,src,dur_us,bw_gbps,dram_pct,ach_pct,util_pct,status,note
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",1,448,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,4597,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",1,448,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,False,3695,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",1,449,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,4607,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",1,449,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,False,3703,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",1,450,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,4616,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",1,450,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,False,3710,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",2,448,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,5362,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",2,448,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,False,4460,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",2,449,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,5374,,,,,,,SKIP_L1,
FF1_FF3,mcast_1d,32,3584,14336,1,"(1, 1)",2,449,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,False,4470,,,,,,,SKIP_L1,
