shape,factory,M,K,N,num_cores,grid,in0_block_w,per_core_N,in1_dtype,out_dtype,out_mem,fidelity,packer_l1_acc,fp32_dest,l1_kb_est,src,dur_us,bw_gbps,dram_pct,ach_pct,util_pct,status,note
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",1,224,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,2427,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",1,225,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,2437,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",1,226,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,2446,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",2,224,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,2814,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",2,225,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,2826,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",2,226,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,2837,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",4,224,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,3588,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",4,225,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,3603,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",4,226,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,3618,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",7,224,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,4749,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",7,225,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,4769,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",7,226,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,4789,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",8,224,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,5136,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",8,225,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,5158,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",8,226,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,5180,,,,,,,SKIP_L1,
FF1_FF3,dram_sharded,32,3584,7168,1,"(1, 1)",14,224,BFLOAT4_B,BFLOAT16,l1_ws,LoFi,True,True,7459,,,,,,,SKIP_L1,
