shape  stages  config               intermesh_s  rc     occupied
2x4    64      cad_mode3            11.4         0      16
2x4    64      gim_mode3_t32        12.6         0      16
2x4    64      gim_mode3_t16        9.6          0      16
2x4    64      gim_mode3_t8         5.6          0      16
2x4    64      cad_mode3_seed7      19.2         0      16
2x4    64      cad_mode3_fastsat    48.3         0      16
2x4    64      gim_first_t32        39.8         0      16
2x4    64      cad_mode1            17.5         0      16
2x4    64      cad_mode0            224.2        0      16
2x4    96      cad_mode3            32.6         0      24
2x4    96      gim_mode3_t32        52.9         0      24
2x4    96      gim_mode3_t16        114.0        0      24
2x4    96      gim_mode3_t8         225.2        0      24
2x4    96      cad_mode3_seed7      630.1        0      24
2x4    96      cad_mode3_fastsat    186.0        0      24
2x4    96      gim_first_t32        444.1        0      24
2x4    96      cad_mode1            190.9        0      24
2x4    96      cad_mode0            839.7        0      24
2x4    112     cad_mode3            988.5        0      28
2x4    112     gim_mode3_t32        310.8        0      28
2x4    112     gim_mode3_t16        125.7        0      28
2x4    112     gim_mode3_t8         606.7        0      28
2x4    112     cad_mode3_seed7      1459.6       0      28
2x4    112     cad_mode3_fastsat    519.7        0      28
2x4    112     gim_first_t32        209.9        0      28
2x4    112     cad_mode1            345.2        0      28
2x4    112     cad_mode0            726.0        0      28
2x4    128     cad_mode3            1345.6       0      32
2x4    128     gim_mode3_t32        72.9         0      32
2x4    128     gim_mode3_t16        515.1        0      32
2x4    128     gim_mode3_t8         1283.9       0      32
2x4    128     cad_mode3_seed7      TIMEOUT/FAIL 124    ?
2x4    128     cad_mode3_fastsat    855.8        0      32
2x4    128     gim_first_t32        TIMEOUT/FAIL 124    ?
2x4    128     cad_mode1            TIMEOUT/FAIL 124    ?
2x4    128     cad_mode0            TIMEOUT/FAIL 124    ?
4x4    32      cad_mode3            0.0          0      32
4x4    32      gim_mode3_t32        0.1          0      32
4x4    32      gim_mode3_t16        0.1          0      32
4x4    32      gim_mode3_t8         0.1          0      32
4x4    32      cad_mode3_seed7      0.0          0      32
4x4    32      cad_mode3_fastsat    0.0          0      32
4x4    32      gim_first_t32        0.1          0      ?
4x4    32      cad_mode1            0.0          0      ?
4x4    32      cad_mode0            0.0          0      ?
4x4    48      cad_mode3            0.0          0      48
4x4    48      gim_mode3_t32        0.1          0      48
4x4    48      gim_mode3_t16        0.1          0      48
4x4    48      gim_mode3_t8         0.2          0      48
4x4    48      cad_mode3_seed7      0.0          0      48
4x4    48      cad_mode3_fastsat    0.0          0      48
4x4    48      gim_first_t32        0.1          0      ?
4x4    48      cad_mode1            0.0          0      ?
4x4    48      cad_mode0            0.0          0      ?
4x4    64      cad_mode3            0.0          0      64
4x4    64      gim_mode3_t32        0.2          0      64
4x4    64      gim_mode3_t16        0.2          0      64
4x4    64      gim_mode3_t8         0.2          0      64
4x4    64      cad_mode3_seed7      0.0          0      64
4x4    64      cad_mode3_fastsat    0.0          0      64
4x4    64      gim_first_t32        0.2          0      ?
4x4    64      cad_mode1            0.0          0      ?
4x4    64      cad_mode0            0.0          0      ?
[2026-07-30T05:23:53] FULL SWEEP DONE
