ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice,Raw OP Code
4234,0.10388400029601032,,LayerNormDeviceOperation,1,26.121,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1956865.0,,LayerNormDeviceOperation
4235,0.4517190200077121,SLOW,MatmulDeviceOperation 32 x 2048 x 6176,3,48.941,64.641,97.0,269.197278355571,52.57759342882245,16.54033779448724,6.167496612229455,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_2_DRAM_INTERLEAVED,2,1,2,1957891.0,If possible place input 0 in L1 (currently in DEV_2_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy,MatmulDeviceOperation
4240,0.05024181982847129,,SliceDeviceOperation,2,1.987,10.646,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1958914.0,,SliceDeviceOperation
4244,0.21329209524426057,,SliceDeviceOperation,2,1.247,52.384,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1959938.0,,SliceDeviceOperation
4247,0.13469405160695525,,SliceDeviceOperation,3,0.841,33.027,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1960963.0,,SliceDeviceOperation
4252,0.5831598610851264,,UntilizeWithUnpaddingDeviceOperation,2,3.579,143.053,97,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1961986.0,,UntilizeWithUnpaddingDeviceOperation
4256,0.010352209056717387,,SliceDeviceOperation,2,1.413,1.19,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1963010.0,,SliceDeviceOperation
4262,0.09281592584159447,,TilizeWithValPaddingDeviceOperation,1,2.05,21.288,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1964033.0,,TilizeWithValPaddingDeviceOperation
4265,0.5530418129919566,,UntilizeWithUnpaddingDeviceOperation,0,2.281,136.778,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1965056.0,,UntilizeWithUnpaddingDeviceOperation
4267,0.17246390539552423,,UntilizeWithUnpaddingDeviceOperation,3,2.255,41.11,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1966083.0,,UntilizeWithUnpaddingDeviceOperation
4273,0.15445591361342037,,UntilizeWithUnpaddingDeviceOperation,0,2.264,36.573,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1967104.0,,UntilizeWithUnpaddingDeviceOperation
4276,0.21911049011555428,,UntilizeWithUnpaddingDeviceOperation,2,3.363,51.731,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1968130.0,,UntilizeWithUnpaddingDeviceOperation
4281,0.0487385024933045,,ConcatDeviceOperation,0,1.82,10.435,8,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1969152.0,,ConcatDeviceOperation
4283,0.304636519990586,,TilizeWithValPaddingDeviceOperation,3,7.104,69.495,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1970179.0,,TilizeWithValPaddingDeviceOperation
4290,0.13743422526814553,,SliceDeviceOperation,1,1.947,32.61,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1971201.0,,SliceDeviceOperation
4292,0.3514580940300534,,BinaryNgDeviceOperation,2,3.842,84.53,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1972226.0,,BinaryNgDeviceOperation
