seq_len,median_ms,min_ms,max_ms,us_per_token,iters
128,3.216,3.176,3.606,25.13,5
512,9.949,9.916,10.165,19.43,5
1024,18.828,18.777,19.024,18.39,5
2048,36.897,36.868,36.973,18.02,5
