context_len,median_ms,min_ms,max_ms,tok_per_s_per_layer,iters
128,0.4286,0.4257,0.4654,2332.9,100
1024,0.5254,0.522,0.5314,1903.2,100
4096,0.8667,0.8638,2.5533,1153.8,100
