context_len,median_ms,min_ms,max_ms,tok_per_s_per_layer,iters
128,0.5638,0.5615,0.5666,1773.5,100
1024,0.6611,0.6579,0.665,1512.6,100
4096,0.9912,0.9894,0.9972,1008.9,100
