seq_len,median_ms,min_ms,max_ms,us_per_token,iters
128,9.346,9.207,9.595,73.01,5
512,35.353,35.324,35.375,69.05,5
1024,70.5,70.463,70.549,68.85,5
2048,141.883,141.795,141.95,69.28,5
