call_site,grid,cores,batch,q_chunk,k_chunk,seq_len,ms_per_call,status
prefill_sdpa_sliding,11x10,110,1,128,128,8192,12.023294399841689,ok
prefill_sdpa_sliding,11x10,110,1,256,128,8192,8.586723299958976,ok
prefill_sdpa_sliding,11x10,110,1,512,128,8192,10.3438334997918,ok
prefill_sdpa_sliding,11x10,110,1,1024,128,8192,nan,RuntimeError
prefill_sdpa_sliding,11x10,110,1,128,64,8192,12.764609499572543,ok
prefill_sdpa_sliding,11x10,110,1,256,256,8192,7.45936730018002,ok
prefill_sdpa_sliding,11x10,110,1,512,256,8192,nan,RuntimeError
prefill_sdpa_sliding,11x8,88,1,128,128,8192,12.575504399865167,ok
prefill_sdpa_sliding,11x8,88,1,256,128,8192,9.939503599889576,ok
prefill_sdpa_sliding,11x8,88,1,512,128,8192,10.174077400006354,ok
prefill_sdpa_sliding,11x8,88,1,1024,128,8192,nan,RuntimeError
prefill_sdpa_sliding,11x8,88,1,128,64,8192,13.030748400342418,ok
prefill_sdpa_sliding,11x8,88,1,256,256,8192,8.708165099960752,ok
prefill_sdpa_sliding,11x8,88,1,512,256,8192,nan,RuntimeError
prefill_sdpa_sliding,10x10,100,1,128,128,8192,12.48449169943342,ok
prefill_sdpa_sliding,10x10,100,1,256,128,8192,9.99166809997405,ok
prefill_sdpa_sliding,10x10,100,1,512,128,8192,10.216547399613773,ok
prefill_sdpa_sliding,10x10,100,1,1024,128,8192,nan,RuntimeError
prefill_sdpa_sliding,10x10,100,1,128,64,8192,13.044282200280577,ok
prefill_sdpa_sliding,10x10,100,1,256,256,8192,8.77987790008774,ok
prefill_sdpa_sliding,10x10,100,1,512,256,8192,nan,RuntimeError
prefill_sdpa_sliding,8x10,80,1,128,128,8192,13.96291669952916,ok
prefill_sdpa_sliding,8x10,80,1,256,128,8192,11.258916099905036,ok
prefill_sdpa_sliding,8x10,80,1,512,128,8192,12.720462099969154,ok
prefill_sdpa_sliding,8x10,80,1,1024,128,8192,nan,RuntimeError
prefill_sdpa_sliding,8x10,80,1,128,64,8192,13.971689499885542,ok
prefill_sdpa_sliding,8x10,80,1,256,256,8192,9.92388660015422,ok
prefill_sdpa_sliding,8x10,80,1,512,256,8192,nan,RuntimeError
prefill_sdpa_sliding,11x5,55,1,128,128,8192,14.997377400140977,ok
prefill_sdpa_sliding,11x5,55,1,256,128,8192,15.358624899818096,ok
prefill_sdpa_sliding,11x5,55,1,512,128,8192,15.372665700124344,ok
prefill_sdpa_sliding,11x5,55,1,1024,128,8192,nan,RuntimeError
prefill_sdpa_sliding,11x5,55,1,128,64,8192,19.56435309984954,ok
prefill_sdpa_sliding,11x5,55,1,256,256,8192,13.345483999728458,ok
prefill_sdpa_sliding,11x5,55,1,512,256,8192,nan,RuntimeError
prefill_sdpa_sliding,8x8,64,1,128,128,8192,13.396084499981953,ok
prefill_sdpa_sliding,8x8,64,1,256,128,8192,12.546145100350259,ok
prefill_sdpa_sliding,8x8,64,1,512,128,8192,12.602726099430583,ok
prefill_sdpa_sliding,8x8,64,1,1024,128,8192,nan,RuntimeError
