Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                   Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
485    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
486    0.3 %         SliceDeviceOperation                            0         1 μs         18 μs     32                                                       BF16 => BF16
487    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
488    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
489    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
490    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
491    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
492    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
493    0.2 %         SliceDeviceOperation                            0         1 μs         11 μs     32                                                       BF16 => BF16
494    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
495    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
496    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
497    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
498    0.3 %         SliceDeviceOperation                            0         1 μs         19 μs     32                                                       BF16 => BF16
499    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
500    0.1 %         TypecastDeviceOperation                         0         1 μs          7 μs     32                                                       BF16 => BFP8
501    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
502    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
503    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
504    0.2 %         SliceDeviceOperation                            0         1 μs         16 μs     32                                                       BF16 => BF16
505    0.2 %         SliceDeviceOperation                            0         1 μs         11 μs     32                                                       BF16 => BF16
506    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
507    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
508    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
509    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
510    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
511    0.2 %         SliceDeviceOperation                            0         1 μs         11 μs     32                                                       BF16 => BF16
512    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
513    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
514    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
515    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
516    0.3 %         SliceDeviceOperation                            0         1 μs         18 μs     32                                                       BF16 => BF16
517    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
518    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
519    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
520    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
521    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
522    0.2 %         SliceDeviceOperation                            0         1 μs         16 μs     32                                                       BF16 => BF16
523    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
524    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
525    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
526    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
527    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
528    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
529    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
530    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
531    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
532    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
533    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
534    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
535    0.1 %         SliceDeviceOperation                            0         1 μs          9 μs     32                                                       BF16 => BF16
536    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
537    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
538    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
539    0.1 %         UpdateKVCacheOperation                          0         3 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
540    0.2 %         SliceDeviceOperation                            0         1 μs         16 μs     32                                                       BF16 => BF16
541    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
542    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
543    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
544    0.5 %         UpdateKVCacheOperation                          0         4 μs         33 μs      4                                                 BFP8, BFP8 => BFP8
545    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
546    0.2 %         SliceDeviceOperation                            0         1 μs         16 μs     32                                                       BF16 => BF16
547    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
548    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
549    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
550    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
551    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
552    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
553    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
554    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
555    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
556    0.1 %         UpdateKVCacheOperation                          0         4 μs          4 μs      4                                                 BFP8, BFP8 => BFP8
557    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
