Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer5_full_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  799    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  800    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  801    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  802    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  803    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  804    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  805    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  806    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  807    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  808    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  809    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  810    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  811    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  812    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  813    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  814    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  815    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  816    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  817    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  818    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  819    0.0 %         SliceDeviceOperation                                              3         1 μs          6 μs     88                                                        BF16 => BF16
  820    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  821    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  822    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  823    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  824    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  825    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  826    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  827    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      4                                                        BF16 => BF16
  828    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  829    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  830    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  831    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  832    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  833    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  834    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  835    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  836    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  837    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  838    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  839    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  840    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  841    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  842    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  843    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  844    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  845    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  846    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  847    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  848    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  849    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  850    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  851    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs      4                                                        BF16 => BF16
  852    0.0 %         UnaryDeviceOperation                                              3         2 μs          1 μs    110                                                        BF16 => BF16
  853    0.0 %         ReduceDeviceOperation                                             3         2 μs          1 μs      4                                                        BF16 => BF16
  854    0.0 %         UntilizeWithUnpaddingDeviceOperation                              3         2 μs          2 μs      1                                                        BF16 => BF16
  855    0.0 %         UnaryDeviceOperation                                              3        30 μs          1 μs    110                                                        BF16 => BF16
  856    0.3 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 704        3       913 μs          1 μs     11   19 GB/s   3.8 %    1.1 TFLOPs    1.8 %   LoFi BF16 x BFP8 => BF16
  857    0.0 %         PermuteDeviceOperation                                            3        35 μs          1 μs    110                                                        BF16 => BF16
  858    0.0 %         UnaryDeviceOperation                                              3        30 μs          1 μs    110                                                        BF16 => BF16
  859    0.3 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 704        3       913 μs          1 μs     11   19 GB/s   3.8 %    1.1 TFLOPs    1.8 %   LoFi BF16 x BFP8 => BF16
  860    0.0 %         PermuteDeviceOperation                                            3        35 μs          1 μs    110                                                        BF16 => BF16
  861    0.0 %         UnaryDeviceOperation                                              3        31 μs          1 μs    110                                                        BF16 => BF16
  862    0.0 %         BinaryNgDeviceOperation                                           3        41 μs          1 μs    110                                                  BF16, BF16 => BF16
  863    0.0 %         UnaryDeviceOperation                                              3       121 μs          1 μs    110                                                        BF16 => BF16
  864    0.2 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 704 x 2816        3       673 μs          1 μs     44   26 GB/s   5.1 %    1.5 TFLOPs    0.6 %   LoFi BF16 x BFP8 => BF16
  865    0.0 %         PermuteDeviceOperation                                            3         8 μs          0 μs    110                                                        BF16 => BF16
  866    0.0 %         BinaryNgDeviceOperation                                           3       134 μs          0 μs    110                                                  BF16, BF16 => BF16
  867    0.0 %         FastReduceNCDeviceOperation                                       3        63 μs          1 μs     88                                                        BF16 => BF16
  868    0.0 %         UnaryDeviceOperation                                              3         1 μs          0 μs    110                                                        BF16 => BF16
