Detected CSV format: v2.1 (with device arch and worker core count)
No DEVICE ARCH values found. Defaulting to 'wormhole'.
Using architecture from CSV: wormhole
No DEVICE ARCH values found. Defaulting to 'wormhole'.
No non-zero AVAILABLE WORKER CORE COUNT values found. Defaulting to 64 cores.
Architecture: wormhole, Worker cores: 64
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer5_full_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                       Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %   FLOPs         FLOPs %  Math Fidelity            
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2005    0.0 %         LayerNormDeviceOperation                                            3        46 μs                   32                                                   BF16, BF16 => BF16
 2006    0.1 %   BOTH  MatmulDeviceOperation 1024 x 2816 x 10240                           3       372 μs         79 μs    107  227 GB/s   78.7 %  158.6 TFLOPs   72.1 %  HiFi2 BF16 x BF16 => BF16
 2007    0.0 %         NlpCreateHeadsDeviceOperation                                       3       143 μs          1 μs     32                                                         BF16 => BF16
 2008    0.0 %         LayerNormDeviceOperation                                            3        94 μs          0 μs    110                                                   BF16, BF16 => BF16
 2009    0.0 %         LayerNormDeviceOperation                                            3        19 μs          1 μs     64                                                   BF16, BF16 => BF16
 2010    0.0 %         LayerNormDeviceOperation                                            3        16 μs          1 μs     64                                                         BF16 => BF16
 2011    0.0 %         RotaryEmbeddingHfDeviceOperation                                    3       223 μs          1 μs    110                                                   BF16, BF16 => BF16
 2012    0.0 %         RotaryEmbeddingHfDeviceOperation                                    3        53 μs          1 μs     64                                                   BF16, BF16 => BF16
 2013    0.0 %         PagedFillCacheDeviceOperation                                       3        12 μs          1 μs     64                                                   BF16, BF16 => BF16
 2014    0.0 %         PagedFillCacheDeviceOperation                                       3        12 μs          1 μs     64                                                   BF16, BF16 => BF16
 2015    0.2 %         SDPAOperation                                                       3     1,432 μs          1 μs    110                                                   BF16, BF16 => BF16
 2016    0.0 %         NLPConcatHeadsDeviceOperation                                       3       119 μs          1 μs     32                                                         BF16 => BF16
 2017    0.1 %   BOTH  MatmulDeviceOperation 1024 x 8192 x 2816                            3       350 μs          0 μs     88  196 GB/s   68.2 %  135.1 TFLOPs   74.7 %  HiFi2 BF16 x BF16 => BF16
 2018    0.0 %         LayerNormDeviceOperation                                            3        47 μs          1 μs     32                                                   BF16, BF16 => BF16
 2019    0.0 %         BinaryNgDeviceOperation                                             3        39 μs          1 μs    110                                                   BF16, BF16 => BF16
 2020    0.0 %         LayerNormDeviceOperation                                            3        47 μs          1 μs     32                                                   BF16, BF16 => BF16
 2021    0.0 %   BOTH  MatmulDeviceOperation 1024 x 2816 x 2112                            3        76 μs          1 μs     88  290 GB/s  100.7 %  160.7 TFLOPs   88.8 %  HiFi2 BF16 x BF16 => BF16
 2022    0.0 %   BOTH  MatmulDeviceOperation 1024 x 2816 x 2112                            3        75 μs          1 μs     88  292 GB/s  101.3 %  161.6 TFLOPs   89.3 %  HiFi2 BF16 x BF16 => BF16
 2023    0.0 %         UnaryDeviceOperation                                                3        22 μs          1 μs    110                                                         BF16 => BF16
 2024    0.0 %         BinaryNgDeviceOperation                                             3        30 μs          1 μs    110                                                   BF16, BF16 => BF16
