ARCH: blackhole, CHIP_FREQ[MHz]: 1350, Max Compute Cores: 130
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
0,1,2,BRISC,55593,700432589067,0,1024,,,BRISC-FW,ZONE_START,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,62524,700432589986,0,1024,,,BRISC-KERNEL,ZONE_START,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,62524,700665781656,0,1024,,,BRISC-KERNEL,ZONE_END,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,9090,700665781787,1001548019515324416,1024,,,,TS_DATA,0,,{"counter type":"FPU_COUNTER";"ref cnt":233191070;"value":146077696}
0,1,2,BRISC,9090,700665781860,1001548019457327584,1024,,,,TS_DATA,0,,{"counter type":"SFPU_COUNTER";"ref cnt":233191070;"value":88080864}
0,1,2,BRISC,9090,700665781927,1001548019556273148,1024,,,,TS_DATA,0,,{"counter type":"MATH_COUNTER";"ref cnt":233191070;"value":187026428}
0,1,2,BRISC,55593,700665782102,0,1024,,,BRISC-FW,ZONE_END,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,55593,702599562805,0,2048,,,BRISC-FW,ZONE_START,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,62524,702599563591,0,2048,,,BRISC-KERNEL,ZONE_START,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,62524,702832759019,0,2048,,,BRISC-KERNEL,ZONE_END,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,9090,702832759124,1001563764865431552,2048,,,,TS_DATA,0,,{"counter type":"FPU_COUNTER";"ref cnt":233194736;"value":146077696}
0,1,2,BRISC,9090,702832759196,1001563764807434720,2048,,,,TS_DATA,0,,{"counter type":"SFPU_COUNTER";"ref cnt":233194736;"value":88080864}
