median ns (n runs); % vs head
  case           head           grad
     3    2296(3) +0.0%    2344(3) +2.1%
     4    7394(3) +0.0%    7426(3) +0.4%
     5    3454(3) +0.0%    3448(3) -0.2%
     8   12089(3) +0.0%   10960(3) -9.3%
     0   23057(3) +0.0%   23867(3) +3.5%
   w32    3450(3) +0.0%    3250(3) -5.8%
   w64    5497(3) +0.0%    5202(3) -5.4%
  w128    8359(3) +0.0%    7516(3)-10.1%
  w256   12593(3) +0.0%   12169(3) -3.4%
  w512   24313(3) +0.0%   23194(3) -4.6%
 w1024   46577(3) +0.0%   45779(3) -1.7%
w256_l1   10935(3) +0.0%   11006(3) +0.6%
w32_f32    5643(3) +0.0%    4827(3)-14.5%
w64_f32    8860(3) +0.0%    8275(3) -6.6%
w64_rs    3510(3) +0.0%    2652(3)-24.4%
w256_rs    6494(3) +0.0%    6116(3) -5.8%
w1024_rs   23549(3) +0.0%   20805(3)-11.7%
w128_ol1    7364(3) +0.0%    6913(3) -6.1%
w2048_h64    5151(3) +0.0%    4929(3) -4.3%
w4096_h32    5322(3) +0.0%    4825(3) -9.3%
w1024_h256    7318(3) +0.0%    7521(3) +2.8%
w64_h256    2427(3) +0.0%    2408(3) -0.8%
w64_h512    2844(3) +0.0%    2793(3) -1.8%
w128_h1024_t16    5093(3) +0.0%    4582(3)-10.0%
