median ns (n runs); % vs head
  case           head           grad
     3    2381(6) +0.0%    2311(6) -2.9%
     4    7709(6) +0.0%    7373(6) -4.4%
     5    3419(6) +0.0%    3494(6) +2.2%
     8   12091(6) +0.0%   10849(6)-10.3%
     0   23580(6) +0.0%   24014(6) +1.8%
   w32    3452(6) +0.0%    3392(6) -1.7%
   w64    5396(6) +0.0%    5144(6) -4.7%
  w128    8321(6) +0.0%    7589(6) -8.8%
  w256   12664(6) +0.0%   12182(6) -3.8%
  w512   23968(6) +0.0%   23515(6) -1.9%
w256_l1   10763(6) +0.0%   11257(6) +4.6%
w32_f32    5299(6) +0.0%    4659(6)-12.1%
w64_f32    8957(6) +0.0%    8479(6) -5.3%
w64_rs    3513(6) +0.0%    2683(6)-23.6%
w256_rs    6548(6) +0.0%    6129(6) -6.4%
w1024_rs   23790(6) +0.0%   20831(6)-12.4%
w128_ol1    7510(6) +0.0%    6972(6) -7.2%
w2048_h64    5219(6) +0.0%    5115(6) -2.0%
w4096_h32    5359(6) +0.0%    5021(6) -6.3%
w1024_h256    7526(6) +0.0%    7398(6) -1.7%
w64_h256    2455(6) +0.0%    2407(6) -1.9%
w64_h512    2773(6) +0.0%    2782(6) +0.3%
