layer,rank,kept_passes,moe_ms,mla_ms,CombineDeviceOperation_ms,DispatchDeviceOperation_ms,MaskedBincountDeviceOperation_ms,OffsetCumsumDeviceOperation_ms,PostCombineReduceDeviceOperation_ms,TopKDeviceOperation_ms,UnifiedRoutedExpertFfnDeviceOperation_ms
0,0,9,6.482077777777777,3.5566370000000003,2.1394946666666668,1.814170888888889,0.03471944444444444,0.01934011111111111,0.13640944444444444,0.022722333333333334,2.3152208888888888
1,0,9,9.745926,3.556095,3.7422156666666666,2.8275033333333335,0.03469288888888889,0.019438666666666667,0.13659433333333335,0.022736222222222224,2.962744888888889
2,0,9,6.128711444444445,3.554959111111111,1.841173777777778,1.7784115555555555,0.034716444444444446,0.019375777777777776,0.13656166666666666,0.022741777777777777,2.2957304444444446
3,0,9,8.366342,3.555010888888889,3.3573677777777777,2.042205222222222,0.03468311111111111,0.01943677777777778,0.13669277777777777,0.02271711111111111,2.753239222222222
4,0,9,6.239290444444444,3.5548025555555554,1.8744476666666667,1.8538225555555556,0.03468966666666667,0.019370111111111112,0.1363441111111111,0.022734,2.2978823333333334
5,0,9,7.280570333333333,3.5561103333333333,2.5409686666666667,1.9687967777777777,0.03464522222222222,0.019369888888888888,0.13661522222222222,0.02276511111111111,2.5574094444444446
6,0,9,9.180746888888889,3.554742,3.740537333333333,2.381143222222222,0.03468988888888889,0.019496777777777776,0.13636466666666666,0.022729555555555555,2.8457854444444446
7,0,9,10.241876333333334,3.554547111111111,4.23609,2.6579075555555556,0.034687444444444444,0.019377333333333333,0.13659522222222223,0.02275022222222222,3.1344685555555554
8,0,9,7.909554444444445,3.5546774444444442,2.605528777777778,2.599820888888889,0.03472888888888889,0.01950811111111111,0.13669377777777778,0.02272411111111111,2.490549888888889
9,1,9,8.27726111111111,3.555538666666667,3.2200555555555557,2.2713103333333335,0.034674111111111114,0.01944111111111111,0.1366518888888889,0.022754777777777777,2.572373333333333
10,1,9,7.5339205555555555,3.5539272222222222,2.918750111111111,1.9511297777777776,0.034688222222222224,0.019411888888888888,0.13632811111111112,0.022732222222222223,2.450880222222222
11,1,9,8.457549333333333,3.5552882222222224,3.230253,2.3119163333333335,0.034625555555555555,0.019426555555555555,0.13659933333333332,0.022731777777777778,2.701996777777778
12,1,9,8.316154000000001,3.5551485555555553,3.102974777777778,2.7056591111111112,0.03463577777777778,0.01949722222222222,0.136405,0.022723555555555556,2.2942585555555555
13,1,9,9.052001888888888,3.555164888888889,4.116497111111111,2.139576,0.03464144444444445,0.019418444444444443,0.13649744444444445,0.022736777777777776,2.5826346666666664
14,1,9,9.133213333333334,3.5553966666666668,3.90476,2.406318777777778,0.034626333333333335,0.019412333333333334,0.13615233333333332,0.022737444444444446,2.609206111111111
15,1,9,7.146138888888889,3.5564982222222223,2.5870035555555555,1.9278422222222222,0.03461522222222222,0.01941088888888889,0.13652844444444445,0.02272588888888889,2.418012666666667
16,1,9,7.728099888888888,3.554176,3.122761111111111,2.1792525555555553,0.034677,0.019478444444444444,0.13634466666666667,0.02273111111111111,2.212855
17,1,9,9.150793777777778,3.5564443333333333,3.591864777777778,2.8141089999999997,0.03468288888888889,0.019431666666666667,0.13668444444444444,0.022729222222222224,2.5312917777777777
18,2,9,10.376565222222222,3.5521942222222225,4.433524333333334,2.8742067777777778,0.03463777777777778,0.01943822222222222,0.13660255555555556,0.02273411111111111,2.855421444444444
19,2,9,8.00962888888889,3.5569974444444443,2.776959111111111,2.532201111111111,0.034666777777777776,0.019405222222222223,0.13642855555555555,0.022747777777777776,2.4872203333333336
20,2,9,9.233825333333334,3.5541245555555556,3.864098333333333,2.325163888888889,0.03465655555555555,0.019431777777777777,0.13634077777777778,0.022742000000000002,2.831392
21,2,9,8.068661555555554,3.5551484444444443,3.1385917777777776,2.1655935555555557,0.03464977777777778,0.019506222222222223,0.13664944444444443,0.022746666666666665,2.550924111111111
22,2,9,7.494304666666666,3.5536505555555555,2.5614345555555555,2.1882187777777777,0.034648,0.019428333333333332,0.1366738888888889,0.022728666666666668,2.5311724444444446
23,2,9,6.371906888888889,3.5594263333333336,2.0172173333333334,1.8771586666666666,0.03466266666666667,0.019499,0.13658499999999998,0.022740333333333335,2.2640438888888887
24,2,9,9.451320777777777,3.554750555555555,3.6913934444444445,2.6734183333333332,0.034659,0.019438,0.13655366666666666,0.022719222222222224,2.873139111111111
25,2,9,8.492773333333332,3.5543541111111114,3.20528,2.371813111111111,0.03457944444444445,0.019439666666666668,0.13641133333333333,0.022752333333333333,2.7024974444444445
26,2,9,7.10368,3.5551505555555556,2.332938111111111,2.191146333333333,0.03463644444444445,0.019439666666666668,0.13677833333333334,0.022740555555555556,2.3660005555555554
