layer,expert_max_mean,pp_max_mean,tp_max_mean,tp_column_max_share,pp_remote_pick_share,tp_remote_pick_share
0,2.9125,1.181640625,1.63125,0.274853515625,0.873876953125,0.877392578125
1,3.54375,1.183203125,1.4453125,0.263427734375,0.872119140625,0.87646484375
2,2.1625,1.16328125,1.421875,0.281298828125,0.87177734375,0.872509765625
3,7.8875,1.35,2.990625,0.295947265625,0.87509765625,0.879833984375
4,4.03125,1.444140625,2.525,0.3126953125,0.86728515625,0.877099609375
5,5.2875,1.34921875,2.1,0.285986328125,0.874267578125,0.884130859375
6,3.31875,1.184765625,2.05625,0.259765625,0.87265625,0.87822265625
7,4.05625,1.20546875,1.853125,0.285888671875,0.873486328125,0.870654296875
8,6.34375,1.387109375,2.51875,0.29296875,0.870703125,0.87802734375
9,24.55625,2.240234375,6.578125,0.367724609375,0.876318359375,0.867138671875
10,11.10625,2.032421875,4.2390625,0.35244140625,0.861474609375,0.8701171875
11,8.63125,1.855859375,3.1125,0.31533203125,0.873779296875,0.859130859375
12,10.98125,1.716015625,3.7671875,0.339453125,0.87041015625,0.89599609375
13,11.525,1.52421875,3.6921875,0.256591796875,0.86953125,0.86650390625
14,6.59375,1.384765625,3.596875,0.310400390625,0.879345703125,0.888671875
15,6.30625,1.391015625,2.5125,0.290869140625,0.8787109375,0.86484375
16,11.7125,1.78671875,3.24375,0.412744140625,0.86943359375,0.85634765625
17,7.5625,1.858203125,3.1421875,0.2974609375,0.88115234375,0.875732421875
18,11.4125,1.740234375,3.7625,0.429052734375,0.878662109375,0.8794921875
19,7.06875,1.641015625,2.3765625,0.3013671875,0.88994140625,0.875830078125
20,6.59375,1.402734375,2.2703125,0.305322265625,0.865625,0.86591796875
21,5.06875,1.41484375,2.14375,0.312255859375,0.872265625,0.88662109375
22,7.94375,1.33671875,2.4125,0.28251953125,0.860986328125,0.867041015625
23,12.2625,1.525390625,3.6546875,0.288037109375,0.882470703125,0.872412109375
24,3.55,1.310546875,2.1203125,0.294677734375,0.862060546875,0.88232421875
25,6.10625,1.36171875,2.2203125,0.28369140625,0.874365234375,0.897998046875
26,16.49375,1.94140625,4.7671875,0.368505859375,0.881982421875,0.8759765625
27,5.15625,1.317578125,2.084375,0.28662109375,0.87001953125,0.870166015625
28,5.9625,1.3671875,2.01875,0.30322265625,0.87353515625,0.86259765625
29,5.09375,1.353125,2.1078125,0.289892578125,0.8751953125,0.867236328125
30,5.4625,1.291015625,1.7796875,0.26416015625,0.875634765625,0.88251953125
31,4.18125,1.319140625,2.08125,0.279541015625,0.87490234375,0.8751953125
32,6.2,1.36875,2.309375,0.26328125,0.88525390625,0.87666015625
33,3.99375,1.7171875,2.1578125,0.352783203125,0.869775390625,0.878466796875
34,6.4,1.434765625,2.975,0.35556640625,0.875146484375,0.87275390625
