Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'OPTIMIZED_DECODE_B1'.
Using operations until 'OPTIMIZED_DECODE_B1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
422    2.4 %         LayerNormDeviceOperation                       3        44 μs                    1                                                BF16, BF16 => BF16
476    5.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 16384        3        93 μs          1 μs     12  271 GB/s  53.0 %  34.7 TFLOPs   52.3 %  LoFi BF16 x BFP4 => BF16
477    0.2 %         SliceDeviceOperation                           3         4 μs          1 μs    110                                                      BF16 => BF16
478    0.3 %         SliceDeviceOperation                           3         6 μs          1 μs    110                                                      BF16 => BF16
479    2.9 %         BinaryNgDeviceOperation                        3        54 μs          0 μs    110                                                BF16, BF16 => BF16
480    2.6 %   SLOW  MatmulDeviceOperation 32 x 8192 x 3072         3        47 μs          1 μs     12  267 GB/s  52.2 %  34.2 TFLOPs   51.5 %  LoFi BF16 x BFP4 => BF16
481    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
482    0.1 %         ShardedToInterleavedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
483    3.5 %         LayerNormDeviceOperation                       3        44 μs         20 μs      1                                                BF16, BF16 => BF16
484    0.1 %         InterleavedToShardedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
485    3.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 9216         3        54 μs          1 μs     12  260 GB/s  50.8 %  33.3 TFLOPs   50.2 %  LoFi BF16 x BFP4 => BF16
486    0.5 %         NLPCreateQKVHeadsDecodeDeviceOperation         3         8 μs          2 μs      1                                                      BF16 => BF16
487    0.1 %         TypecastDeviceOperation                        3         1 μs          2 μs      1                                                   INT32 => UINT32
488    0.1 %         EmbeddingsDeviceOperation                      3         1 μs          2 μs      1                                              UINT32, BF16 => BF16
489    0.3 %         TilizeWithValPaddingDeviceOperation            3         4 μs          2 μs      1                                                      BF16 => BF16
490    0.1 %         EmbeddingsDeviceOperation                      3         1 μs          2 μs      1                                              UINT32, BF16 => BF16
491    0.3 %         TilizeWithValPaddingDeviceOperation            3         4 μs          1 μs      1                                                      BF16 => BF16
492    0.1 %         ShardedToInterleavedDeviceOperation            3         1 μs          1 μs      1                                                      BF16 => BF16
493    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs      2                                                      BF16 => BF16
494    0.3 %         UntilizeDeviceOperation                        3         3 μs          1 μs      1                                                      BF16 => BF16
495    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs     32                                                      BF16 => BF16
496    0.3 %         TilizeWithValPaddingDeviceOperation            3         3 μs          1 μs      1                                                      BF16 => BF16
497    0.1 %         UnaryDeviceOperation                           3         2 μs          1 μs    110                                                      BF16 => BF16
498    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
499    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
500    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
501    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
502    0.1 %         ConcatDeviceOperation                          3         2 μs          1 μs     96                                                BF16, BF16 => BF16
503    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      3                                                      BF16 => BF16
504    0.2 %         TilizeWithValPaddingDeviceOperation            3         3 μs          2 μs      1                                                      BF16 => BF16
505    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
506    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
507    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
508    0.1 %         ShardedToInterleavedDeviceOperation            3         1 μs          2 μs      1                                                      BF16 => BF16
509    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs      2                                                      BF16 => BF16
510    0.3 %         UntilizeDeviceOperation                        3         3 μs          1 μs      1                                                      BF16 => BF16
511    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs     32                                                      BF16 => BF16
512    0.3 %         TilizeWithValPaddingDeviceOperation            3         3 μs          2 μs      1                                                      BF16 => BF16
513    0.1 %         UnaryDeviceOperation                           3         2 μs          1 μs    110                                                      BF16 => BF16
514    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
515    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
516    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
517    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
518    0.1 %         ConcatDeviceOperation                          3         2 μs          1 μs     96                                                BF16, BF16 => BF16
519    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      3                                                      BF16 => BF16
520    0.2 %         TilizeWithValPaddingDeviceOperation            3         3 μs          2 μs      1                                                      BF16 => BF16
521    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
522    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
523    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
524    0.1 %         InterleavedToShardedDeviceOperation            3         1 μs          2 μs      1                                                      BF16 => BF16
525    0.1 %         InterleavedToShardedDeviceOperation            3         1 μs          2 μs      1                                                      BF16 => BF16
526    1.5 %         PagedUpdateCacheDeviceOperation                3        27 μs          1 μs      1                                                BF16, BF16 => BF16
527    1.5 %         PagedUpdateCacheDeviceOperation                3        27 μs          1 μs      1                                                BF16, BF16 => BF16
528    0.6 %         SdpaDecodeDeviceOperation                      3         8 μs          3 μs     64                                                BF16, BF16 => BF16
529    0.1 %         InterleavedToShardedDeviceOperation            3         1 μs          1 μs      1                                                      BF16 => BF16
530    0.1 %         NLPConcatHeadsDecodeDeviceOperation            3         1 μs          1 μs     32                                                      BF16 => BF16
531    0.3 %         SliceDeviceOperation                           3         2 μs          3 μs     96                                                      BF16 => BF16
532    0.1 %         ReshardDeviceOperation                         3         1 μs          1 μs      8                                                      BF16 => BF16
533    1.3 %   SLOW  MatmulDeviceOperation 32 x 3072 x 3072         3        20 μs          4 μs     12  234 GB/s  45.7 %  30.0 TFLOPs   45.2 %  LoFi BF16 x BFP4 => BF16
534    0.1 %         InterleavedToShardedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
535    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
536    0.4 %         LayerNormDeviceOperation                       3         8 μs          1 μs      8                                                BF16, BF16 => BF16
537    5.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 16384        3        93 μs          1 μs     12  271 GB/s  52.9 %  34.6 TFLOPs   52.2 %  LoFi BF16 x BFP4 => BF16
538    0.2 %         SliceDeviceOperation                           3         4 μs          1 μs    110                                                      BF16 => BF16
539    0.3 %         SliceDeviceOperation                           3         6 μs          1 μs    110                                                      BF16 => BF16
540    2.9 %         BinaryNgDeviceOperation                        3        54 μs          0 μs    110                                                BF16, BF16 => BF16
541    2.6 %   SLOW  MatmulDeviceOperation 32 x 8192 x 3072         3        47 μs          1 μs     12  266 GB/s  52.0 %  34.1 TFLOPs   51.4 %  LoFi BF16 x BFP4 => BF16
542    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
543    0.1 %         ShardedToInterleavedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
544    3.3 %         LayerNormDeviceOperation                       3        44 μs         16 μs      1                                                BF16, BF16 => BF16
545    0.1 %         InterleavedToShardedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
546    3.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 9216         3        55 μs          1 μs     12  259 GB/s  50.6 %  33.2 TFLOPs   50.0 %  LoFi BF16 x BFP4 => BF16
547    0.5 %         NLPCreateQKVHeadsDecodeDeviceOperation         3         8 μs          2 μs      1                                                      BF16 => BF16
548    0.1 %         TypecastDeviceOperation                        3         1 μs          2 μs      1                                                   INT32 => UINT32
549    0.1 %         EmbeddingsDeviceOperation                      3         1 μs          2 μs      1                                              UINT32, BF16 => BF16
550    0.3 %         TilizeWithValPaddingDeviceOperation            3         4 μs          1 μs      1                                                      BF16 => BF16
551    0.1 %         EmbeddingsDeviceOperation                      3         1 μs          2 μs      1                                              UINT32, BF16 => BF16
552    0.3 %         TilizeWithValPaddingDeviceOperation            3         4 μs          1 μs      1                                                      BF16 => BF16
