Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'OPTIMIZED_DECODE_B32'.
Using operations until 'OPTIMIZED_DECODE_B32_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1521    2.0 %         LayerNormDeviceOperation                       3        44 μs                    1                                                BF16, BF16 => BF16
 1522    0.1 %         InterleavedToShardedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
 1523    2.4 %   SLOW  MatmulDeviceOperation 32 x 3072 x 9216         3        54 μs          1 μs     12  260 GB/s  50.8 %  33.3 TFLOPs   50.2 %  LoFi BF16 x BFP4 => BF16
 1524    1.0 %         NLPCreateQKVHeadsDecodeDeviceOperation         3        21 μs          1 μs     32                                                      BF16 => BF16
 1525    0.1 %         TypecastDeviceOperation                        3         1 μs          1 μs      1                                                   INT32 => UINT32
 1526    0.2 %         EmbeddingsDeviceOperation                      3         2 μs          2 μs      1                                              UINT32, BF16 => BF16
 1527    0.2 %         EmbeddingsDeviceOperation                      3         2 μs          1 μs      1                                              UINT32, BF16 => BF16
 1528    0.1 %         ShardedToInterleavedDeviceOperation            3         1 μs          1 μs     32                                                      BF16 => BF16
 1529    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs     64                                                      BF16 => BF16
 1530    0.2 %         UntilizeDeviceOperation                        3         4 μs          1 μs     32                                                      BF16 => BF16
 1531    0.3 %         SliceDeviceOperation                           3         7 μs          1 μs    110                                                      BF16 => BF16
 1532    0.2 %         TilizeWithValPaddingDeviceOperation            3         4 μs          1 μs     32                                                      BF16 => BF16
 1533    0.1 %         UnaryDeviceOperation                           3         2 μs          1 μs    110                                                      BF16 => BF16
 1534    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          3 μs     32                                                      BF16 => BF16
 1535    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          3 μs     32                                                      BF16 => BF16
 1536    0.3 %         PermuteDeviceOperation                         3         6 μs          1 μs     64                                                      BF16 => BF16
 1537    0.3 %         PermuteDeviceOperation                         3         6 μs          1 μs     64                                                      BF16 => BF16
 1538    0.6 %         ConcatDeviceOperation                          3        12 μs          1 μs    110                                                BF16, BF16 => BF16
 1539    0.4 %         PermuteDeviceOperation                         3         8 μs          1 μs     96                                                      BF16 => BF16
 1540    0.2 %         TilizeWithValPaddingDeviceOperation            3         4 μs          1 μs     32                                                      BF16 => BF16
 1541    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
 1542    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
 1543    0.3 %         BinaryNgDeviceOperation                        3         4 μs          2 μs    110                                                BF16, BF16 => BF16
 1544    0.1 %         ShardedToInterleavedDeviceOperation            3         1 μs          1 μs     32                                                      BF16 => BF16
 1545    0.3 %         SliceDeviceOperation                           3         1 μs          4 μs     64                                                      BF16 => BF16
 1546    0.3 %         UntilizeDeviceOperation                        3         4 μs          2 μs     32                                                      BF16 => BF16
 1547    0.4 %         SliceDeviceOperation                           3         7 μs          2 μs    110                                                      BF16 => BF16
 1548    0.5 %         TilizeWithValPaddingDeviceOperation            3         4 μs          7 μs     32                                                      BF16 => BF16
 1549    0.1 %         UnaryDeviceOperation                           3         2 μs          1 μs    110                                                      BF16 => BF16
 1550    1.0 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs         12 μs     32                                                      BF16 => BF16
 1551    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          3 μs     32                                                      BF16 => BF16
 1552    0.3 %         PermuteDeviceOperation                         3         6 μs          1 μs     64                                                      BF16 => BF16
