OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 Untilize,66,,,,,,,1,14,14,256,-,-,-,-,15748
 OptimizedConv,67,,res4e_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,267023
 tt::operations::primary::Matmul,68,,res4e_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38593
 EltwiseBinary,69,,,,,,,1,14,14,1024,1,1,1568,1024,21575
 tt::operations::primary::Matmul,70,,res4f_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,39945
 Untilize,71,,,,,,,1,14,14,256,-,-,-,-,15888
 OptimizedConv,72,,res4f_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266984
 tt::operations::primary::Matmul,73,,res4f_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38681
 EltwiseBinary,74,,,,,,,1,14,14,1024,1,1,1568,1024,21141
 tt::operations::primary::Matmul,75,,res5a_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,512,57369
 Untilize,76,,,,,,,1,14,14,1024,-,-,-,-,48885
 OptimizedConv,77,,res5a_branch1,0,2,1,1,1,14,14,1024,1,1,1024,2048,185046
 Untilize,78,,,,,,,1,14,14,512,-,-,-,-,26706
 OptimizedConv,79,,res5a_branch2b,1,2,3,3,1,14,14,512,1,1,4608,512,174183
 tt::operations::primary::Matmul,80,,res5a_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,55407
 EltwiseBinary,81,,,,,,,1,7,7,2048,1,1,416,2048,14042
 tt::operations::primary::Matmul,82,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,66360
 UntilizeWithUnpadding,83,,,,,,,1,7,7,512,-,-,-,-,167268
 OptimizedConv,84,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227788
 tt::operations::primary::Matmul,85,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,55641
 EltwiseBinary,86,,,,,,,1,7,7,2048,1,1,416,2048,13989
 tt::operations::primary::Matmul,87,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,66594
 UntilizeWithUnpadding,88,,,,,,,1,7,7,512,-,-,-,-,167205
 OptimizedConv,89,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227584
 tt::operations::primary::Matmul,90,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,55522
 EltwiseBinary,91,,,,,,,1,7,7,2048,1,1,416,2048,14160
 Untilize,92,,,,,,,1,7,7,2048,-,-,-,-,86790
 Unpad,93,,,,,,,1,7,7,2048,-,-,-,-,10726
 Pad,94,,,,,,,1,7,7,2048,-,-,-,-,91481
 Tilize,95,,,,,,,1,7,7,2048,-,-,-,-,84408
 Reduce,96,,,,,,,1,1,64,2048,-,-,-,-,12780
 Untilize,97,,,,,,,1,1,32,2048,-,-,-,-,71674
 Unpad,98,,,,,,,1,1,32,2048,-,-,-,-,4520
 Pad,99,,,,,,,1,1,1,2048,-,-,-,-,28782
 Tilize,100,,,,,,,1,1,32,2048,-,-,-,-,31609
 tt::operations::primary::Matmul,101,,fc,,,,,1,1,32,2048,1,1,2048,1024,55487
 UntilizeWithUnpadding,102,,,,,,,1,1,32,1024,-,-,-,-,26551
