OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 OptimizedConv,1,,conv1,3,2,7,7,1,224,224,3,1,1,224,64,326302
Untilize,2,,,,,,,1,112,112,64,,,,,70285
MaxPool,3,,pool1,1,2,3,3,1,112,112,64,,,,,314223
Tilize,4,,,,,,,1,56,56,64,,,,,4628
 tt::operations::primary::Matmul,5,,res2a_branch2a,0,1,1,1,1,56,56,64,1,1,64,64,16874
 tt::operations::primary::Matmul,6,,res2a_branch1,0,1,1,1,1,56,56,64,1,1,64,256,33909
Untilize,7,,,,,,,1,56,56,64,,,,,22181
OptimizedConv,8,,res2a_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,226868
 tt::operations::primary::Matmul,9,,res2a_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33611
 EltwiseBinary,10,,,,,,,1,56,56,256,1,56,56,256,18349
 tt::operations::primary::Matmul,11,,res2b_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,30201
 Untilize,12,,,,,,,1,56,56,64,-,-,-,-,22185
 OptimizedConv,13,,res2b_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,227155
 tt::operations::primary::Matmul,14,,res2b_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33621
 EltwiseBinary,15,,,,,,,1,56,56,256,1,1,25088,256,18577
 tt::operations::primary::Matmul,16,,res2c_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,30214
 Untilize,17,,,,,,,1,56,56,64,-,-,-,-,22349
 OptimizedConv,18,,res2c_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,227119
 tt::operations::primary::Matmul,19,,res2c_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33630
 EltwiseBinary,20,,,,,,,1,56,56,256,1,1,25088,256,18312
 tt::operations::primary::Matmul,21,,res3a_branch2a,0,1,1,1,1,56,56,256,1,1,256,128,53542
 Untilize,22,,,,,,,1,56,56,256,-,-,-,-,56240
 OptimizedConv,23,,res3a_branch1,0,2,1,1,1,56,56,256,1,1,256,512,65819
Untilize,24,,,,,,,1,56,56,128,-,-,-,-,31224
OptimizedConv,25,,res3a_branch2b,1,2,3,3,1,56,56,128,1,1,1152,128,93913
 tt::operations::primary::Matmul,26,,res3a_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,38857
 EltwiseBinary,27,,,,,,,1,28,28,512,1,1,6272,512,11120
 tt::operations::primary::Matmul,28,,res3b_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,36582
Untilize,29,,,,,,,1,28,28,128,-,-,-,-,11598
OptimizedConv,30,,res3b_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,114398
 tt::operations::primary::Matmul,31,,res3b_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39002
 EltwiseBinary,32,,,,,,,1,28,28,512,1,1,6272,512,11132
 tt::operations::primary::Matmul,33,,res3c_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,37236
Untilize,34,,,,,,,1,28,28,128,-,-,-,-,11785
OptimizedConv,35,,res3c_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,114348
 tt::operations::primary::Matmul,36,,res3c_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39060
 EltwiseBinary,37,,,,,,,1,28,28,512,1,1,6272,512,11116
 tt::operations::primary::Matmul,38,,res3d_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,36739
Untilize,39,,,,,,,1,28,28,128,-,-,-,-,11580
OptimizedConv,40,,res3d_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,114344
 tt::operations::primary::Matmul,41,,res3d_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,38763
 EltwiseBinary,42,,,,,,,1,28,28,512,1,1,6272,512,34207
 tt::operations::primary::Matmul,43,,res4a_branch2a,0,1,1,1,1,28,28,512,1,1,512,256,75928
