Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
25.77,ArgMaxDeviceOperation (in0:l1_interleaved),984.40,3,Other,,,,,
25.01,MatmulDeviceOperation (in0:width_sharded),955.70,18,Compute,29.10,53.10,43.29,8.07,49.53
23.49,ReduceDeviceOperation (in0:l1_interleaved),897.42,3,Compute,,,,,
2.36,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),90.15,15,TM,,,,,
2.31,GatherDeviceOperation (in0:dram_interleaved),88.10,3,Other,,,,,
2.30,ReshapeViewDeviceOperation (in0:dram_interleaved),87.76,3,Other,,,,,
1.44,LayerNormDeviceOperation (in0:width_sharded),55.02,9,Compute,,,,,
1.40,FillPadDeviceOperation (in0:dram_interleaved),53.50,9,TM,,,,,
1.32,AllReduceAsyncDeviceOperation (in0:width_sharded),50.32,6,Other,,,,,
1.26,UntilizeDeviceOperation (in0:dram_interleaved),48.25,9,TM,,,,,
1.13,BinaryNgDeviceOperation (in0:width_sharded),43.19,9,Compute,,,,,
1.11,AllGatherDeviceOperation (in0:dram_interleaved),42.55,3,Other,,,,,
1.07,UntilizeDeviceOperation (in0:l1_interleaved),40.75,3,TM,,,,,
1.05,RotaryEmbeddingDeviceOperation (in0:height_sharded),40.23,6,Other,,,,,
0.82,SdpaDecodeDeviceOperation (in0:dram_interleaved),31.50,3,Other,,,,,
0.82,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),31.46,3,TM,,,,,
0.81,AllGatherAsyncDeviceOperation (in0:dram_interleaved),30.98,3,Other,,,,,
0.63,ReshardDeviceOperation (in0:width_sharded),23.96,18,DM,,,,,
0.57,EmbeddingsDeviceOperation (in0:dram_interleaved),21.85,9,Compute,,,,,
0.53,TransposeDeviceOperation (in0:dram_interleaved),20.17,9,TM,,,,,
0.50,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),19.11,6,DM,,,,,
0.45,ShardedToInterleavedDeviceOperation (in0:width_sharded),17.07,9,DM,,,,,
0.42,TypecastDeviceOperation (in0:l1_interleaved),16.08,9,TM,,,,,
0.41,SliceDeviceOperation (in0:dram_interleaved),15.84,9,TM,,,,,
0.33,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),12.59,3,TM,,,,,
0.30,ArgMaxDeviceOperation (in0:dram_interleaved),11.52,3,Other,,,,,
0.30,CopyDeviceOperation (in0:dram_interleaved),11.51,9,DM,,,,,
0.29,InterleavedToShardedDeviceOperation (in0:dram_interleaved),11.14,9,DM,,,,,
0.28,TypecastDeviceOperation (in0:width_sharded),10.77,6,TM,,,,,
0.21,SliceDeviceOperation (in0:l1_interleaved),7.89,6,TM,,,,,
0.21,TypecastDeviceOperation (in0:dram_interleaved),7.86,6,TM,,,,,
0.20,BinaryNgDeviceOperation (in0:dram_interleaved),7.47,3,Compute,,,,,
0.19,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),7.20,3,Other,,,,,
0.13,SliceDeviceOperation (in0:width_sharded),5.05,3,TM,,,,,
0.13,ConcatDeviceOperation (in0:l1_interleaved),4.78,3,TM,,,,,
0.11,ShardedToInterleavedDeviceOperation (in0:height_sharded),4.19,6,DM,,,,,
0.10,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),3.97,3,TM,,,,,
0.10,PlusOneDeviceOperation (in0:dram_interleaved),3.85,6,Other,,,,,
0.10,CopyDeviceOperation (in0:l1_interleaved),3.64,3,DM,,,,,
0.05,InterleavedToShardedDeviceOperation (in0:l1_interleaved),1.85,3,DM,,,,,
