GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
31747,,,3,blackhole,,110,110,,,172,6427,15006271422802,15006271431479,5846,15006271423446,15006271431338,5846,15006271423446,15006271431338,5797,5599,,,,,304321641,304321641
32771,,,3,blackhole,,4,110,,,110,2690,15006272007692,15006272011323,2067,15006272008385,15006272011176,2067,15006272008385,15006272011176,2056,1214,1279,184,1376,,427358,427358
33795,,,3,blackhole,,110,110,,,166,404544,15006275390052,15006275936187,403936,15006275390708,15006275936022,403936,15006275390708,15006275936022,,403936,,,,,2503355,2503355
34819,,,3,blackhole,,48,110,,,324,5549707,15006703476895,15006710968999,5547963,15006703479091,15006710968841,5547961,15006703479093,15006710968841,5547943,5544708,5545025,5545161,5545211,,316698572,316698544
35843,,,3,blackhole,,110,110,,,163,137807,15006710978142,15006711164182,137230,15006710978779,15006711164039,137230,15006710978779,15006711164039,137215,136957,,,,,7362,7362
36867,,,3,blackhole,,110,110,,,164,135641,15006711173007,15006711356123,135059,15006711173652,15006711355982,135059,15006711173652,15006711355982,135059,134789,,,,,7121,7121
37891,,,3,blackhole,,110,110,,,177,207019,15006713909960,15006714189435,206431,15006713910607,15006714189289,206431,15006713910607,15006714189289,206393,202594,205492,206016,205328,,1892314,1892314
38915,,,3,blackhole,,64,110,,,281,2488479,15006721438616,15006724798062,2486639,15006721440942,15006724797904,2486637,15006721440944,15006724797904,2486633,2482394,2482690,2482829,2482885,,5371596,5371596
39939,,,3,blackhole,,110,110,,,221,1807,15006726211854,15006726214294,1224,15006726212496,15006726214148,1214,15006726212509,15006726214148,1170,724,736,279,386,,1048100,1047792
40963,,,3,blackhole,,110,110,,,164,18344,15006729507522,15006729532287,17753,15006729508179,15006729532145,17753,15006729508179,15006729532145,17741,15870,,,,,2440079,2440079
41987,,,3,blackhole,,110,110,,,172,377238,15006735767264,15006736276535,376651,15006735767906,15006736276385,376651,15006735767906,15006736276385,376617,374955,375187,376249,375638,,4619081,4619081
43011,,,3,blackhole,,110,110,,,301,202066,15006744482547,15006744755336,200268,15006744484831,15006744755193,200268,15006744484831,15006744755193,200268,199740,199893,199239,187833,,6080326,6080326
44035,,,3,blackhole,,110,110,,,176,5999,15006750012657,15006750020755,5416,15006750013297,15006750020608,5416,15006750013297,15006750020608,5373,5004,4981,316,4353,,3895211,3895211
45059,,,3,blackhole,,110,110,,,176,5835,15006750208231,15006750216108,5244,15006750208883,15006750215962,5240,15006750208888,15006750215962,5231,4819,4805,307,4074,,139471,139467
46083,,,3,blackhole,,4,110,,,250,26623,15006770036772,15006770072713,26101,15006770037327,15006770072564,25966,15006770037510,15006770072564,25883,12300,25051,25138,25309,,14682222,14682670
47107,,,3,blackhole,,80,110,,,276,63594,15006770129478,15006770215330,61798,15006770131745,15006770215172,61798,15006770131745,15006770215172,61798,53024,54144,54123,54590,,43838,43838
48131,,,3,blackhole,,4,110,,,894,67860,15006770214090,15006770305701,66236,15006770216134,15006770305553,66236,15006770216134,15006770305553,66236,65914,,,,,713,713
49155,,,3,blackhole,,110,110,,,1414,63905,15006770259710,15006770345982,29379,15006770306175,15006770345836,29378,15006770306176,15006770345836,29378,28801,29012,28887,28905,,461,461
50179,,,3,blackhole,,16,110,,,1372,15631,15006770337122,15006770358224,8610,15006770346453,15006770358076,8609,15006770346454,15006770358076,8608,8027,8231,8106,8129,,457,458
51203,,,3,blackhole,,16,110,,,1167,2622,15006770358005,15006770361545,2005,15006770358695,15006770361402,2005,15006770358695,15006770361402,2005,1597,,,,,458,458
52227,,,3,blackhole,,16,110,,,123,2184,15006770364892,15006770367841,1510,15006770365664,15006770367702,1510,15006770365664,15006770367702,1508,866,,,,,3158,3158
53251,,,3,blackhole,,110,110,,,479,29006,15006770423142,15006770462300,28293,15006770423926,15006770462122,28293,15006770423926,15006770462122,28221,26491,27662,27726,27599,,41647,41647
54275,,,3,blackhole,,4,110,,,90,55756,15006770460624,15006770535894,53801,15006770463113,15006770535745,53801,15006770463113,15006770535745,53801,53519,,,,,734,734
55299,,,3,blackhole,,64,110,,,1246,117153,15006770507524,15006770665680,95653,15006770536383,15006770665515,95653,15006770536383,15006770665515,95653,91410,91730,91656,91979,,473,473
56323,,,3,blackhole,,16,110,,,1070,45673,15006770665087,15006770726746,44553,15006770666439,15006770726586,44553,15006770666439,15006770726586,44551,43834,44044,43986,44096,,684,684
57347,,,3,blackhole,,4,110,,,401,25421,15006770727966,15006770762285,24855,15006770728585,15006770762139,24855,15006770728585,15006770762139,24792,16801,24041,24113,24348,,1481,1481
58371,,,3,blackhole,,4,110,,,713,26886,15006770728676,15006770764972,1358,15006770762998,15006770764831,1358,15006770762998,15006770764831,1358,1111,,,,,636,636
59395,,,3,blackhole,,4,110,,,668,1789,15006770765630,15006770768045,1359,15006770766068,15006770767902,1359,15006770766068,15006770767902,1292,1093,,,,,917,917
60419,,,3,blackhole,,110,110,,,202,2544,15006770791648,15006770795083,1937,15006770792294,15006770794909,1936,15006770792295,15006770794909,1899,621,647,1465,344,,18068,18066
61443,,,3,blackhole,,110,110,,,178,1707,15006770870701,15006770873006,1116,15006770871350,15006770872857,1113,15006770871354,15006770872857,1079,624,676,716,327,,56608,56609
62467,,,3,blackhole,,4,110,,,107,4385,15006770906001,15006770911921,3871,15006770906554,15006770911780,3864,15006770906564,15006770911780,3770,1712,1726,1790,2050,,24960,24970
63491,,,3,blackhole,,4,110,,,102,10036,15006770944379,15006770957927,9429,15006770945050,15006770957779,9429,15006770945050,15006770957779,9363,595,638,202,838,,24645,24645
64515,,,3,blackhole,,4,110,,,81,10153,15006770975970,15006770989677,9537,15006770976652,15006770989527,9537,15006770976652,15006770989527,9537,600,667,207,868,,13980,13980
65539,,,3,blackhole,,110,110,,,161,6502,15006771016497,15006771025275,5910,15006771017155,15006771025134,5910,15006771017155,15006771025134,5893,5653,,,,,20464,20464
66563,,,3,blackhole,,4,110,,,119,2653,15006771047009,15006771050590,2046,15006771047681,15006771050443,2046,15006771047681,15006771050443,2009,1175,1237,183,1320,,16702,16702
67587,,,3,blackhole,,110,110,,,163,406144,15006771117178,15006771665473,405563,15006771117806,15006771665316,405563,15006771117806,15006771665316,,405563,,,,,49899,49899
68611,,,3,blackhole,,48,110,,,1199,5792257,15006771340888,15006779160435,5551282,15006771666032,15006779160263,5551281,15006771666034,15006779160263,5551274,5548059,5548364,5548489,5548545,,530,532
69635,,,3,blackhole,,110,110,,,1086,5686709,15006771667248,15006779344305,135670,15006779161009,15006779344163,135670,15006779161009,15006779344163,135668,135396,,,,,553,553
70659,,,3,blackhole,,110,110,,,1024,185632,15006779279593,15006779530196,137101,15006779344965,15006779530051,137101,15006779344965,15006779530051,137099,136833,,,,,594,594
71683,,,3,blackhole,,110,110,,,1104,265690,15006779451098,15006779809780,206502,15006779530852,15006779809630,206502,15006779530852,15006779809630,206502,202667,205576,206087,205427,,593,593
72707,,,3,blackhole,,64,110,,,1233,2495123,15006779800275,15006783168691,2487607,15006779810263,15006783168532,2487607,15006779810263,15006783168532,2487607,2483392,2483684,2483824,2483882,,469,469
73731,,,3,blackhole,,110,110,,,1198,2489302,15006779811502,15006783172060,1953,15006783169276,15006783171912,1953,15006783169276,15006783171912,1953,1519,1566,1101,1324,,551,551
74755,,,3,blackhole,,110,110,,,1133,19168,15006783171264,15006783197141,18050,15006783172630,15006783196997,18050,15006783172630,15006783196997,18049,16165,,,,,532,532
75779,,,3,blackhole,,110,110,,,1156,378496,15006783191952,15006783702921,374093,15006783197749,15006783702775,374093,15006783197749,15006783702775,374093,372395,372633,373689,373083,,557,557
76803,,,3,blackhole,,110,110,,,1225,354974,15006783498250,15006783977465,202776,15006783703576,15006783977323,202776,15006783703576,15006783977323,202776,202259,202410,201750,190268,,593,593
77827,,,3,blackhole,,110,110,,,1144,163936,15006783764530,15006783985844,5683,15006783978026,15006783985698,5683,15006783978026,15006783985698,5683,5269,5261,1171,4364,,521,521
78851,,,3,blackhole,,110,110,,,1180,8304,15006783982296,15006783993506,5171,15006783986366,15006783993347,5170,15006783986368,15006783993347,5170,4810,4804,1185,4345,,495,496
79875,,,3,blackhole,,4,110,,,253,26679,15006784091952,15006784127968,26159,15006784092506,15006784127820,26023,15006784092689,15006784127820,25940,12385,25067,25164,25338,,73452,73587
80899,,,3,blackhole,,80,110,,,277,63632,15006784147775,15006784233678,61830,15006784150046,15006784233517,61829,15006784150048,15006784233517,61829,53002,54235,54207,54664,,16464,16465
81923,,,3,blackhole,,4,110,,,904,67936,15006784232368,15006784324082,66271,15006784234467,15006784323933,66271,15006784234467,15006784323933,66271,65951,,,,,704,704
82947,,,3,blackhole,,110,110,,,1394,91033,15006784241565,15006784364460,29449,15006784324555,15006784364311,29447,15006784324557,15006784364311,29447,28865,29081,28947,28969,,461,462
83971,,,3,blackhole,,16,110,,,1383,16129,15006784354954,15006784376728,8630,15006784364930,15006784376580,8630,15006784364930,15006784376580,8630,8046,8253,8127,8143,,459,459
84995,,,3,blackhole,,16,110,,,1156,2879,15006784376240,15006784380127,2060,15006784377202,15006784379983,2060,15006784377202,15006784379983,2056,1657,,,,,461,461
86019,,,3,blackhole,,16,110,,,1141,2504,15006784380133,15006784383513,2050,15006784380601,15006784383369,2050,15006784380601,15006784383369,1972,1644,,,,,458,458
87043,,,3,blackhole,,110,110,,,1590,29949,15006784381714,15006784422145,28156,15006784383982,15006784421992,28154,15006784383984,15006784421992,28153,26348,27796,27584,27672,,454,456
88067,,,3,blackhole,,4,110,,,1013,54284,15006784421445,15006784494728,53173,15006784422763,15006784494547,53173,15006784422763,15006784494547,53173,52881,,,,,571,571
89091,,,3,blackhole,,64,110,,,1267,148519,15006784423858,15006784624358,95532,15006784495221,15006784624189,95532,15006784495221,15006784624189,95532,91396,91687,91627,91937,,499,499
90115,,,3,blackhole,,16,110,,,1190,45332,15006784623888,15006784685086,44292,15006784625134,15006784684928,44288,15006784625139,15006784684928,44282,43602,43815,43741,43870,,700,704
91139,,,3,blackhole,,4,110,,,403,25421,15006784686330,15006784720649,24850,15006784686952,15006784720500,24850,15006784686952,15006784720500,24771,16824,24075,24140,24348,,1499,1499
92163,,,3,blackhole,,4,110,,,692,26911,15006784687006,15006784723336,1350,15006784721365,15006784723187,1350,15006784721365,15006784723187,1350,1096,,,,,641,641
93187,,,3,blackhole,,4,110,,,687,1796,15006784724001,15006784726426,1368,15006784724435,15006784726282,1368,15006784724435,15006784726282,1280,1119,,,,,924,924
94211,,,3,blackhole,,110,110,,,1110,4427,15006784725059,15006784731035,2884,15006784726994,15006784730888,2884,15006784726994,15006784730888,2884,1564,1616,2407,1330,,527,527
95235,,,3,blackhole,,110,110,,,1092,4107,15006784728930,15006784734474,2000,15006784731620,15006784734320,2000,15006784731620,15006784734320,1998,1523,1564,1600,1256,,542,542
