Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
31.78,MatmulDeviceOperation (in0:width_sharded),316.79,3,Compute,32.51,52.18,42.87,9.88,40.50
18.61,SdpaDecodeDeviceOperation (in0:height_sharded),185.49,1,Other,,,,,
18.32,MatmulDeviceOperation (in0:l1_interleaved),182.59,1,Compute,3.75,3.75,3.75,,3.75
5.65,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),56.34,2,DM,,,,,
4.04,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),40.27,4,TM,,,,,
3.84,PermuteDeviceOperation (in0:dram_interleaved),38.29,6,TM,,,,,
3.17,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),31.65,1,Other,,,,,
2.69,ConcatDeviceOperation (in0:dram_interleaved),26.80,2,TM,,,,,
2.47,BinaryNgDeviceOperation (in0:dram_interleaved),24.63,7,Compute,,,,,
2.31,SliceDeviceOperation (in0:dram_interleaved),23.04,6,TM,,,,,
1.55,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),15.49,4,TM,,,,,
1.41,LayerNormDeviceOperation (in0:width_sharded),14.07,2,Compute,,,,,
0.82,UntilizeDeviceOperation (in0:dram_interleaved),8.21,2,TM,,,,,
0.68,TransposeDeviceOperation (in0:dram_interleaved),6.81,2,TM,,,,,
0.47,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),4.68,1,TM,,,,,
0.46,InterleavedToShardedDeviceOperation (in0:dram_interleaved),4.61,4,DM,,,,,
0.45,BinaryNgDeviceOperation (in0:width_sharded),4.52,2,Compute,,,,,
0.35,UnaryDeviceOperation (in0:dram_interleaved),3.52,2,Compute,,,,,
0.28,ShardedToInterleavedDeviceOperation (in0:height_sharded),2.79,2,DM,,,,,
0.27,CopyDeviceOperation (in0:dram_interleaved),2.69,1,DM,,,,,
0.16,ShardedToInterleavedDeviceOperation (in0:width_sharded),1.55,1,DM,,,,,
0.12,ReshardDeviceOperation (in0:width_sharded),1.19,1,DM,,,,,
0.09,ReshardDeviceOperation (in0:height_sharded),0.88,1,DM,,,,,
