candidate,batch,prefill_ms,decode_mean_ms,decode_min_ms,pcc,result
functional_final,1,1.761852,1.049735,1.046928,,baseline
functional_final,32,37.714475,1.269351,1.264001,,baseline
optimized_final_split_gate_up,1,1.823820,0.481357,0.480407,0.9999956,chosen
optimized_final_split_gate_up,32,30.657629,0.658103,0.654058,0.9999926,chosen
packed_gate_up_control,1,,0.486928,0.484935,,rejected
packed_gate_up_control,32,,0.662074,0.655331,,rejected
split_qkv_adapted_dram_concat,1,,0.555469,0.553977,0.9999957,rejected
split_qkv_adapted_dram_concat,32,,0.718929,0.716006,0.9999956,rejected
bfp4_lofi_8_output_cores,1,,0.489604,0.488692,,rejected
bfp4_lofi_8_output_cores,32,,0.672082,0.669818,,rejected
bfp4_lofi_32_output_cores,1,,0.508605,0.507578,,rejected
bfp4_lofi_32_output_cores,32,,0.674035,0.668846,,rejected
bfp8_attention_down_16_output_cores,1,,0.508095,,,rejected
bfp8_attention_down_16_output_cores,32,,0.684649,,,rejected
bfp4_attention_bfp8_down,1,,0.495734,,,rejected
bfp4_attention_bfp8_down,32,,0.671306,,,rejected
bfp8_hifi2,1,,0.665310,,,rejected
bfp8_hifi2,32,,0.840346,,,rejected
default_sdpa,1,,0.489457,0.487270,,rejected
default_sdpa,32,,0.698822,0.696818,,rejected
bf16_kv_cache,1,,0.485322,0.483573,,rejected_joint
bf16_kv_cache,32,,0.706325,0.699163,,rejected_joint
qkv_block_w_3,1,,0.491057,0.490075,,rejected
qkv_block_w_3,32,,0.666678,0.663247,,rejected
o_block_w_3,1,,0.491662,0.489214,,rejected
o_block_w_3,32,,0.665980,0.661434,,rejected
split_gate_up_block_w_3,1,,0.490237,0.488633,,rejected
split_gate_up_block_w_3,32,,0.665741,0.662284,,rejected
down_block_w_8,1,,0.489723,0.488602,,rejected
down_block_w_8,32,,0.664643,0.662304,,rejected
explicit_large_prefill,1,1.942294,,,,rejected
