define,register_file,addr32,shamt,mask,setter,value,function,condition,file,line,target_expression,resolution,invocation
RISC_DEST_ACCESS_CTRL_SEC2_no_swizzle,Tensix,3,24,0x1000000,cfg_rmw,val,set_dest_no_swizzle_rmw,unconditional,tt_llk_blackhole/common/inc/ckernel_dest.h,118,RISC_DEST_ACCESS_CTRL_SEC2_no_swizzle_RMW,resolved,"cfg_rmw(RISC_DEST_ACCESS_CTRL_SEC2_no_swizzle_RMW, val)"
ALU_ACC_CTRL_Zero_Flag_disabled_src,Tensix,2,0,0x1,cfg_reg_rmw_tensix,disable ? 1 : 0,_configure_src_zero_flag_,unconditional; value-select: disable ? 1 : 0,tt_llk_blackhole/common/inc/cmath_common.h,67,ALU_ACC_CTRL_Zero_Flag_disabled_src_RMW,resolved,cfg_reg_rmw_tensix<ALU_ACC_CTRL_Zero_Flag_disabled_src_RMW>(disable ? 1 : 0)
DEST_TARGET_REG_CFG_MATH_Offset,Thread,1,0,0xfff,TT_SETC16,dst_index,set_dst_write_addr,else of (preceding branch),tt_llk_blackhole/common/inc/cmath_common.h,241,DEST_TARGET_REG_CFG_MATH_Offset_ADDR32,resolved,"TT_SETC16(DEST_TARGET_REG_CFG_MATH_Offset_ADDR32, dst_index)"
DEST_TARGET_REG_CFG_MATH_Offset,Thread,1,0,0xfff,TT_SETC16,base_addr,dest_section_flip,unconditional,tt_llk_blackhole/common/inc/cmath_common.h,269,DEST_TARGET_REG_CFG_MATH_Offset_ADDR32,resolved,"TT_SETC16(DEST_TARGET_REG_CFG_MATH_Offset_ADDR32, base_addr)"
DEST_TARGET_REG_CFG_MATH_Offset,Thread,1,0,0xfff,TTI_SETC16,0,set_dest_section_base,unconditional,tt_llk_blackhole/common/inc/cmath_common.h,277,DEST_TARGET_REG_CFG_MATH_Offset_ADDR32,resolved,"TTI_SETC16(DEST_TARGET_REG_CFG_MATH_Offset_ADDR32, 0)"
DEST_TARGET_REG_CFG_MATH_Offset,Thread,1,0,0xfff,TTI_SETC16,DEST_REGISTER_HALF_SIZE,set_dest_section_base,else of (preceding branch),tt_llk_blackhole/common/inc/cmath_common.h,281,DEST_TARGET_REG_CFG_MATH_Offset_ADDR32,resolved,"TTI_SETC16(DEST_TARGET_REG_CFG_MATH_Offset_ADDR32, DEST_REGISTER_HALF_SIZE)"
PCK0_ADDR_CTRL_XY_REG_0_Xstride,Tensix,12,0,0xffff,TTI_WRCFG,p_gpr_pack::TMP0,set_packer_strides,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,316,PCK0_ADDR_CTRL_XY_REG_0_Xstride_ADDR32,resolved,"TTI_WRCFG(p_gpr_pack::TMP0, p_cfg::WRCFG_32b, PCK0_ADDR_CTRL_XY_REG_0_Xstride_ADDR32)"
PCK0_ADDR_CTRL_XY_REG_0_Ystride,Tensix,12,16,0xffff0000,TTI_WRCFG,p_gpr_pack::TMP0,set_packer_strides,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,316,PCK0_ADDR_CTRL_XY_REG_0_Xstride_ADDR32,resolved,"TTI_WRCFG(p_gpr_pack::TMP0, p_cfg::WRCFG_32b, PCK0_ADDR_CTRL_XY_REG_0_Xstride_ADDR32)"
PCK0_ADDR_CTRL_ZW_REG_0_Wstride,Tensix,13,16,0xffff0000,TTI_WRCFG,p_gpr_pack::TMP1,set_packer_strides,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,317,PCK0_ADDR_CTRL_ZW_REG_0_Zstride_ADDR32,resolved,"TTI_WRCFG(p_gpr_pack::TMP1, p_cfg::WRCFG_32b, PCK0_ADDR_CTRL_ZW_REG_0_Zstride_ADDR32)"
PCK0_ADDR_CTRL_ZW_REG_0_Zstride,Tensix,13,0,0xffff,TTI_WRCFG,p_gpr_pack::TMP1,set_packer_strides,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,317,PCK0_ADDR_CTRL_ZW_REG_0_Zstride_ADDR32,resolved,"TTI_WRCFG(p_gpr_pack::TMP1, p_cfg::WRCFG_32b, PCK0_ADDR_CTRL_ZW_REG_0_Zstride_ADDR32)"
PCK0_ADDR_CTRL_ZW_REG_1_Wstride,Tensix,15,16,0xffff0000,TTI_WRCFG,p_gpr_pack::TMP1,set_packer_strides,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,327,PCK0_ADDR_CTRL_ZW_REG_1_Zstride_ADDR32,resolved,"TTI_WRCFG(p_gpr_pack::TMP1, p_cfg::WRCFG_32b, PCK0_ADDR_CTRL_ZW_REG_1_Zstride_ADDR32)"
PCK0_ADDR_CTRL_ZW_REG_1_Zstride,Tensix,15,0,0xffff,TTI_WRCFG,p_gpr_pack::TMP1,set_packer_strides,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,327,PCK0_ADDR_CTRL_ZW_REG_1_Zstride_ADDR32,resolved,"TTI_WRCFG(p_gpr_pack::TMP1, p_cfg::WRCFG_32b, PCK0_ADDR_CTRL_ZW_REG_1_Zstride_ADDR32)"
THCON_SEC0_REG1_Disable_pack_zero_flags,Tensix,70,2,0x4,cfg_reg_rmw_tensix,pack_l1_acc,reconfigure_packer_l1_acc,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,340,THCON_SEC0_REG1_Disable_pack_zero_flags_RMW,resolved,cfg_reg_rmw_tensix<THCON_SEC0_REG1_Disable_pack_zero_flags_RMW>(pack_l1_acc)
THCON_SEC0_REG1_Pack_L1_Acc,Tensix,71,19,0x80000,cfg_reg_rmw_tensix,pack_l1_acc,reconfigure_packer_l1_acc,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,341,THCON_SEC0_REG1_Pack_L1_Acc_RMW,resolved,cfg_reg_rmw_tensix<THCON_SEC0_REG1_Pack_L1_Acc_RMW>(pack_l1_acc)
THCON_SEC0_REG1_Exp_threshold,Tensix,71,24,0xff000000,cfg_reg_rmw_tensix,threshold_rmw_data,reconfigure_exp_threshold,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,388,"THCON_SEC0_REG1_Exp_threshold_ADDR32, 0, THRESHOLD_RMW_MASK",resolved,"cfg_reg_rmw_tensix<THCON_SEC0_REG1_Exp_threshold_ADDR32, 0, THRESHOLD_RMW_MASK>(threshold_rmw_data)"
THCON_SEC0_REG1_Exp_threshold_en,Tensix,71,20,0x100000,cfg_reg_rmw_tensix,threshold_rmw_data,reconfigure_exp_threshold,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,388,"THCON_SEC0_REG1_Exp_threshold_ADDR32, 0, THRESHOLD_RMW_MASK",resolved,"cfg_reg_rmw_tensix<THCON_SEC0_REG1_Exp_threshold_ADDR32, 0, THRESHOLD_RMW_MASK>(threshold_rmw_data)"
THCON_SEC0_REG1_Exp_section_size,Tensix,68,16,0xffff0000,cfg[]=,config.val[0],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,444,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 0,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 0] = config.val[0];
THCON_SEC0_REG1_Row_start_section_size,Tensix,68,0,0xffff,cfg[]=,config.val[0],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,444,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 0,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 0] = config.val[0];
THCON_SEC0_REG1_Add_l1_dest_addr_offset,Tensix,70,1,0x2,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Add_tile_header_size,Tensix,70,22,0x400000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_All_pack_disable_zero_compress_ovrd,Tensix,70,21,0x200000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Auto_set_last_pacr_intf_sel,Tensix,70,13,0x2000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Dis_shared_exp_assembler,Tensix,70,12,0x1000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Disable_pack_zero_flags,Tensix,70,2,0x4,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Disable_zero_compress,Tensix,70,0,0x1,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Enable_out_fifo,Tensix,70,14,0x4000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_In_data_format,Tensix,70,8,0xf00,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_L1_source_addr,Tensix,70,24,0xff000000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Out_data_format,Tensix,70,4,0xf0,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Source_interface_selection,Tensix,70,16,0x10000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_Sub_l1_tile_header_size,Tensix,70,15,0x8000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_ovrd_default_throttle_mode,Tensix,70,3,0x8,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_pack_dis_y_pos_start_offset,Tensix,70,23,0x800000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
THCON_SEC0_REG1_pack_start_intf_pos,Tensix,70,17,0x1e0000,cfg[]=,config.val[2],set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,445,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,cfg[THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2] = config.val[2];
PCK_DEST_RD_CTRL_Read_32b_data,Tensix,18,0,0x1,cfg[]=,dest_rd_ctrl.val,set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,472,PCK_DEST_RD_CTRL_Read_32b_data_ADDR32,resolved,cfg[PCK_DEST_RD_CTRL_Read_32b_data_ADDR32] = dest_rd_ctrl.val;
PCK_DEST_RD_CTRL_Read_int8,Tensix,18,2,0x4,cfg[]=,dest_rd_ctrl.val,set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,472,PCK_DEST_RD_CTRL_Read_32b_data_ADDR32,resolved,cfg[PCK_DEST_RD_CTRL_Read_32b_data_ADDR32] = dest_rd_ctrl.val;
PCK_DEST_RD_CTRL_Read_unsigned,Tensix,18,1,0x2,cfg[]=,dest_rd_ctrl.val,set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,472,PCK_DEST_RD_CTRL_Read_32b_data_ADDR32,resolved,cfg[PCK_DEST_RD_CTRL_Read_32b_data_ADDR32] = dest_rd_ctrl.val;
PCK_DEST_RD_CTRL_Round_10b_mant,Tensix,18,3,0x8,cfg[]=,dest_rd_ctrl.val,set_packer_config,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,472,PCK_DEST_RD_CTRL_Read_32b_data_ADDR32,resolved,cfg[PCK_DEST_RD_CTRL_Read_32b_data_ADDR32] = dest_rd_ctrl.val;
THCON_SEC0_REG1_Add_l1_dest_addr_offset,Tensix,70,1,0x2,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Add_tile_header_size,Tensix,70,22,0x400000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_All_pack_disable_zero_compress_ovrd,Tensix,70,21,0x200000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Auto_set_last_pacr_intf_sel,Tensix,70,13,0x2000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Dis_shared_exp_assembler,Tensix,70,12,0x1000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Disable_pack_zero_flags,Tensix,70,2,0x4,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Disable_zero_compress,Tensix,70,0,0x1,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Enable_out_fifo,Tensix,70,14,0x4000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_In_data_format,Tensix,70,8,0xf00,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_L1_source_addr,Tensix,70,24,0xff000000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Out_data_format,Tensix,70,4,0xf0,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Source_interface_selection,Tensix,70,16,0x10000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_Sub_l1_tile_header_size,Tensix,70,15,0x8000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_ovrd_default_throttle_mode,Tensix,70,3,0x8,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_pack_dis_y_pos_start_offset,Tensix,70,23,0x800000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
THCON_SEC0_REG1_pack_start_intf_pos,Tensix,70,17,0x1e0000,TTI_WRCFG,p_gpr_pack::TMP_LO,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,513,THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2,resolved,"TTI_WRCFG(p_gpr_pack::TMP_LO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32 + 2)"
PCK_DEST_RD_CTRL_Read_32b_data,Tensix,18,0,0x1,cfg_reg_rmw_tensix,dest_rd_ctrl.val,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,547,"PCK_DEST_RD_CTRL_Read_32b_data_ADDR32, PCK_DEST_RD_CTRL_Read_32b_data_SHAMT, PCK_DEST_RD_CTRL_Read_32b_data_MASK | PCK_DEST_RD_CTRL_Read_unsigned_MASK | PCK_DEST_RD_CTRL_Round_10b_mant_MASK",resolved,"cfg_reg_rmw_tensix< PCK_DEST_RD_CTRL_Read_32b_data_ADDR32, PCK_DEST_RD_CTRL_Read_32b_data_SHAMT, PCK_DEST_RD_CTRL_Read_32b_data_MASK | PCK_DEST_RD_CTRL_Read_unsigned_MASK | PCK_DEST_RD_CTRL_Round_10b_mant_MASK>(dest_rd_ctrl.val)"
PCK_DEST_RD_CTRL_Read_unsigned,Tensix,18,1,0x2,cfg_reg_rmw_tensix,dest_rd_ctrl.val,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,547,"PCK_DEST_RD_CTRL_Read_32b_data_ADDR32, PCK_DEST_RD_CTRL_Read_32b_data_SHAMT, PCK_DEST_RD_CTRL_Read_32b_data_MASK | PCK_DEST_RD_CTRL_Read_unsigned_MASK | PCK_DEST_RD_CTRL_Round_10b_mant_MASK",resolved,"cfg_reg_rmw_tensix< PCK_DEST_RD_CTRL_Read_32b_data_ADDR32, PCK_DEST_RD_CTRL_Read_32b_data_SHAMT, PCK_DEST_RD_CTRL_Read_32b_data_MASK | PCK_DEST_RD_CTRL_Read_unsigned_MASK | PCK_DEST_RD_CTRL_Round_10b_mant_MASK>(dest_rd_ctrl.val)"
PCK_DEST_RD_CTRL_Round_10b_mant,Tensix,18,3,0x8,cfg_reg_rmw_tensix,dest_rd_ctrl.val,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,547,"PCK_DEST_RD_CTRL_Read_32b_data_ADDR32, PCK_DEST_RD_CTRL_Read_32b_data_SHAMT, PCK_DEST_RD_CTRL_Read_32b_data_MASK | PCK_DEST_RD_CTRL_Read_unsigned_MASK | PCK_DEST_RD_CTRL_Round_10b_mant_MASK",resolved,"cfg_reg_rmw_tensix< PCK_DEST_RD_CTRL_Read_32b_data_ADDR32, PCK_DEST_RD_CTRL_Read_32b_data_SHAMT, PCK_DEST_RD_CTRL_Read_32b_data_MASK | PCK_DEST_RD_CTRL_Read_unsigned_MASK | PCK_DEST_RD_CTRL_Round_10b_mant_MASK>(dest_rd_ctrl.val)"
THCON_SEC0_REG1_Exp_section_size,Tensix,68,16,0xffff0000,cfg_reg_rmw_tensix,(partial_face ? 1 : num_faces),reconfig_packer_data_format,if (IS_BFP_FORMAT(pack_output_dst_format)); value-select: (partial_face ? 1 : num_faces),tt_llk_blackhole/common/inc/cpack_common.h,554,THCON_SEC0_REG1_Exp_section_size_RMW,resolved,cfg_reg_rmw_tensix<THCON_SEC0_REG1_Exp_section_size_RMW>((partial_face ? 1 : num_faces))
THCON_SEC0_REG1_Exp_section_size,Tensix,68,16,0xffff0000,TTI_WRCFG,p_gpr::ZERO,reconfig_packer_data_format,else-if ((pack_output_dst_format == to_underlying(DataFormat::Lf8)) || (pack_output_dst_format == to_underlying(DataFormat::Int8))),tt_llk_blackhole/common/inc/cpack_common.h,558,THCON_SEC0_REG1_Row_start_section_size_ADDR32,resolved,"TTI_WRCFG(p_gpr::ZERO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32)"
THCON_SEC0_REG1_Row_start_section_size,Tensix,68,0,0xffff,TTI_WRCFG,p_gpr::ZERO,reconfig_packer_data_format,else-if ((pack_output_dst_format == to_underlying(DataFormat::Lf8)) || (pack_output_dst_format == to_underlying(DataFormat::Int8))),tt_llk_blackhole/common/inc/cpack_common.h,558,THCON_SEC0_REG1_Row_start_section_size_ADDR32,resolved,"TTI_WRCFG(p_gpr::ZERO, p_cfg::WRCFG_32b, THCON_SEC0_REG1_Row_start_section_size_ADDR32)"
THCON_SEC0_REG1_Pac_LF8_4b_exp,Tensix,71,23,0x800000,cfg_reg_rmw_tensix,(pack_dst_format & 0x1F) == static_cast<DataFormatType>(DataFormat::Fp8_e4m3) ? 1 : 0,reconfig_packer_data_format,unconditional; value-select: (pack_dst_format & 0x1F) == static_cast<DataFormatType>(DataFormat::Fp8_e4m3) ? 1 : 0,tt_llk_blackhole/common/inc/cpack_common.h,561,THCON_SEC0_REG1_Pac_LF8_4b_exp_RMW,resolved,cfg_reg_rmw_tensix<THCON_SEC0_REG1_Pac_LF8_4b_exp_RMW>((pack_dst_format & 0x1F) == static_cast<DataFormatType>(DataFormat::Fp8_e4m3) ? 1 : 0)
ALU_FORMAT_SPEC_REG2_Dstacc,Tensix,1,25,0x1e000000,cfg_reg_rmw_tensix,pack_output_src_format,reconfig_packer_data_format,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,567,ALU_FORMAT_SPEC_REG2_Dstacc_RMW,resolved,cfg_reg_rmw_tensix<ALU_FORMAT_SPEC_REG2_Dstacc_RMW>(pack_output_src_format)
THCON_SEC0_REG1_Pac_LF8_4b_exp,Tensix,71,23,0x800000,cfg_reg_rmw_tensix,((pack_dst_format & 0x1F) == (std::uint32_t)DataFormat::Fp8_e4m3) ? 1 : 0,configure_pack,unconditional; value-select: ((pack_dst_format & 0x1F) == (std::uint32_t)DataFormat::Fp8_e4m3) ? 1 : 0,tt_llk_blackhole/common/inc/cpack_common.h,607,THCON_SEC0_REG1_Pac_LF8_4b_exp_RMW,resolved,cfg_reg_rmw_tensix<THCON_SEC0_REG1_Pac_LF8_4b_exp_RMW>(((pack_dst_format & 0x1F) == (std::uint32_t)DataFormat::Fp8_e4m3) ? 1 : 0)
ALU_FORMAT_SPEC_REG2_Dstacc,Tensix,1,25,0x1e000000,cfg_reg_rmw_tensix,pack_output_src_format,configure_pack,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,609,ALU_FORMAT_SPEC_REG2_Dstacc_RMW,resolved,cfg_reg_rmw_tensix<ALU_FORMAT_SPEC_REG2_Dstacc_RMW>(pack_output_src_format)
STACC_RELU_ApplyRelu,Tensix,2,2,0x3c,cfg_reg_rmw_tensix,hw_relu_config.val[0],configure_pack,unconditional,tt_llk_blackhole/common/inc/cpack_common.h,619,"STACC_RELU_ApplyRelu_ADDR32, 0, hw_relu_mask",resolved,"cfg_reg_rmw_tensix<STACC_RELU_ApplyRelu_ADDR32, 0, hw_relu_mask>(hw_relu_config.val[0])"
