Channels,Use Precomputed Grid,Test Type,Batch Output Channels,Split Reader OFF (μs),Split Reader ON (μs),Improvement
32,False,sharded_grid_batching,False,1654.3,N/A,N/A
32,False,sharded_grid_batching,True,1654.4,N/A,N/A
32,True,sharded_grid_batching,False,354.3,N/A,N/A
32,True,sharded_grid_batching,True,354.3,N/A,N/A
64,False,sharded_grid_batching,False,1652.7,N/A,N/A
64,False,sharded_grid_batching,True,1652.8,N/A,N/A
64,True,sharded_grid_batching,False,355.1,N/A,N/A
64,True,sharded_grid_batching,True,354.9,N/A,N/A
96,False,sharded_grid_batching,False,1654.8,N/A,N/A
96,False,sharded_grid_batching,True,1656.7,N/A,N/A
96,True,sharded_grid_batching,False,357.6,N/A,N/A
96,True,sharded_grid_batching,True,357.7,N/A,N/A
128,False,sharded_grid_batching,False,1652.4,N/A,N/A
128,False,sharded_grid_batching,True,1652.4,N/A,N/A
128,True,sharded_grid_batching,False,356.8,N/A,N/A
128,True,sharded_grid_batching,True,356.9,N/A,N/A
160,False,sharded_grid_batching,False,1652.7,N/A,N/A
160,False,sharded_grid_batching,True,1653.4,N/A,N/A
160,True,sharded_grid_batching,False,356.8,N/A,N/A
160,True,sharded_grid_batching,True,356.8,N/A,N/A
192,False,sharded_grid_batching,False,1654.1,N/A,N/A
192,False,sharded_grid_batching,True,1654.4,N/A,N/A
192,True,sharded_grid_batching,False,357.8,N/A,N/A
192,True,sharded_grid_batching,True,357.6,N/A,N/A
224,False,sharded_grid_batching,False,1657.1,N/A,N/A
224,False,sharded_grid_batching,True,1657.1,N/A,N/A
224,True,sharded_grid_batching,False,360.4,N/A,N/A
224,True,sharded_grid_batching,True,360.3,N/A,N/A
256,False,sharded_grid_batching,False,1658.3,N/A,N/A
256,False,sharded_grid_batching,True,1657.5,N/A,N/A
256,True,sharded_grid_batching,False,364.6,N/A,N/A
256,True,sharded_grid_batching,True,364.6,N/A,N/A
