timestamp,model,label,batch,in_ch,out_ch,H,W,filter,stride,shard,abh,fp32_accum,bias,mode,per_core_M,per_core_N,sbm,trm,used,median_ns,min_ns,max_ns,n,spread_pct,pcc,status
2026-06-14T18:01:25,resnet50,rn50_L1_64<-64_56x56_s1_HS,20,64,64,56,56,3,1,HS,,false,true,main,18,2,3x2,,3x2,25768,25765,25770,2,0.0,0.9998773557271555,ok
2026-06-14T18:01:48,resnet50,rn50_L1_64<-64_56x56_s1_HS,20,64,64,56,56,3,1,HS,,false,true,helper_sbm,18,2,3x2,,3x2,25670,25643,25696,2,0.2,0.9998773557271555,ok
2026-06-14T18:02:09,resnet50,rn50_L1_64<-64_56x56_s1_HS,20,64,64,56,56,3,1,HS,,false,true,helper_trm,18,2,3x2,trm=true,3x2,25637,25630,25644,2,0.1,0.9998773557271555,ok
2026-06-14T18:02:32,resnet50,rn50_L2a_128<-128_56x56_s2_HS,20,128,128,56,56,3,2,HS,,false,true,main,5,4,1x4,,1x4,20376,20361,20391,2,0.1,0.9998659506306756,ok
2026-06-14T18:02:55,resnet50,rn50_L2a_128<-128_56x56_s2_HS,20,128,128,56,56,3,2,HS,,false,true,helper_sbm,5,4,1x4,,1x4,20302,20287,20318,2,0.2,0.9998659506306756,ok
2026-06-14T18:03:16,resnet50,rn50_L2a_128<-128_56x56_s2_HS,20,128,128,56,56,3,2,HS,,false,true,helper_trm,5,4,1x4,trm=true,1x4,20302,20293,20310,2,0.1,0.9998659506306756,ok
2026-06-14T18:03:38,resnet50,rn50_L2b_128<-128_28x28_s1_HS,20,128,128,28,28,3,1,HS,,false,true,main,5,4,1x4,,1x4,20324,20320,20328,2,0.0,0.9998639588619391,ok
2026-06-14T18:03:59,resnet50,rn50_L2b_128<-128_28x28_s1_HS,20,128,128,28,28,3,1,HS,,false,true,helper_sbm,5,4,1x4,,1x4,20343,20287,20399,2,0.6,0.9998639588619391,ok
2026-06-14T18:04:20,resnet50,rn50_L2b_128<-128_28x28_s1_HS,20,128,128,28,28,3,1,HS,,false,true,helper_trm,5,4,1x4,trm=true,1x4,20292,20289,20294,2,0.0,0.9998639588619391,ok
2026-06-14T18:04:43,resnet50,rn50_L3a_256<-256_28x28_s2_BS,20,256,256,28,28,3,2,BS,,false,true,main,13,1,1x1,,1x1,102637,102613,102661,2,0.0,0.999855953152251,ok
2026-06-14T18:05:05,resnet50,rn50_L3a_256<-256_28x28_s2_BS,20,256,256,28,28,3,2,BS,,false,true,helper_sbm,13,1,1x1,,1x1,107944,107943,107946,2,0.0,0.999855953152251,ok
2026-06-14T18:05:26,resnet50,rn50_L3a_256<-256_28x28_s2_BS,20,256,256,28,28,3,2,BS,,false,true,helper_trm,13,1,1x1,trm=true,1x1,107930,107930,107931,2,0.0,0.999855953152251,ok
2026-06-14T18:05:48,resnet50,rn50_L3b_256<-256_14x14_s1_BS,20,256,256,14,14,3,1,BS,,false,true,main,13,1,1x1,,1x1,102774,102755,102792,2,0.0,0.9998569843394857,ok
2026-06-14T18:06:09,resnet50,rn50_L3b_256<-256_14x14_s1_BS,20,256,256,14,14,3,1,BS,,false,true,helper_sbm,13,1,1x1,,1x1,107940,107931,107950,2,0.0,0.9998569843394857,ok
2026-06-14T18:06:30,resnet50,rn50_L3b_256<-256_14x14_s1_BS,20,256,256,14,14,3,1,BS,,false,true,helper_trm,13,1,1x1,trm=true,1x1,107946,107931,107960,2,0.0,0.9998569843394857,ok
2026-06-14T18:06:53,resnet50,rn50_L4a_512<-512_14x14_s2_BS,20,512,512,14,14,3,2,BS,,false,true,main,4,2,4x2,,4x2,69992,69973,70012,2,0.1,0.9998531294269348,ok
2026-06-14T18:07:15,resnet50,rn50_L4a_512<-512_14x14_s2_BS,20,512,512,14,14,3,2,BS,,false,true,helper_sbm,4,2,4x2,,4x2,70784,70725,70844,2,0.2,0.9998531294269348,ok
2026-06-14T18:07:36,resnet50,rn50_L4a_512<-512_14x14_s2_BS,20,512,512,14,14,3,2,BS,,false,true,helper_trm,4,2,4x2,trm=true,4x2,70720,70699,70741,2,0.1,0.9998531294269348,ok
2026-06-14T18:07:58,resnet50,rn50_L4b_512<-512_7x7_s1_BS,20,512,512,7,7,3,1,BS,,false,true,main,4,2,4x2,,4x2,69940,69936,69944,2,0.0,0.999854020156493,ok
2026-06-14T18:08:18,resnet50,rn50_L4b_512<-512_7x7_s1_BS,20,512,512,7,7,3,1,BS,,false,true,helper_sbm,4,2,4x2,,4x2,70713,70711,70715,2,0.0,0.999854020156493,ok
2026-06-14T18:08:39,resnet50,rn50_L4b_512<-512_7x7_s1_BS,20,512,512,7,7,3,1,BS,,false,true,helper_trm,4,2,4x2,trm=true,4x2,70792,70726,70858,2,0.2,0.999854020156493,ok
2026-06-14T18:09:02,resnet50,rn50_DS1_256<-64_56x56_1x1s2_HS,20,64,256,56,56,1,2,HS,,false,true,main,5,8,1x8,,1x8,5602,5596,5607,2,0.2,0.9999114394267676,ok
2026-06-14T18:09:24,resnet50,rn50_DS1_256<-64_56x56_1x1s2_HS,20,64,256,56,56,1,2,HS,,false,true,helper_sbm,5,8,1x8,,1x8,5700,5692,5707,2,0.3,0.9999114394267676,ok
2026-06-14T18:09:45,resnet50,rn50_DS1_256<-64_56x56_1x1s2_HS,20,64,256,56,56,1,2,HS,,false,true,helper_trm,5,8,1x8,trm=true,1x8,5712,5709,5716,2,0.1,0.9999114394267676,ok
2026-06-14T18:10:09,resnet50,rn50_DS2_1024<-512_28x28_1x1s2_BS,20,512,1024,28,28,1,2,BS,,false,true,main,13,3,1x3,,1x3,34640,34626,34655,2,0.1,0.9998763895221982,ok
2026-06-14T18:10:32,resnet50,rn50_DS2_1024<-512_28x28_1x1s2_BS,20,512,1024,28,28,1,2,BS,,false,true,helper_sbm,13,3,1x3,,1x3,38634,38633,38636,2,0.0,0.9998763895221982,ok
2026-06-14T18:10:55,resnet50,rn50_DS2_1024<-512_28x28_1x1s2_BS,20,512,1024,28,28,1,2,BS,,false,true,helper_trm,13,3,1x3,trm=true,1x3,38627,38624,38630,2,0.0,0.9998763895221982,ok
2026-06-14T18:11:17,resnet50,rn50_DS3_2048<-1024_14x14_1x1s2_BS,20,1024,2048,14,14,1,2,BS,,false,true,main,4,6,1x6,,1x6,27196,27188,27204,2,0.1,0.9998718315137599,ok
2026-06-14T18:11:40,resnet50,rn50_DS3_2048<-1024_14x14_1x1s2_BS,20,1024,2048,14,14,1,2,BS,,false,true,helper_sbm,4,6,1x6,,1x6,27356,27321,27390,2,0.3,0.9998718315137599,ok
2026-06-14T18:12:01,resnet50,rn50_DS3_2048<-1024_14x14_1x1s2_BS,20,1024,2048,14,14,1,2,BS,,false,true,helper_trm,4,6,1x6,trm=true,1x6,27344,27330,27358,2,0.1,0.9998718315137599,ok
2026-06-14T18:12:25,resnet50,rn50_stem_64<-16_115x115_4x4s1_HS,16,16,64,115,115,4,1,HS,256,false,true,main,8,2,4x2,,4x2,81176,81171,81182,2,0.0,0.9998881814618187,ok
2026-06-14T18:12:50,resnet50,rn50_stem_64<-16_115x115_4x4s1_HS,16,16,64,115,115,4,1,HS,256,false,true,helper_sbm,8,2,4x2,,4x2,80942,80941,80943,2,0.0,0.9998881814618187,ok
2026-06-14T18:13:12,resnet50,rn50_stem_64<-16_115x115_4x4s1_HS,16,16,64,115,115,4,1,HS,256,false,true,helper_trm,8,2,4x2,trm=true,4x2,80964,80956,80973,2,0.0,0.9998881814618187,ok
