device_config,op_type,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,1,2,1,136259698,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,2,2,2,77298439,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,4,1,4,50729853,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,8,1,4,36061498,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,16,1,4,36236363,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,32,1,4,36664266,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,1,64,1,4,37614257,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,1,2,1,77976267,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,2,2,2,49383887,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,4,1,4,36880900,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,8,1,4,29011810,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,16,1,4,29158902,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,32,1,4,29375840,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,2,64,1,4,30288859,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,4,1,2,1,55654125,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,4,2,2,2,34138626,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,4,4,1,4,26389612,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,4,8,1,4,28240712,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,4,16,1,4,28267931,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,4,32,1,4,28722311,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,7,1,2,1,44884539,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,7,2,2,2,28242175,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,7,4,1,4,26595950,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,7,8,1,4,28600350,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,7,16,1,4,28575308,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,7,32,1,4,28590915,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,8,1,2,1,43998082,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,8,2,2,2,28417964,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,8,4,1,4,27544891,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,8,8,1,4,28342295,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,8,16,1,4,28368520,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,8,32,1,4,28393663,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,14,1,2,1,40743623,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,14,2,2,2,28972995,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,14,4,1,4,28146535,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,14,8,1,4,28142244,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,14,16,1,4,28136344,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,16,1,2,1,47841832,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,16,2,2,2,36826533,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,16,4,1,4,31754110,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,16,8,1,4,28057113,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,16,16,1,4,27952322,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,28,1,2,1,40847607,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,28,2,2,2,33386622,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,28,4,1,4,29045114,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,28,8,1,4,27807353,OK
wh_galaxy,agmm,65536,3584,2048,6x8,2,28,16,1,4,27922957,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,1,1,4,1,88783891,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,1,2,2,2,52531421,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,1,4,1,4,41045282,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,1,8,1,4,34395747,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,1,16,1,4,34644272,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,1,32,1,4,35138563,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,2,1,4,1,58305952,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,2,2,2,2,38668950,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,2,4,1,4,27334684,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,2,8,1,4,20292510,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,2,16,1,4,20550244,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,2,32,1,4,21003262,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,4,1,4,1,45372086,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,4,2,2,2,26933527,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,4,4,1,4,17111981,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,4,8,1,4,15123968,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,4,16,1,4,15064171,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,4,32,1,4,15477976,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,7,1,4,1,38866085,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,7,2,2,2,22916827,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,7,4,1,4,15117469,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,7,8,1,4,14732992,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,7,16,1,4,14806150,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,7,32,1,4,14955965,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,8,1,4,1,37889353,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,8,2,2,2,22771137,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,8,4,1,4,15336059,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,8,8,1,4,14680559,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,8,16,1,4,14721204,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,14,1,4,1,36756802,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,14,2,2,2,22704572,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,14,4,1,4,16847789,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,14,8,1,4,14500459,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,14,16,1,4,14697930,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,16,1,4,1,43292430,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,16,2,2,2,30636802,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,16,4,1,4,24343907,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,16,8,1,4,20559864,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,16,16,1,4,20693924,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,28,1,4,1,37626354,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,28,2,2,2,27364669,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,28,4,1,4,22831927,OK
wh_galaxy,agmm,65536,3584,2048,6x8,4,28,8,1,4,19595166,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,1,1,4,1,68077420,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,1,2,2,2,43661732,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,1,4,1,4,37075227,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,1,8,1,4,33853377,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,1,16,1,4,34079029,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,2,1,4,1,51583817,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,2,2,2,2,33656277,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,2,4,1,4,24986599,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,2,8,1,4,18287128,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,2,16,1,4,18508618,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,4,1,4,1,42520470,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,4,2,2,2,24323199,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,4,4,1,4,15859640,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,4,8,1,4,12246747,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,4,16,1,4,12516748,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,7,1,4,1,37196352,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,7,2,2,2,21363976,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,7,4,1,4,13913034,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,7,8,1,4,12023733,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,7,16,1,4,11932145,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,8,1,4,1,36527094,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,8,2,2,2,20994867,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,8,4,1,4,14052563,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,8,8,1,4,11740255,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,8,16,1,4,12077491,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,14,1,4,1,35437789,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,14,2,2,2,21582384,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,14,4,1,4,15576918,OK
