Test Configuration,Metric,Unit,GCC Result,LLVM Result,Difference,% Change,Notes
Running -bs 128 -p 512 -m 0,Bandwidth,GB/s,9.544,9.547,0.003,0.03%,
Running -bs 128 -p 512 -m 1,Bandwidth,GB/s,28.796,28.688,-0.108,-0.38%,
Running -bs 128 -p 512 -m 2,Bandwidth,GB/s,36.150,36.152,0.002,0.01%,
Running -bs 128 -p 512 -m 2 -rx 0,Bandwidth,GB/s,36.171,36.146,-0.025,-0.07%,
Running -bs 128 -p 512 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,36.176,36.164,-0.012,-0.03%,
Running -bs 128 -p 512 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,28.549,28.665,0.116,0.41%,
Running -bs 128 -p 512 -m 3,Bandwidth,GB/s,19.135,19.077,-0.058,-0.30%,
Running -bs 128 -p 512 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 128 -p 512 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 128 -p 512 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 128 -p 512 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 128 -p 512 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,21.179,21.178,-0.001,-0.00%,
Running -bs 128 -p 512 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,2.741,2.741,0.000,0.00%,
Running -bs 16 -p 64 -m 0,Bandwidth,GB/s,1.355,1.336,-0.019,-1.40%,
Running -bs 16 -p 64 -m 1,Bandwidth,GB/s,4.516,4.522,0.006,0.13%,
Running -bs 16 -p 64 -m 2,Bandwidth,GB/s,4.522,4.523,0.001,0.02%,
Running -bs 16 -p 64 -m 2 -rx 0,Bandwidth,GB/s,4.519,4.521,0.002,0.04%,
Running -bs 16 -p 64 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,4.509,4.521,0.012,0.27%,
Running -bs 16 -p 64 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,3.570,3.566,-0.004,-0.11%,
Running -bs 16 -p 64 -m 3,Bandwidth,GB/s,2.391,2.388,-0.003,-0.13%,
Running -bs 16 -p 64 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 16 -p 64 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 16 -p 64 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 16 -p 64 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 16 -p 64 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,2.655,2.647,-0.008,-0.30%,
Running -bs 16 -p 64 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,0.352,0.352,0.000,0.00%,
Running -bs 256 -p 1024 -m 0,Bandwidth,GB/s,17.986,17.952,-0.034,-0.19%,
Running -bs 256 -p 1024 -m 1,Bandwidth,GB/s,28.853,28.324,-0.529,-1.83%,
Running -bs 256 -p 1024 -m 2,Bandwidth,GB/s,72.346,72.240,-0.106,-0.15%,
Running -bs 256 -p 1024 -m 2 -rx 0,Bandwidth,GB/s,72.327,72.354,0.027,0.04%,
Running -bs 256 -p 1024 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,72.335,72.334,-0.001,-0.00%,
Running -bs 256 -p 1024 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,57.322,57.061,-0.261,-0.46%,
Running -bs 256 -p 1024 -m 3,Bandwidth,GB/s,38.268,38.168,-0.100,-0.26%,
Running -bs 256 -p 1024 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 1024 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 1024 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 1024 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 1024 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,38.143,38.142,-0.001,-0.00%,
Running -bs 256 -p 1024 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,5.313,5.315,0.002,0.04%,
Running -bs 256 -p 16384 -m 0,Bandwidth,GB/s,57.401,57.440,0.039,0.07%,
Running -bs 256 -p 16384 -m 1,Bandwidth,GB/s,31.647,31.722,0.075,0.24%,
Running -bs 256 -p 16384 -m 2,Bandwidth,GB/s,83.256,82.627,-0.629,-0.76%,
Running -bs 256 -p 16384 -m 2 -rx 0,Bandwidth,GB/s,77.297,77.775,0.478,0.62%,
Running -bs 256 -p 16384 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,83.327,82.979,-0.348,-0.42%,
Running -bs 256 -p 16384 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,83.961,84.036,0.075,0.09%,
Running -bs 256 -p 16384 -m 3,Bandwidth,GB/s,83.706,83.729,0.023,0.03%,
