Found 81297 values :

Input: 9.902748568597623e+37, Calculated: 1.0367978367122344e+38, Golden: 1.043443976691159e+38, ATOL: 6.64613997892458e+35
Input: 9.836287168808377e+37, Calculated: 1.0301516967333098e+38, Golden: 1.0367978367122344e+38, ATOL: 6.64613997892458e+35
Input: 9.17167317091592e+37, Calculated: 9.570441569651394e+37, Golden: 9.63690296944064e+37, ATOL: 6.64613997892458e+35
Input: 9.105211771126674e+37, Calculated: 9.503980169862148e+37, Golden: 9.570441569651394e+37, ATOL: 6.64613997892458e+35
Input: 9.038750371337428e+37, Calculated: 9.437518770072903e+37, Golden: 9.503980169862148e+37, ATOL: 6.64613997892458e+35
Input: 8.972288971548182e+37, Calculated: 9.371057370283657e+37, Golden: 9.437518770072903e+37, ATOL: 6.64613997892458e+35
Input: 8.905827571758936e+37, Calculated: 9.304595970494411e+37, Golden: 9.371057370283657e+37, ATOL: 6.64613997892458e+35
Input: 8.83936617196969e+37, Calculated: 9.238134570705165e+37, Golden: 9.304595970494411e+37, ATOL: 6.64613997892458e+35
Input: 8.772904772180445e+37, Calculated: 9.17167317091592e+37, Golden: 9.238134570705165e+37, ATOL: 6.64613997892458e+35
Input: 8.706443372391199e+37, Calculated: 9.105211771126674e+37, Golden: 9.17167317091592e+37, ATOL: 6.64613997892458e+35
Input: 8.639981972601953e+37, Calculated: 9.038750371337428e+37, Golden: 9.105211771126674e+37, ATOL: 6.64613997892458e+35
Input: 8.573520572812707e+37, Calculated: 8.972288971548182e+37, Golden: 9.038750371337428e+37, ATOL: 6.64613997892458e+35
Input: 8.473828473128839e+37, Calculated: 8.83936617196969e+37, Golden: 8.905827571758936e+37, ATOL: 6.64613997892458e+35
Input: 8.407367073339593e+37, Calculated: 8.772904772180445e+37, Golden: 8.83936617196969e+37, ATOL: 6.64613997892458e+35
Input: 8.274444273761101e+37, Calculated: 8.639981972601953e+37, Golden: 8.706443372391199e+37, ATOL: 6.64613997892458e+35
Input: 8.2079828739718555e+37, Calculated: 8.573520572812707e+37, Golden: 8.639981972601953e+37, ATOL: 6.64613997892458e+35
Input: 8.14152147418261e+37, Calculated: 8.507059173023462e+37, Golden: 8.573520572812707e+37, ATOL: 6.64613997892458e+35
Input: 7.842445175131004e+37, Calculated: 8.2079828739718555e+37, Golden: 8.241213573866478e+37, ATOL: 3.32306998946229e+35
Input: 7.775983775341758e+37, Calculated: 8.14152147418261e+37, Golden: 8.174752174077233e+37, ATOL: 3.32306998946229e+35
Input: 7.742753075447135e+37, Calculated: 8.108290774287987e+37, Golden: 8.14152147418261e+37, ATOL: 3.32306998946229e+35
Input: 7.676291675657889e+37, Calculated: 8.041829374498741e+37, Golden: 8.075060074393364e+37, ATOL: 3.32306998946229e+35
Input: 7.609830275868643e+37, Calculated: 7.975367974709495e+37, Golden: 8.008598674604118e+37, ATOL: 3.32306998946229e+35
Input: 7.5765995759740205e+37, Calculated: 7.942137274814872e+37, Golden: 7.975367974709495e+37, ATOL: 3.32306998946229e+35
Input: 7.177831177238546e+37, Calculated: 7.510138176184775e+37, Golden: 7.543368876079398e+37, ATOL: 3.32306998946229e+35
Input: 7.1113697774493e+37, Calculated: 7.443676776395529e+37, Golden: 7.476907476290152e+37, ATOL: 3.32306998946229e+35
Input: 7.044908377660054e+37, Calculated: 7.377215376606283e+37, Golden: 7.410446076500906e+37, ATOL: 3.32306998946229e+35
