file	line	function	category	heavy_lifting	variant	loop_depth	loop_vars	sig	arg0	arg1	arg2	flow	sync_bucket	sync_seq	sync_style	shape	region_stats
models/demos/deepseek_v3_b1/unified_kernels/sdpa_reduce_worker.hpp	297	pack_tile	models	copy	pack_tile	0		pack_tile(0,V)	0	cb_cur_max_sum		copy→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L7
models/demos/deepseek_v3_b1/unified_kernels/gated_reduce.hpp	97	pack_tile	models	sfpu-unary	pack_tile	1	k	pack_tile(0,E)	0	args.intermed_cb		sfpu-tile→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F1_If0_L9
models/demos/deepseek_v3_b1/unified_kernels/gated_reduce.hpp	114	pack_tile	models	eltwise-fpu-binary	pack_tile	1	k	pack_tile(0,E)	0	args.intermed_cb		eltwise-binary→pack	modern[ACWR]	ACWPRACWPR	modern	modern-canonical/single-in-loop	P1_F1_If0_L8
models/demos/deepseek_v3_b1/unified_kernels/gated_reduce.hpp	129	pack_tile	models	eltwise-fpu-binary	pack_tile	1	k	pack_tile(0,E)	0	args.out_cb		eltwise-binary→pack	modern[ACWR]	ACWPRACWPR	modern	modern-canonical/single	P1_F0_If0_L6
models/demos/deepseek_v3_b1/unified_kernels/reduce_to_all_b1.hpp	525	pack_tile	models	eltwise-fpu-binary	pack_tile	1	i	pack_tile(L,E,L)	i	CTArgs::scratch_cb	i	eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L14
models/demos/deepseek_v3_b1/unified_kernels/reduce_to_all_b1.hpp	546	pack_tile	models	eltwise-fpu-binary	pack_tile	1	i	pack_tile(L,E,L)	i	CTArgs::scratch_cb	i	eltwise-binary→pack	modern[ACWR]	CWPRACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L14
models/demos/deepseek_v3_b1/unified_kernels/reduce_to_all_b1.hpp	567	pack_tile	models	eltwise-fpu-binary	pack_tile	1	i	pack_tile(L,E,L)	i	CTArgs::scratch_cb	i	eltwise-binary→pack	modern[ACWR]	CWPRACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L14
models/demos/deepseek_v3_b1/unified_kernels/eltwise_mul.hpp	201	pack_tile	models	eltwise-fpu-binary	pack_tile	1	i	pack_tile(L,E)	i	CTArgs::cb_out		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L13
models/demos/deepseek_v3_b1/unified_kernels/local_reduce.hpp	103	pack_tile	models	sfpu-unary	pack_tile	0		pack_tile(0,E)	0	args.out_cb		sfpu-tile→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F1_If0_L23
models/demos/deepseek_v3_b1/unified_kernels/eltwise_add.hpp	156	pack_tile	models	eltwise-fpu-binary	pack_tile	1	i	pack_tile(L,E)	i	CTArgs::cb_out		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L10
models/demos/deepseek_v3_b1/unified_kernels/rope.hpp	212	pack_tile	models	eltwise-fpu-bcast	pack_tile	2	j,ht	pack_tile(L,E)	j	args.out_cb		eltwise-bcast→pack	modern[ACWR]	RACWPR	modern	modern-canonical/single-in-loop	P1_F3_If0_L19
models/demos/deepseek_v3_b1/fused_ops/gated_local_reduce/kernels/gated_local_reduce_kernel.cpp	86	pack_tile	models	eltwise-fpu-binary	pack_tile	0		pack_tile(0,V)	0	out_cb		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L11
models/demos/deepseek_v3_b1/kernel_includes/tt_metal/include/compute_kernel_api/sdpa.h	495	pack_tile	models	sfpu-unary	pack_tile	0		pack_tile(V,V)	dst_reg_2	cb_cur_ms		copy→sfpu-tile→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L22
tt_metal/programming_examples/contributed/vecadd/kernels/add.cpp	52	pack_tile	tt_metal	eltwise-fpu-binary	pack_tile	1	i	pack_tile(V,V)	dst_reg	cb_out0		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L19
tt_metal/programming_examples/eltwise_sfpu/kernels/compute/eltwise_sfpu.cpp	40	pack_tile	tt_metal	sfpu-unary	pack_tile	1	i	pack_tile(0,E)	0	tt::CBIndex::c_16		copy→sfpu-tile→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L23
tt_metal/programming_examples/sfpu_eltwise_chain/kernels/compute/compute.cpp	61	pack_tile	tt_metal	sfpu-unary	pack_tile	0		pack_tile(0,V)	0	result_cb_index		copy→sfpu-tile→pack	modern[CWR]	CWPR	modern	modern-canonical/single	P1_F0_If0_L43
tt_metal/programming_examples/vecadd_sharding/kernels/add_sharding.cpp	51	pack_tile	tt_metal	eltwise-fpu-binary	pack_tile	1	i	pack_tile(V,V)	dst_reg	cb_out0		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L21
tt_metal/programming_examples/custom_sfpi_add/kernels/compute/tiles_add.cpp	143	pack_tile	tt_metal	sfpu-unary	pack_tile	1	i	pack_tile(0,V)	0	cb_out0		copy→sfpu-tile→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L18
tt_metal/programming_examples/eltwise_binary/kernels/compute/tiles_add.cpp	50	pack_tile	tt_metal	eltwise-fpu-binary	pack_tile	1	i	pack_tile(V,V)	dst_reg	cb_out0		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L16
tt_metal/programming_examples/add_2_integers_in_compute/kernels/compute/add_2_tiles.cpp	42	pack_tile	tt_metal	eltwise-fpu-binary	pack_tile	0		pack_tile(0,V)	0	cb_out0		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L18
tt_metal/programming_examples/vecadd_multi_core/kernels/add_multi_core.cpp	58	pack_tile	tt_metal	eltwise-fpu-binary	pack_tile	1	i	pack_tile(V,V)	dst_reg	cb_out0		eltwise-binary→pack	modern[ACWR]+raw_dst[r]	ACWPRr	modern	modern-canonical/single	P1_F0_If0_L12
tt_metal/programming_examples/custom_sfpi_smoothstep/kernels/compute/tiles_smoothstep.cpp	94	pack_tile	tt_metal	copy	pack_tile	1	i	pack_tile(0,V)	0	cb_out0		copy→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L17
tt_metal/kernels/compute/eltwise_sfpu.cpp	47	pack_tile	tt_metal	sfpu-unary	pack_tile	2	tile_index,block_index	pack_tile(0,V)	0	out_id		copy→sfpu-macro→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If1_L12
tt_metal/kernels/compute/eltwise_binary.cpp	141	pack_tile	tt_metal	sfpu-unary	pack_tile	2	i,block	pack_tile(L,E)	i	dfb_out.get_id()		copy→sfpu-macro→pack	modern[CWR]	CWPR	modern	modern-canonical/multi-loop	P2_F4_If22_L75
tt_metal/kernels/compute/eltwise_binary.cpp	143	pack_tile	tt_metal	sfpu-unary	pack_tile	2	i,block	pack_tile(L,V)	i	cb_out0		copy→sfpu-macro→pack	modern[CWR]	CWPR	modern	modern-canonical/multi-loop	P2_F4_If22_L75
ttnn/examples/lab_multicast/kernels/compute/tiles_copy.cpp	56	pack_tile	ttnn-examples	copy	pack_tile	1	tile_idx	pack_tile(V,V)	dst_reg_idx	cb_out0		copy→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L27
ttnn/examples/lab_eltwise_binary/kernels/compute/tiles_add.cpp	71	pack_tile	ttnn-examples	eltwise-fpu-binary	pack_tile	1	i	pack_tile(V,V)	dst_reg_idx	cb_out0		eltwise-binary→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single	P1_F0_If0_L26
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	60	pack_tile	ttnn-op:transformer	sfpu-unary	pack_tile	1	i	pack_tile(V,V)	dst_reg_0	in0		copy→sfpu-tile→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single	P1_F0_If0_L6
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	87	pack_tile	ttnn-op:transformer	sfpu-unary	pack_tile	1	i	pack_tile(V,V,L)	dst_reg_0	out_cb	i	copy→sfpu-tile→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single	P1_F0_If0_L6
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	213	pack_tile	ttnn-op:transformer	sfpu-unary	pack_tile	1	i	pack_tile(V,V)	reduce_dst_idx	out_cb		copy→sfpu-tile→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single-in-loop	P1_F1_If1_L14
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	286	pack_tile	ttnn-op:transformer	copy	pack_tile	1	i	pack_tile(0,V)	0	in_cb		copy→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single	P1_F0_If0_L5
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	351	pack_tile	ttnn-op:transformer	sfpu-unary	pack_tile	3	j,u,i	pack_tile(L,V)	j	in0_cb		sfpu-tile→pack	modern[ACW]	ACWP	modern	modern-canonical/single-in-loop	P1_F3_If2_L40
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	418	pack_tile	ttnn-op:transformer	eltwise-fpu-bcast	pack_tile	2	j,i	pack_tile(0,V)	0	out_cb		eltwise-bcast→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single	P1_F0_If0_L7
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	447	pack_tile	ttnn-op:transformer	eltwise-fpu-bcast	pack_tile	3	j,u,i	pack_tile(L,V)	j	out_cb		eltwise-bcast→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L11
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	499	pack_tile	ttnn-op:transformer	eltwise-fpu-bcast	pack_tile	3	j,u,i	pack_tile(L,V)	j	in0_cb		eltwise-bcast→pack	modern[ACWR]	ACWPR	modern	modern-canonical/single-in-loop	P1_F2_If0_L13
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	535	pack_tile	ttnn-op:transformer	eltwise-fpu-bcast	pack_tile	2	i,g	pack_tile(L,V)	i	in0_cb		eltwise-bcast→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single-in-loop	P1_F2_If0_L9
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	559	pack_tile	ttnn-op:transformer	eltwise-fpu-binary	pack_tile	1	i	pack_tile(0,V)	0	in0_cb		eltwise-binary→pack	raw_dst[ar]	PraPr	raw-dst	raw-dst/single	P1_F0_If0_L4
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	588	pack_tile	ttnn-op:transformer	eltwise-fpu-bcast	pack_tile	1	i	pack_tile(0,V)	0	in0_cb		eltwise-bcast→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single	P1_F0_If0_L7
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	611	pack_tile	ttnn-op:transformer	eltwise-fpu-binary	pack_tile	1	i	pack_tile(0,V)	0	in0_cb		eltwise-binary→pack	raw_dst[ar]	PraPr	raw-dst	raw-dst/single	P1_F0_If0_L7
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	880	pack_tile	ttnn-op:transformer	eltwise-fpu-binary	pack_tile	1	i	pack_tile(0,V)	0	out_cb		eltwise-binary→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/single	P1_F0_If0_L6
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	991	pack_tile	ttnn-op:transformer	sfpu-unary	pack_tile	1	i	pack_tile(V,V)	dst_reg_0	cb_exp_max_diff		copy→sfpu-tile→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/multi-unrolled	P4_F0_If0_L17
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/compute/compute_common.hpp	992	pack_tile	ttnn-op:transformer	sfpu-unary	pack_tile	1	i	pack_tile(V,V)	dst_reg_1	cb_exp_max_diff_2		copy→sfpu-tile→pack	raw_dst[ar]	aPr	raw-dst	raw-dst/multi-unrolled	P4_F0_If0_L17
