divisor,rows,user_k,trial,median_ns
4,2,32,1,153040
4,2,32,2,153000
4,2,32,3,152989
4,8,32,1,177967
4,8,32,2,177880
4,8,32,3,178019
4,2,512,1,280463
4,2,512,2,280478
4,2,512,3,280487
2,2,32,1,151802
2,2,32,2,151847
2,2,32,3,151847
2,8,32,1,176775
2,8,32,2,176851
2,8,32,3,176767
2,2,512,1,280464
2,2,512,2,280473
2,2,512,3,280507
8,2,32,1,153540
8,2,32,2,153487
8,2,32,3,153483
8,8,32,1,178513
8,8,32,2,178519
8,8,32,3,178505
8,2,512,1,289370
8,2,512,2,289360
8,2,512,3,289371
