device_config,op_type,use_case,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,16,1,4,372441,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,1,1,1,802941,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,2,1,2,552269,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,3,1,3,469551,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,4,1,4,455557,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,6,1,3,400166,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,8,1,4,386444,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,12,1,4,386808,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,16,1,4,415219,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,1,1,1,622725,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,2,1,2,452511,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,3,1,3,402662,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,4,1,4,392299,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,6,1,3,374425,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,8,1,4,379717,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,12,1,4,370303,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,16,1,4,380303,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,1,3,1,821542,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,2,2,2,546169,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,3,1,3,462904,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,4,1,4,458135,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,6,2,2,401656,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,8,1,4,388063,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,12,1,4,388158,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,16,1,4,417898,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,1,3,1,623095,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,2,2,2,450194,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,3,1,3,400024,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,4,1,4,388019,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,6,2,2,370000,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,8,1,4,381896,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,12,1,4,371351,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,3,16,1,4,380775,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,1,4,1,814208,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,2,2,2,545867,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,3,4,1,480949,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,4,1,4,461608,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,6,2,2,411464,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,8,1,4,400551,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,12,1,4,391902,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,1,16,1,4,425577,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,1,4,1,626601,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,2,2,2,446516,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,3,4,1,397298,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,4,1,4,389019,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,6,2,2,369791,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,8,1,4,385615,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,12,1,4,374532,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,8,3,16,1,4,392666,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,1,2,1,816789,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,2,2,2,550279,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,3,1,3,470514,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,4,1,4,458881,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,6,2,2,415053,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,8,1,4,395848,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,1,12,1,4,394095,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,1,2,1,594930,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,2,2,2,457173,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,3,1,3,407348,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,4,1,4,395756,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,6,2,2,378589,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,8,1,4,387892,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,10,3,12,1,4,360893,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,1,4,1,818062,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,2,2,2,551781,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,3,4,1,483356,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,4,1,4,462669,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,6,2,2,414149,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,8,1,4,400073,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,1,12,1,4,396112,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,3,1,4,1,590513,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,3,2,2,2,450647,OK
