device_config,op_type,use_case,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,1,1,1,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,2,1,2,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,3,1,3,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,4,1,4,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,6,1,3,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,8,1,4,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,12,1,4,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,16,1,4,-1,FAIL: No columns to parse from file
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,1,1,1,6722684,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,2,1,2,3834492,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,3,1,3,3007655,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,4,1,4,2757661,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,6,1,3,2572190,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,8,1,4,2500641,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,12,1,4,2384156,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,1,16,1,4,2465053,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,1,1,1,6156321,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,2,1,2,3352195,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,3,1,3,2522293,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,4,1,4,2331490,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,6,1,3,2265821,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,8,1,4,2184838,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,12,1,4,2133251,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,2,16,1,4,2151796,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,1,1,1,5945516,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,2,1,2,3252066,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,3,1,3,2395483,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,4,1,4,2170482,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,6,1,3,2136894,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,8,1,4,2063206,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,12,1,4,2031004,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,3,16,1,4,2063680,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,1,1,1,5835600,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,2,1,2,3197787,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,3,1,3,2356592,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,4,1,4,2105311,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,6,1,3,2074094,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,8,1,4,2016778,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,12,1,4,1979884,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,4,16,1,4,2029411,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,1,1,1,5648438,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,2,1,2,3164224,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,3,1,3,2337802,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,4,1,4,2036115,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,6,1,3,2027944,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,8,1,4,1961214,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,12,1,4,1929300,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,6,16,1,4,1982501,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,1,1,1,5468989,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,2,1,2,3123279,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,3,1,3,2329407,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,4,1,4,2009469,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,6,1,3,2045668,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,8,1,4,1933425,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,12,1,4,1919800,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,8,16,1,4,2009016,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,1,1,1,5388936,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,2,1,2,3080247,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,3,1,3,2317845,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,4,1,4,2013919,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,6,1,3,2019739,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,8,1,4,1927470,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,12,1,4,1899190,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,9,16,1,4,2002820,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,1,1,1,5195202,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,2,1,2,3016160,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,3,1,3,2302034,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,4,1,4,2039347,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,6,1,3,2017149,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,8,1,4,1925921,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,12,1,4,1879381,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,12,16,1,4,2012081,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,1,1,1,4770944,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,2,1,2,2888467,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,3,1,3,2265617,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,4,1,4,2044116,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,6,1,3,2044079,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,8,1,4,1909204,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,12,1,4,2020531,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,18,16,1,4,2122678,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,1,1,1,4382660,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,2,1,2,2778921,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,3,1,3,2279478,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,4,1,4,2084414,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,6,1,3,2008196,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,8,1,4,2000657,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,24,12,1,4,2104463,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,36,1,1,1,4048136,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,36,2,1,2,2644733,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,36,3,1,3,2285759,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,36,4,1,4,2097679,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,36,6,1,3,2019983,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,1,36,8,1,4,2087260,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,1,2,1,5049857,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,2,2,2,2813880,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,3,1,3,2125569,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,4,1,4,1966731,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,6,2,2,1809283,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,8,1,4,1738069,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,12,1,4,1645510,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,1,16,1,4,1676205,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,1,2,1,4228282,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,2,2,2,2350458,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,3,1,3,1779305,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,4,1,4,1637981,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,6,2,2,1580887,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,8,1,4,1534643,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,12,1,4,1497639,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,2,16,1,4,1506667,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,1,2,1,3982756,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,2,2,2,2235925,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,3,1,3,1680789,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,4,1,4,1524240,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,6,2,2,1507015,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,8,1,4,1439946,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,12,1,4,1415032,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,3,16,1,4,1431078,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,1,2,1,3868182,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,2,2,2,2189737,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,3,1,3,1660509,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,4,1,4,1488154,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,6,2,2,1471138,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,8,1,4,1393671,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,12,1,4,1375865,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,4,16,1,4,1401923,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,6,1,2,1,3687750,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,6,2,2,2,2129050,OK
wh_4x8,mmrs,mmrs,1024,2304,6144,8x7,2,6,3,1,3,1640129,OK
