context_len,median_ms,min_ms,max_ms,tok_per_s_per_layer,iters
128,0.5634,0.5603,0.5726,1774.8,100
1024,0.6617,0.6589,0.6646,1511.2,100
4096,0.9916,0.9896,0.9952,1008.5,100
