seq_len,median_ms,min_ms,max_ms,us_per_token,iters
128,9.377,9.357,9.417,73.26,5
512,35.391,35.347,35.429,69.12,5
1024,70.553,70.485,70.626,68.9,5
2048,142.092,142.055,142.157,69.38,5
