Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
38.83,MatmulDeviceOperation (in0:width_sharded),2160.67,40,Compute,43.39,52.27,49.23,3.32,50.55
10.23,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),569.35,20,DM,,,,,
8.56,SdpaDecodeDeviceOperation (in0:height_sharded),476.54,10,Other,,,,,
7.28,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),404.92,40,TM,,,,,
7.26,PermuteDeviceOperation (in0:dram_interleaved),403.74,60,TM,,,,,
4.43,ConcatDeviceOperation (in0:dram_interleaved),246.42,20,TM,,,,,
3.45,BinaryNgDeviceOperation (in0:dram_interleaved),192.04,60,Compute,,,,,
2.98,SliceDeviceOperation (in0:dram_interleaved),166.02,40,TM,,,,,
2.88,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),160.34,40,TM,,,,,
2.28,LayerNormDeviceOperation (in0:width_sharded),127.09,20,Compute,,,,,
1.93,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),107.45,10,Other,,,,,
1.44,UntilizeDeviceOperation (in0:dram_interleaved),79.90,20,TM,,,,,
1.22,InterleavedToShardedDeviceOperation (in0:dram_interleaved),67.87,50,DM,,,,,
0.89,EmbeddingsDeviceOperation (in0:dram_interleaved),49.60,20,Compute,,,,,
0.84,SliceDeviceOperation (in0:l1_interleaved),46.69,20,TM,,,,,
0.81,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),45.28,10,TM,,,,,
0.80,UnaryDeviceOperation (in0:l1_interleaved),44.57,10,Compute,,,,,
0.71,BinaryNgDeviceOperation (in0:l1_interleaved),39.64,10,Compute,,,,,
0.66,UnaryDeviceOperation (in0:dram_interleaved),36.53,20,Compute,,,,,
0.58,ShardedToInterleavedDeviceOperation (in0:width_sharded),32.37,20,DM,,,,,
0.48,ReshardDeviceOperation (in0:width_sharded),26.95,20,DM,,,,,
0.48,ShardedToInterleavedDeviceOperation (in0:height_sharded),26.68,20,DM,,,,,
0.48,BinaryNgDeviceOperation (in0:width_sharded),26.47,20,Compute,,,,,
0.32,InterleavedToShardedDeviceOperation (in0:l1_interleaved),17.77,10,DM,,,,,
0.16,TypecastDeviceOperation (in0:dram_interleaved),9.08,10,TM,,,,,
