Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'OPT_PREFILL_B32'.
Using operations until 'OPT_PREFILL_B32_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                           Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1213    0.8 %         LayerNormDeviceOperation                                3       150 μs                  110                                                 BF16, BF16 => BF16
 1214    6.1 %   SLOW  MatmulDeviceOperation b={32} x 128 x 3072 x 9216        3     1,185 μs          0 μs     64   97 GB/s  18.9 %  195.8 TFLOPs   55.3 %  LoFi BF16 x BFP4 => BF16
 1215    1.8 %         NlpCreateHeadsDeviceOperation                           3       359 μs          1 μs    110                                                       BF16 => BF16
 1216    0.5 %         SliceDeviceOperation                                    3        90 μs          0 μs    110                                                       BF16 => BF16
 1217    0.9 %         UntilizeDeviceOperation                                 3       173 μs          1 μs    108                                                       BF16 => BF16
 1218    3.2 %         SliceDeviceOperation                                    3       624 μs          1 μs    110                                                       BF16 => BF16
 1219    1.5 %         TilizeWithValPaddingDeviceOperation                     3       295 μs          0 μs    108                                                       BF16 => BF16
 1220    0.5 %         UnaryDeviceOperation                                    3        87 μs          0 μs    110                                                       BF16 => BF16
 1221    1.7 %         UntilizeWithUnpaddingDeviceOperation                    3       338 μs          1 μs    108                                                       BF16 => BF16
 1222    1.7 %         UntilizeWithUnpaddingDeviceOperation                    3       338 μs          1 μs    108                                                       BF16 => BF16
 1223    2.8 %         PermuteDeviceOperation                                  3       548 μs          1 μs    110                                                       BF16 => BF16
 1224    2.8 %         PermuteDeviceOperation                                  3       552 μs          1 μs    110                                                       BF16 => BF16
 1225    1.9 %         ConcatDeviceOperation                                   3       370 μs          1 μs    110                                                 BF16, BF16 => BF16
 1226    4.5 %         PermuteDeviceOperation                                  3       887 μs          1 μs    110                                                       BF16 => BF16
 1227    1.5 %         TilizeWithValPaddingDeviceOperation                     3       295 μs          1 μs    108                                                       BF16 => BF16
 1228    0.0 %         TilizeDeviceOperation                                   3         2 μs          1 μs      4                                                       BF16 => BF16
 1229    1.0 %         BinaryNgDeviceOperation                                 3       201 μs          0 μs    110                                                 BF16, BF16 => BF16
 1230    0.0 %         TilizeDeviceOperation                                   3         2 μs          1 μs      4                                                       BF16 => BF16
 1231    1.0 %         BinaryNgDeviceOperation                                 3       200 μs          0 μs    110                                                 BF16, BF16 => BF16
 1232    0.9 %         BinaryNgDeviceOperation                                 3       180 μs          0 μs    110                                                 BF16, BF16 => BF16
