variant         G  rows seed  bat       t1        t9  per_round   pcc        rel_rms
base_l1acc      4     1    0    4     1710     12357       1331   0.9999980  0.003456
cand_recv       4     1    0    4     1676     12330       1332   0.9999980  0.003456
member_copy     4     1    0    4      561      2353        224   0.9999979  0.004013
member_pack     4     1    0    4      511      2371        232   0.9999933  0.006908
recv_unpack     4     1    0    4      529      2407        235   0.9999933  0.006908
base_l1acc      4    10    0    4    10564     93045      10310   0.9999982  0.003287
cand_recv       4    10    0    4     1647     12334       1336   0.9999974  0.003605
member_copy     4    10    0    4      953      6495        693   0.9999979  0.004171
member_pack     4    10    0    4      590      4378        474   0.9999887  0.008637
recv_unpack     4    10    0    4      939      6515        697   0.9999887  0.008637
base_l1acc      8     1    0    4     1835     14172       1542   0.9999986  0.003152
base_phase0     8     1    0    4     2796     21670       2359   0.9999984  0.002422
cand_recv       8     1    0    4     1916     14247       1541   0.9999986  0.003152
cand_root       8     1    0    4     1911     14863       1619   0.9999943  0.003584
member_copy     8     1    0    4      556      2392        230   0.9999988  0.003680
member_pack     8     1    0    4      506      2429        240   0.9999956  0.007511
recv_unpack     8     1    0    4      499      2394        237   0.9999956  0.007511
base_l1acc      8     2    0    4     3027     23969       2618   0.9999985  0.003358
base_phase0     8     2    0    4     3807     31573       3471   0.9999943  0.002927
cand_recv       8     2    0    4     1851     14193       1543   0.9999978  0.003681
cand_root       8     2    0    4     1937     15281       1668   0.9999911  0.003302
member_copy     8     2    0    4      606      2950        293   0.9999979  0.003572
member_pack     8     2    0    4      496      2594        262   0.9999930  0.006896
recv_unpack     8     2    0    4      529      2816        286   0.9999930  0.006896
base_l1acc      8     4    0    4     5322     45684       5045   0.9999980  0.003616
base_phase0     8     4    0    4     6051     51479       5678   0.9999929  0.002910
cand_recv       8     4    0    4     1897     14189       1536   0.9999980  0.003744
cand_root       8     4    0    4     2068     16263       1774   0.9999929  0.004154
member_copy     8     4    0    4      674      3784        389   0.9999980  0.003720
member_pack     8     4    0    4      516      2996        310   0.9999931  0.007349
recv_unpack     8     4    0    4      575      3739        396   0.9999931  0.007349
cand_root       8    10    0    1     3107     24514       2676   0.9999878  0.004190
recv_unpack     8    10    0    1     1681     12699       1377   0.9999884  0.008502
cand_root       8    10    0    2     2596     19907       2164   0.9999878  0.004190
recv_unpack     8    10    0    2     1148      7764        827   0.9999884  0.008502
base_l1acc      8    10    0    4    12585    111150      12321   0.9999982  0.003645
base_phase0     8    10    0    4    13254    116751      12937   0.9999941  0.003318
cand_recv       8    10    0    4     1857     14210       1544   0.9999982  0.003868
cand_root       8    10    0    4     2447     18927       2060   0.9999878  0.004190
member_copy     8    10    0    4      970      6487        690   0.9999975  0.004050
member_pack     8    10    0    4      552      4350        475   0.9999884  0.008502
recv_unpack     8    10    0    4      978      6489        689   0.9999884  0.008502
cand_root       8    10    0    8     2500     19115       2077   0.9999878  0.004190
recv_unpack     8    10    0    8      950      6630        710   0.9999884  0.008502
cand_root       8    10    1    4     3463     27590       3016   0.9999878  0.004190
member_pack     8    10    1    4      671      4876        526   0.9999884  0.008502
recv_unpack     8    10    1    4     1482     12170       1336   0.9999884  0.008502
cand_root       8    32    0    1     6169     52730       5820   0.9999886  0.004378
recv_unpack     8    32    0    1     4442     37611       4146   0.9999887  0.007947
cand_root       8    32    0    2     4499     37659       4145   0.9999886  0.004378
recv_unpack     8    32    0    2     2676     21616       2368   0.9999887  0.007947
base_l1acc      8    32    0    4    39215    350965      38969   0.9999978  0.002921
base_phase0     8    32    0    4    39259    351056      38975   0.9999939  0.003312
cand_recv       8    32    0    4     2224     17532       1914   0.9999957  0.004048
cand_root       8    32    0    4     3701     30148       3306   0.9999886  0.004378
member_copy     8    32    0    4     2133     16830       1837   0.9999970  0.004214
member_pack     8    32    0    4     1138      9421       1035   0.9999887  0.007947
recv_unpack     8    32    0    4     1795     14176       1548   0.9999887  0.007947
cand_root       8    32    0    8     3436     28456       3128   0.9999886  0.004378
recv_unpack     8    32    0    8     1560     12491       1366   0.9999887  0.007947
cand_root       8    32    1    4     6756     57967       6401   0.9999886  0.004378
member_pack     8    32    1    4     1172      9921       1094   0.9999887  0.007947
recv_unpack     8    32    1    4     3875     33371       3687   0.9999887  0.007947
base_l1acc     16     1    0    4     2238     17821       1948   0.9999983  0.003826
cand_recv      16     1    0    4     2241     17816       1947   0.9999983  0.003826
member_copy    16     1    0    4      497      2336        230   0.9999991  0.003794
member_pack    16     1    0    4      497      2415        240   0.9999938  0.007876
recv_unpack    16     1    0    4      556      2409        232   0.9999938  0.007876
base_l1acc     16    10    0    4    16631    147168      16317   0.9999979  0.003424
cand_recv      16    10    0    4     2287     17836       1944   0.9999979  0.003888
member_copy    16    10    0    4      982      6452        684   0.9999972  0.003944
member_pack    16    10    0    4      572      4346        472   0.9999897  0.008530
recv_unpack    16    10    0    4      959      6496        692   0.9999897  0.008530
base_l1acc     32     1    0    4     3047     25127       2760   0.9999982  0.003558
cand_recv      32     1    0    4     3076     25028       2744   0.9999982  0.003558
member_copy    32     1    0    4      499      2312        227   0.9999975  0.003984
member_pack    32     1    0    4      518      2410        236   0.9999957  0.006601
recv_unpack    32     1    0    4      558      2399        230   0.9999957  0.006601
base_l1acc     32    10    0    4    24599    218788      24274   0.9999977  0.003572
cand_recv      32    10    0    4     3077     25147       2759   0.9999962  0.004397
member_copy    32    10    0    4      968      6461        687   0.9999973  0.004071
member_pack    32    10    0    4      556      4373        477   0.9999911  0.007445
recv_unpack    32    10    0    4      964      6488        690   0.9999911  0.007445
