Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  910    1.1 %         ReshapeViewDeviceOperation                     0        91 μs                  110                                                       BF16 => BF16
  914    0.7 %         LayerNormDeviceOperation                       0        32 μs         31 μs     17                                                 BF16, BF16 => BF16
  915    1.1 %   SLOW  MatmulDeviceOperation 544 x 3072 x 1280        3        29 μs         64 μs     90  228 GB/s  44.5 %  145.6 TFLOPs   29.3 %  LoFi BF16 x BFP4 => BF16
  920    0.7 %         ReshapeViewDeviceOperation                     2        50 μs         13 μs    110                                                       BF16 => BF16
  923    0.2 %         NlpCreateHeadsDeviceOperation                  3        21 μs          1 μs     32                                                       BF16 => BF16
  928    0.3 %         SliceDeviceOperation                           2         1 μs         25 μs      8                                                       BF16 => BF16
  931    0.3 %         SliceDeviceOperation                           3         1 μs         25 μs      8                                                       BF16 => BF16
  938    0.7 %         RotaryEmbeddingDeviceOperation                 0        20 μs         42 μs     32                                                 BF16, BF16 => BF16
  939    0.6 %         RotaryEmbeddingDeviceOperation                 3        41 μs         12 μs     96                                                 BF16, BF16 => BF16
  945    0.1 %         SliceDeviceOperation                           1         3 μs          4 μs    110                                                       BF16 => BF16
  950    0.5 %         SliceDeviceOperation                           0         9 μs         33 μs    110                                                       BF16 => BF16
  954    0.1 %         SliceDeviceOperation                           0         1 μs         11 μs      8                                                       BF16 => BF16
  958    0.2 %         SliceDeviceOperation                           0         1 μs         14 μs      8                                                       BF16 => BF16
  961    0.4 %         TypecastDeviceOperation                        1         1 μs         30 μs      8                                                       BF16 => BFP8
  963    0.4 %         UpdateKVCacheOperation                         3         4 μs         27 μs      1                                                 BFP8, BFP8 => BFP8
  969    0.2 %         TypecastDeviceOperation                        1         1 μs         12 μs      8                                                       BF16 => BFP8
  972    0.1 %         UpdateKVCacheOperation                         2         4 μs          9 μs      1                                                 BFP8, BFP8 => BFP8
  975    0.2 %         SliceDeviceOperation                           3         1 μs         17 μs      8                                                       BF16 => BF16
  980    0.2 %         SliceDeviceOperation                           2         1 μs         13 μs      8                                                       BF16 => BF16
  985    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
  990    0.1 %         UpdateKVCacheOperation                         0         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
  992    0.1 %         TypecastDeviceOperation                        2         1 μs          9 μs      8                                                       BF16 => BFP8
  998    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1002    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
 1004    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1008    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1013    0.1 %         UpdateKVCacheOperation                         1         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1018    0.2 %         TypecastDeviceOperation                        0         1 μs         16 μs      8                                                       BF16 => BFP8
 1020    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1024    0.3 %         SliceDeviceOperation                           2         1 μs         29 μs      8                                                       BF16 => BF16
 1028    0.2 %         SliceDeviceOperation                           2         1 μs         16 μs      8                                                       BF16 => BF16
 1032    0.4 %         TypecastDeviceOperation                        2         1 μs         36 μs      8                                                       BF16 => BFP8
 1036    0.2 %         UpdateKVCacheOperation                         2         4 μs          9 μs      1                                                 BFP8, BFP8 => BFP8
 1042    0.1 %         TypecastDeviceOperation                        0         1 μs          9 μs      8                                                       BF16 => BFP8
