csv,activation,method,degree,segments,dtype,max_ulp,runtime_us,compiles,status
abs_p2_s2_uniform_any_ulp.csv,abs,abs_value,2,2,bf16,0.00,1.70,1,controlled_replay
acos_p3_s1_asin_acos_ulp.csv,acos,asin_acos,3,1,bf16,0.00,5.29,1,controlled_replay
acosh_n4d3_s1_uniform_rational_ulp.csv,acosh,rational,4d3,1,bf16,1.00,2.93,1,controlled_replay
asin_n8d8_s1_uniform_rational_ulp.csv,asin,rational,8d8,1,bf16,0.00,3.04,1,controlled_replay
asinh_n5d5_s1_uniform_rational_ulp.csv,asinh,rational,5d5,1,bf16,1.00,2.54,1,controlled_replay
atan_p7_s1_uniform_any_ulp.csv,atan,poly,7,1,bf16,0.50,1.98,1,controlled_replay
atanh_n5d5_s1_uniform_rational_ulp.csv,atanh,rational,5d5,1,bf16,1.00,2.54,1,controlled_replay
cbrt_p1_s1_newton_root_ulp.csv,cbrt,newton_root,1,1,bf16,1.00,2.07,1,controlled_replay
celu_p13_s2_uniform_any_ulp.csv,celu,poly,13,2,bf16,0.00,2.75,1,controlled_replay
cos_p7_s1_uniform_fpminimax_ulp.csv,cos,trig_residual,7,1,bf16,0.00,2.48,1,controlled_replay_trig_coeff_hoist
cosh_p16_s1_uniform_any_ulp.csv,cosh,poly,16,1,bf16,0.00,2.70,1,controlled_replay
digamma_n4d3_s1_uniform_rational_ulp.csv,digamma,rational,4d3,1,bf16,1.00,2.93,1,controlled_replay
elu_p11_s2_uniform_any_ulp.csv,elu,poly,11,2,bf16,0.00,2.74,1,controlled_replay
erf_n8d6_s1_uniform_rational_ulp.csv,erf,rational,8d6,1,bf16,0.50,2.87,1,controlled_replay
erfc_p6_s4_uniform_any_ulp.csv,erfc,poly,6,4,bf16,0.50,4.19,1,controlled_replay
erfinv_n4d4_s1_uniform_rational_ulp.csv,erfinv,rational,4d4,1,bf16,1.00,2.38,1,controlled_replay
exp_p2_s1_uniform_fpminimax_ulp.csv,exp,exponent_alu_exp2,2,1,bf16,1.00,1.91,1,controlled_replay_exp2_preload
exp2_p2_s3_uniform_any_ulp.csv,exp2,exponent_alu_exp2,2,3,bf16,0.50,1.91,1,controlled_replay_exp2_preload
expm1_p7_s1_uniform_any_ulp.csv,expm1,poly,7,1,bf16,0.00,2.01,1,controlled_replay
gelu_p2_s16_uniform_any_ulp.csv,gelu,poly,2,16,bf16,0.12,11.80,1,controlled_replay
hardmish_p3_s3_uniform_any_ulp.csv,hardmish,gated_affine_product,3,3,bf16,0.00,1.72,1,controlled_replay
hardshrink_p2_s3_uniform_any_ulp.csv,hardshrink,threshold_identity,2,3,bf16,0.00,1.72,1,controlled_replay
hardsigmoid_p2_s3_uniform_any_ulp.csv,hardsigmoid,clamped_affine,2,3,bf16,0.50,1.73,1,controlled_replay
hardswish_p6_s3_uniform_any_ulp.csv,hardswish,gated_affine_product,6,3,bf16,0.02,1.78,1,controlled_replay
hardtanh_p5_s3_uniform_any_ulp.csv,hardtanh,poly,5,3,bf16,0.00,1.70,1,controlled_replay
i0_p10_s1_uniform_any_ulp.csv,i0,poly,10,1,bf16,0.25,2.23,1,controlled_replay
i1_n7d4_s1_uniform_rational_ulp.csv,i1,rational,7d4,1,bf16,0.50,2.71,1,controlled_replay
identity_p13_s1_uniform_any_ulp.csv,identity,poly,13,1,bf16,0.00,0.13,1,controlled_replay
leaky_relu_p1_s2_uniform_any_ulp.csv,leaky_relu,poly,1,2,bf16,0.00,1.80,1,controlled_replay
lgamma_n5d5_s1_uniform_rational_ulp.csv,lgamma,rational,5d5,1,bf16,1.00,3.42,1,controlled_replay
