csv,activation,method,degree,segments,metric,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,10d1,1,ulp,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n10d3_s1_uniform_rational_ulp.csv,abs,rational_quotient,10d3,1,ulp,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n10d5_s1_uniform_rational_ulp.csv,abs,rational_quotient,10d5,1,ulp,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n11d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,11d1,1,ulp,bf16,256.00,2.32,1,"[-128.0,128.0]"
abs_n11d3_s1_uniform_rational_ulp.csv,abs,rational_quotient,11d3,1,ulp,bf16,256.00,2.32,1,"[-128.0,128.0]"
abs_n11d5_s1_uniform_rational_ulp.csv,abs,rational_quotient,11d5,1,ulp,bf16,256.00,2.32,1,"[-128.0,128.0]"
abs_n12d2_s1_uniform_rational_ulp.csv,abs,rational_quotient,12d2,1,ulp,bf16,256.00,2.31,1,"[-128.0,128.0]"
abs_n12d4_s1_uniform_rational_ulp.csv,abs,rational_quotient,12d4,1,ulp,bf16,256.00,2.32,1,"[-128.0,128.0]"
abs_n13d2_s1_uniform_rational_ulp.csv,abs,rational_quotient,13d2,1,ulp,bf16,256.00,2.42,1,"[-128.0,128.0]"
abs_n14d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,14d1,1,ulp,bf16,256.00,2.42,1,"[-128.0,128.0]"
abs_n15d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,15d1,1,ulp,bf16,256.00,2.52,1,"[-128.0,128.0]"
abs_n2d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,2d1,1,ulp,bf16,256.00,1.85,1,"[-128.0,128.0]"
abs_n3d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,3d1,1,ulp,bf16,256.00,1.94,1,"[-128.0,128.0]"
abs_n3d3_s1_uniform_rational_ulp.csv,abs,rational_quotient,3d3,1,ulp,bf16,256.00,1.94,1,"[-128.0,128.0]"
abs_n4d2_s1_uniform_rational_ulp.csv,abs,rational_quotient,4d2,1,ulp,bf16,256.00,1.94,1,"[-128.0,128.0]"
abs_n4d4_s1_uniform_rational_ulp.csv,abs,rational_quotient,4d4,1,ulp,bf16,256.00,1.97,1,"[-128.0,128.0]"
abs_n5d2_s1_uniform_rational_ulp.csv,abs,rational_quotient,5d2,1,ulp,bf16,256.00,2.01,1,"[-128.0,128.0]"
abs_n5d4_s1_uniform_rational_ulp.csv,abs,rational_quotient,5d4,1,ulp,bf16,256.00,2.02,1,"[-128.0,128.0]"
abs_n6d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,6d1,1,ulp,bf16,256.00,2.01,1,"[-128.0,128.0]"
abs_n6d3_s1_uniform_rational_ulp.csv,abs,rational_quotient,6d3,1,ulp,bf16,256.00,2.01,1,"[-128.0,128.0]"
abs_n6d5_s1_uniform_rational_ulp.csv,abs,rational_quotient,6d5,1,ulp,bf16,256.00,2.02,1,"[-128.0,128.0]"
abs_n7d1_s1_uniform_rational_ulp.csv,abs,rational_quotient,7d1,1,ulp,bf16,256.00,2.10,1,"[-128.0,128.0]"
abs_n7d3_s1_uniform_rational_ulp.csv,abs,rational_quotient,7d3,1,ulp,bf16,256.00,2.11,1,"[-128.0,128.0]"
abs_n7d5_s1_uniform_rational_ulp.csv,abs,rational_quotient,7d5,1,ulp,bf16,256.00,2.11,1,"[-128.0,128.0]"
abs_n7d7_s1_uniform_rational_ulp.csv,abs,rational_quotient,7d7,1,ulp,bf16,256.00,2.11,1,"[-128.0,128.0]"
abs_n8d2_s1_uniform_rational_ulp.csv,abs,rational_quotient,8d2,1,ulp,bf16,256.00,2.10,1,"[-128.0,128.0]"
abs_n8d4_s1_uniform_rational_ulp.csv,abs,rational_quotient,8d4,1,ulp,bf16,256.00,2.12,1,"[-128.0,128.0]"
abs_n8d6_s1_uniform_rational_ulp.csv,abs,rational_quotient,8d6,1,ulp,bf16,256.00,2.12,1,"[-128.0,128.0]"
abs_n8d8_s1_uniform_rational_ulp.csv,abs,rational_quotient,8d8,1,ulp,bf16,256.00,2.17,1,"[-128.0,128.0]"
abs_n9d2_s1_uniform_rational_ulp.csv,abs,rational_quotient,9d2,1,ulp,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n9d4_s1_uniform_rational_ulp.csv,abs,rational_quotient,9d4,1,ulp,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n9d6_s1_uniform_rational_ulp.csv,abs,rational_quotient,9d6,1,ulp,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_p10_s1_uniform_any_ulp.csv,abs,poly,10,1,ulp,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p11_s1_uniform_any_ulp.csv,abs,poly,11,1,ulp,bf16,256.00,1.70,1,"[-128.0,128.0]"
abs_p12_s1_uniform_any_ulp.csv,abs,poly,12,1,ulp,bf16,256.00,1.72,1,"[-128.0,128.0]"
abs_p14_s1_uniform_any_ulp.csv,abs,poly,14,1,ulp,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p1_s1_uniform_any_ulp.csv,abs,poly,1,1,ulp,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p1_s32_uniform_any_ulp.csv,abs,poly,1,32,ulp,bf16,0.00,12.31,1,"[-128.0,128.0]"
abs_p2_s16_uniform_any_ulp.csv,abs,poly,2,16,ulp,bf16,0.00,5.97,1,"[-128.0,128.0]"
abs_p2_s3_uniform_any_ulp.csv,abs,poly,2,3,ulp,bf16,0.00,1.91,1,"[-128.0,128.0]"
abs_p3_s1_uniform_any_ulp.csv,abs,poly,3,1,ulp,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p3_s4_uniform_any_ulp.csv,abs,poly,3,4,ulp,bf16,0.00,2.37,1,"[-128.0,128.0]"
abs_p4_s2_uniform_any_ulp.csv,abs,poly,4,2,ulp,bf16,0.00,1.82,1,"[-128.0,128.0]"
abs_p4_s8_uniform_any_ulp.csv,abs,poly,4,8,ulp,bf16,0.00,3.85,1,"[-128.0,128.0]"
abs_p5_s32_uniform_any_ulp.csv,abs,poly,5,32,ulp,bf16,0.00,14.88,1,"[-128.0,128.0]"
abs_p6_s16_uniform_any_ulp.csv,abs,poly,6,16,ulp,bf16,0.00,7.85,1,"[-128.0,128.0]"
abs_p6_s4_uniform_any_ulp.csv,abs,poly,6,4,ulp,bf16,0.00,2.59,1,"[-128.0,128.0]"
abs_p7_s2_uniform_any_ulp.csv,abs,poly,7,2,ulp,bf16,0.00,1.93,1,"[-128.0,128.0]"
abs_p8_s1_uniform_any_ulp.csv,abs,poly,8,1,ulp,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p8_s8_uniform_any_ulp.csv,abs,poly,8,8,ulp,bf16,0.00,4.78,1,"[-128.0,128.0]"
abs_p9_s4_uniform_any_ulp.csv,abs,poly,9,4,ulp,bf16,0.00,3.08,1,"[-128.0,128.0]"
acos_n10d2_s1_uniform_rational_ulp.csv,acos,rational_quotient,10d2,1,ulp,bf16,1.00,3.75,1,"[-0.99,0.99]"
