csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d2_s1_uniform_rational_ulp.csv,abs,rational,10d2,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n10d4_s1_uniform_rational_ulp.csv,abs,rational,10d4,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n10d6_s1_uniform_rational_ulp.csv,abs,rational,10d6,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n11d2_s1_uniform_rational_ulp.csv,abs,rational,11d2,1,bf16,256.00,2.31,1,"[-128.0,128.0]"
abs_n11d4_s1_uniform_rational_ulp.csv,abs,rational,11d4,1,bf16,256.00,2.31,1,"[-128.0,128.0]"
abs_n12d1_s1_uniform_rational_ulp.csv,abs,rational,12d1,1,bf16,256.00,2.32,1,"[-128.0,128.0]"
abs_n12d3_s1_uniform_rational_ulp.csv,abs,rational,12d3,1,bf16,256.00,2.31,1,"[-128.0,128.0]"
abs_n13d1_s1_uniform_rational_ulp.csv,abs,rational,13d1,1,bf16,256.00,2.41,1,"[-128.0,128.0]"
abs_n13d3_s1_uniform_rational_ulp.csv,abs,rational,13d3,1,bf16,256.00,2.42,1,"[-128.0,128.0]"
abs_n14d2_s1_uniform_rational_ulp.csv,abs,rational,14d2,1,bf16,256.00,2.42,1,"[-128.0,128.0]"
abs_n1d1_s1_uniform_rational_ulp.csv,abs,rational,1d1,1,bf16,256.00,1.87,1,"[-128.0,128.0]"
abs_n2d2_s1_uniform_rational_ulp.csv,abs,rational,2d2,1,bf16,256.00,1.90,1,"[-128.0,128.0]"
abs_n3d2_s1_uniform_rational_ulp.csv,abs,rational,3d2,1,bf16,256.00,1.93,1,"[-128.0,128.0]"
abs_n4d1_s1_uniform_rational_ulp.csv,abs,rational,4d1,1,bf16,256.00,1.93,1,"[-128.0,128.0]"
abs_n4d3_s1_uniform_rational_ulp.csv,abs,rational,4d3,1,bf16,256.00,1.93,1,"[-128.0,128.0]"
abs_n5d1_s1_uniform_rational_ulp.csv,abs,rational,5d1,1,bf16,256.00,2.01,1,"[-128.0,128.0]"
abs_n5d3_s1_uniform_rational_ulp.csv,abs,rational,5d3,1,bf16,256.00,2.01,1,"[-128.0,128.0]"
abs_n5d5_s1_uniform_rational_ulp.csv,abs,rational,5d5,1,bf16,256.00,2.02,1,"[-128.0,128.0]"
abs_n6d2_s1_uniform_rational_ulp.csv,abs,rational,6d2,1,bf16,256.00,2.01,1,"[-128.0,128.0]"
abs_n6d4_s1_uniform_rational_ulp.csv,abs,rational,6d4,1,bf16,256.00,2.02,1,"[-128.0,128.0]"
abs_n6d6_s1_uniform_rational_ulp.csv,abs,rational,6d6,1,bf16,256.00,2.07,1,"[-128.0,128.0]"
abs_n7d2_s1_uniform_rational_ulp.csv,abs,rational,7d2,1,bf16,256.00,2.10,1,"[-128.0,128.0]"
abs_n7d4_s1_uniform_rational_ulp.csv,abs,rational,7d4,1,bf16,256.00,2.11,1,"[-128.0,128.0]"
abs_n7d6_s1_uniform_rational_ulp.csv,abs,rational,7d6,1,bf16,256.00,2.12,1,"[-128.0,128.0]"
abs_n8d1_s1_uniform_rational_ulp.csv,abs,rational,8d1,1,bf16,256.00,2.10,1,"[-128.0,128.0]"
abs_n8d3_s1_uniform_rational_ulp.csv,abs,rational_cascade,8d3,1,bf16,256.00,2.11,1,"[-128.0,128.0]"
abs_n8d5_s1_uniform_rational_ulp.csv,abs,rational,8d5,1,bf16,256.00,2.11,1,"[-128.0,128.0]"
abs_n8d7_s1_uniform_rational_ulp.csv,abs,rational,8d7,1,bf16,256.00,2.12,1,"[-128.0,128.0]"
abs_n9d1_s1_uniform_rational_ulp.csv,abs,rational,9d1,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n9d3_s1_uniform_rational_ulp.csv,abs,rational,9d3,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n9d5_s1_uniform_rational_ulp.csv,abs,rational,9d5,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_n9d7_s1_uniform_rational_ulp.csv,abs,rational,9d7,1,bf16,256.00,2.21,1,"[-128.0,128.0]"
abs_p10_s3_uniform_any_ulp.csv,abs,poly,10,3,bf16,0.00,2.53,1,"[-128.0,128.0]"
abs_p11_s2_uniform_any_ulp.csv,abs,abs_value,11,2,bf16,0.00,1.72,1,"[-128.0,128.0]"
abs_p12_s2_uniform_any_ulp.csv,abs,abs_value,12,2,bf16,0.00,1.70,1,"[-128.0,128.0]"
abs_p13_s2_uniform_any_ulp.csv,abs,abs_value,13,2,bf16,0.00,1.71,1,"[-128.0,128.0]"
abs_p15_s1_uniform_any_ulp.csv,abs,poly,15,1,bf16,256.00,1.72,1,"[-128.0,128.0]"
abs_p1_s2_uniform_any_ulp.csv,abs,abs_value,1,2,bf16,0.00,1.70,1,"[-128.0,128.0]"
abs_p1_s8_uniform_any_ulp.csv,abs,poly,1,8,bf16,0.00,3.54,1,"[-128.0,128.0]"
abs_p2_s32_uniform_any_ulp.csv,abs,poly,2,32,bf16,0.00,11.26,1,"[-128.0,128.0]"
abs_p3_s16_uniform_any_ulp.csv,abs,poly,3,16,bf16,0.00,6.96,1,"[-128.0,128.0]"
abs_p3_s3_uniform_any_ulp.csv,abs,poly,3,3,bf16,0.00,2.06,1,"[-128.0,128.0]"
abs_p4_s1_uniform_any_ulp.csv,abs,poly,4,1,bf16,256.00,1.70,1,"[-128.0,128.0]"
abs_p4_s4_uniform_any_ulp.csv,abs,poly,4,4,bf16,0.00,2.37,1,"[-128.0,128.0]"
abs_p5_s2_uniform_any_ulp.csv,abs,abs_value,5,2,bf16,0.00,1.70,1,"[-128.0,128.0]"
abs_p5_s8_uniform_any_ulp.csv,abs,poly,5,8,bf16,0.00,4.29,1,"[-128.0,128.0]"
abs_p6_s32_uniform_any_ulp.csv,abs,poly,6,32,bf16,0.00,14.89,1,"[-128.0,128.0]"
abs_p7_s16_uniform_any_ulp.csv,abs,poly,7,16,bf16,0.00,9.12,1,"[-128.0,128.0]"
abs_p7_s4_uniform_any_ulp.csv,abs,poly,7,4,bf16,0.00,2.81,1,"[-128.0,128.0]"
abs_p8_s2_uniform_any_ulp.csv,abs,abs_value,8,2,bf16,0.00,1.71,1,"[-128.0,128.0]"
abs_p9_s1_uniform_any_ulp.csv,abs,poly,9,1,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p9_s8_uniform_any_ulp.csv,abs,poly,9,8,bf16,0.00,5.23,1,"[-128.0,128.0]"
acos_n10d2_s2_uniform_rational_ulp.csv,acos,asin_acos,10d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n10d4_s2_uniform_rational_ulp.csv,acos,asin_acos,10d4,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n10d6_s2_uniform_rational_ulp.csv,acos,asin_acos,10d6,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n11d2_s2_uniform_rational_ulp.csv,acos,asin_acos,11d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n11d4_s2_uniform_rational_ulp.csv,acos,asin_acos,11d4,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n12d1_s2_uniform_rational_ulp.csv,acos,asin_acos,12d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n12d3_s2_uniform_rational_ulp.csv,acos,asin_acos,12d3,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n13d1_s2_uniform_rational_ulp.csv,acos,asin_acos,13d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n13d3_s2_uniform_rational_ulp.csv,acos,asin_acos,13d3,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n14d2_s2_uniform_rational_ulp.csv,acos,asin_acos,14d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n1d1_s2_uniform_rational_ulp.csv,acos,asin_acos,1d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n2d2_s2_uniform_rational_ulp.csv,acos,asin_acos,2d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n3d2_s2_uniform_rational_ulp.csv,acos,asin_acos,3d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n4d1_s2_uniform_rational_ulp.csv,acos,asin_acos,4d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n4d3_s2_uniform_rational_ulp.csv,acos,asin_acos,4d3,2,bf16,-,-,0,"[-0.99,0.99]"
