csv,activation,method,degree,segments,metric,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,10d1,2,ulp,bf16,0.00,2.91,1,"[-128.0,128.0]"
abs_n10d3_s2_uniform_rational_ulp.csv,abs,rational_quotient,10d3,2,ulp,bf16,0.00,2.96,1,"[-128.0,128.0]"
abs_n10d5_s2_uniform_rational_ulp.csv,abs,rational_quotient,10d5,2,ulp,bf16,0.00,2.97,1,"[-128.0,128.0]"
abs_n11d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,11d1,2,ulp,bf16,0.00,3.13,1,"[-128.0,128.0]"
abs_n11d3_s2_uniform_rational_ulp.csv,abs,rational_quotient,11d3,2,ulp,bf16,0.00,3.19,1,"[-128.0,128.0]"
abs_n11d5_s2_uniform_rational_ulp.csv,abs,rational_quotient,11d5,2,ulp,bf16,0.00,3.19,1,"[-128.0,128.0]"
abs_n12d2_s2_uniform_rational_ulp.csv,abs,rational_quotient,12d2,2,ulp,bf16,0.00,3.19,1,"[-128.0,128.0]"
abs_n12d4_s2_uniform_rational_ulp.csv,abs,rational_quotient,12d4,2,ulp,bf16,0.00,3.18,1,"[-128.0,128.0]"
abs_n13d2_s2_uniform_rational_ulp.csv,abs,rational_quotient,13d2,2,ulp,bf16,0.00,3.40,1,"[-128.0,128.0]"
abs_n14d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,14d1,2,ulp,bf16,0.00,3.35,1,"[-128.0,128.0]"
abs_n15d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,15d1,2,ulp,bf16,0.00,3.57,1,"[-128.0,128.0]"
abs_n2d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,2d1,2,ulp,bf16,0.00,1.97,1,"[-128.0,128.0]"
abs_n3d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,3d1,2,ulp,bf16,0.00,2.26,1,"[-128.0,128.0]"
abs_n3d3_s2_uniform_rational_ulp.csv,abs,rational_quotient,3d3,2,ulp,bf16,0.00,2.32,1,"[-128.0,128.0]"
abs_n4d2_s2_uniform_rational_ulp.csv,abs,rational_quotient,4d2,2,ulp,bf16,0.00,2.32,1,"[-128.0,128.0]"
abs_n4d4_s2_uniform_rational_ulp.csv,abs,rational_quotient,4d4,2,ulp,bf16,0.00,2.48,1,"[-128.0,128.0]"
abs_n5d2_s2_uniform_rational_ulp.csv,abs,rational_quotient,5d2,2,ulp,bf16,0.00,2.53,1,"[-128.0,128.0]"
abs_n5d4_s2_uniform_rational_ulp.csv,abs,rational_quotient,5d4,2,ulp,bf16,0.00,2.58,1,"[-128.0,128.0]"
abs_n6d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,6d1,2,ulp,bf16,0.00,2.47,1,"[-128.0,128.0]"
abs_n6d3_s2_uniform_rational_ulp.csv,abs,rational_quotient,6d3,2,ulp,bf16,0.00,2.53,1,"[-128.0,128.0]"
abs_n6d5_s2_uniform_rational_ulp.csv,abs,rational_quotient,6d5,2,ulp,bf16,0.00,2.59,1,"[-128.0,128.0]"
abs_n7d1_s2_uniform_rational_ulp.csv,abs,rational_quotient,7d1,2,ulp,bf16,0.00,2.69,1,"[-128.0,128.0]"
abs_n7d3_s2_uniform_rational_ulp.csv,abs,rational_quotient,7d3,2,ulp,bf16,0.00,2.75,1,"[-128.0,128.0]"
abs_n7d5_s2_uniform_rational_ulp.csv,abs,rational_quotient,7d5,2,ulp,bf16,0.00,2.74,1,"[-128.0,128.0]"
abs_n7d7_s2_uniform_rational_ulp.csv,abs,rational_quotient,7d7,2,ulp,bf16,0.00,2.75,1,"[-128.0,128.0]"
abs_n8d2_s2_uniform_rational_ulp.csv,abs,rational_quotient,8d2,2,ulp,bf16,0.00,2.75,1,"[-128.0,128.0]"
abs_n8d4_s2_uniform_rational_ulp.csv,abs,rational_quotient,8d4,2,ulp,bf16,0.00,2.75,1,"[-128.0,128.0]"
abs_n8d6_s2_uniform_rational_ulp.csv,abs,rational_quotient,8d6,2,ulp,bf16,0.00,2.75,1,"[-128.0,128.0]"
abs_n8d8_s2_uniform_rational_ulp.csv,abs,rational_quotient,8d8,2,ulp,bf16,0.00,2.86,1,"[-128.0,128.0]"
abs_n9d2_s2_uniform_rational_ulp.csv,abs,rational_quotient,9d2,2,ulp,bf16,0.00,2.97,1,"[-128.0,128.0]"
abs_n9d4_s2_uniform_rational_ulp.csv,abs,rational_quotient,9d4,2,ulp,bf16,0.00,2.97,1,"[-128.0,128.0]"
abs_n9d6_s2_uniform_rational_ulp.csv,abs,rational_quotient,9d6,2,ulp,bf16,0.00,2.97,1,"[-128.0,128.0]"
abs_p10_s2_uniform_any_ulp.csv,abs,poly,10,2,ulp,bf16,0.00,2.01,1,"[-128.0,128.0]"
abs_p11_s2_uniform_any_ulp.csv,abs,poly,11,2,ulp,bf16,0.00,2.11,1,"[-128.0,128.0]"
abs_p12_s2_uniform_any_ulp.csv,abs,poly,12,2,ulp,bf16,0.00,2.10,1,"[-128.0,128.0]"
abs_p15_s1_uniform_any_ulp.csv,abs,poly,15,1,ulp,bf16,256.00,1.73,1,"[-128.0,128.0]"
abs_p1_s2_chebyshev_any_ulp.csv,abs,poly,1,2,ulp,bf16,0.00,1.78,1,"[-128.0,128.0]"
abs_p1_s3_uniform_any_ulp.csv,abs,poly,1,3,ulp,bf16,0.00,1.93,1,"[-128.0,128.0]"
abs_p2_s1_uniform_any_ulp.csv,abs,poly,2,1,ulp,bf16,256.00,1.71,1,"[-128.0,128.0]"
abs_p2_s4_uniform_any_ulp.csv,abs,poly,2,4,ulp,bf16,0.00,2.07,1,"[-128.0,128.0]"
abs_p3_s2_uniform_any_ulp.csv,abs,poly,3,2,ulp,bf16,0.00,1.82,1,"[-128.0,128.0]"
abs_p3_s8_uniform_any_ulp.csv,abs,poly,3,8,ulp,bf16,0.00,3.85,1,"[-128.0,128.0]"
abs_p4_s32_uniform_any_ulp.csv,abs,poly,4,32,ulp,bf16,0.00,13.13,1,"[-128.0,128.0]"
abs_p5_s16_uniform_any_ulp.csv,abs,poly,5,16,ulp,bf16,0.00,7.85,1,"[-128.0,128.0]"
