csv,activation,method,degree,segments,metric,precision,bf16_maxulp,runtime_us,compiles,range
gelu_n14d1_s1_uniform_rational_ulp.csv,gelu,rational_cascade,14d1,1,ulp,bf16,160.00,3.34,1,"[-10.0,10.0]"
gelu_n14d2_s1_uniform_rational_ulp.csv,gelu,rational_cascade,14d2,1,ulp,bf16,160.00,3.40,1,"[-10.0,10.0]"
gelu_n2d2_s1_uniform_rational_ulp.csv,gelu,rational_cascade,2d2,1,ulp,bf16,160.00,2.22,1,"[-10.0,10.0]"
gelu_n3d3_s1_uniform_rational_ulp.csv,gelu,rational_cascade,3d3,1,ulp,bf16,160.00,2.54,1,"[-10.0,10.0]"
gelu_n7d1_s1_uniform_rational_ulp.csv,gelu,rational_cascade,7d1,1,ulp,bf16,160.00,3.09,1,"[-10.0,10.0]"
gelu_n8d1_s1_uniform_rational_ulp.csv,gelu,rational_cascade,8d1,1,ulp,bf16,160.00,3.26,1,"[-10.0,10.0]"
gelu_n9d1_s1_uniform_rational_ulp.csv,gelu,rational_cascade,9d1,1,ulp,bf16,160.00,3.42,1,"[-10.0,10.0]"
gelu_p10_s1_uniform_any_ulp.csv,gelu,poly_cascade,10,1,ulp,bf16,160.00,1.73,1,"[-10.0,10.0]"
gelu_p10_s2_uniform_any_ulp.csv,gelu,poly_cascade,10,2,ulp,bf16,2.72,3.41,1,"[-10.0,10.0]"
gelu_p11_s1_uniform_any_ulp.csv,gelu,poly_cascade,11,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p11_s2_uniform_any_ulp.csv,gelu,poly_cascade,11,2,ulp,bf16,2.72,3.52,1,"[-10.0,10.0]"
gelu_p12_s1_uniform_any_ulp.csv,gelu,poly_cascade,12,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p13_s1_uniform_any_ulp.csv,gelu,poly_cascade,13,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p14_s1_uniform_any_ulp.csv,gelu,poly_cascade,14,1,ulp,bf16,160.00,1.72,1,"[-10.0,10.0]"
gelu_p15_s1_uniform_any_ulp.csv,gelu,poly_cascade,15,1,ulp,bf16,160.00,1.74,1,"[-10.0,10.0]"
gelu_p16_s1_uniform_any_ulp.csv,gelu,poly_cascade,16,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p1_s16_uniform_any_ulp.csv,gelu,poly_cascade,1,16,ulp,bf16,1.86,8.28,1,"[-10.0,10.0]"
gelu_p1_s1_uniform_any_ulp.csv,gelu,poly_cascade,1,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
