activation,ttnn_maxulp,ttnn_us
abs,0.0,1.71
acos,0.0,5.74
acosh,1.0,4.73
asin,1.504632769052528e-36,5.7
asinh,1.0,4.12
atan,0.5,3.91
atanh,1.0,4.26
cbrt,1.0,2.14
celu,0.0,3.61
cos,0.0,2.56
cosh,0.0001220703125,2.97
digamma,1.0,6.64
elu,0.0,3.6
erf,0.5,3.63
erfc,0.5,5.45
erfinv,1.0,5.96
exp,1.0,1.9
exp2,0.5,2.52
expm1,0.0,2.92
gelu,0.125,5.78
hardmish,0.03125,1.77
hardshrink,0.0,1.82
hardsigmoid,0.5,1.79
hardswish,0.25,2.01
hardtanh,0.0,1.86
i0,1.0,3.1
i1,0.5,7.4
identity,1.7540579766176321e-38,0.16
lgamma,1.0,13.48
log,1.0,2.32
log10,0.5,2.48
log1p,1.0,2.43
log2,1.0,2.47
logit,1.0,5.4
mish,0.25,4.31
multigammaln,127.0,0.13
relu,0.0,1.72
relu6,0.0,1.84
rsqrt,0.0,2.47
selu,3.2766905029171264e-37,3.63
sigmoid,0.5,2.89
sigmoid_accurate,0.5,2.93
silu,0.25,3.11
sin,0.0,2.35
sinh,0.0,3.25
softplus,0.125,5.31
softshrink,0.0,1.91
softsign,1.0,1.96
sqrt,0.0,2.28
swish,0.25,3.1
tan,0.125,2.94
tanh,0.5,2.29
tanhshrink,0.125,3.17
