csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d2_s2_uniform_rational_ulp.csv,abs,rational,10d2,2,bf16,0.00,2.96,1,[-128.0,128.0]
abs_n10d4_s2_uniform_rational_ulp.csv,abs,rational,10d4,2,bf16,0.00,2.97,1,[-128.0,128.0]
abs_n10d6_s2_uniform_rational_ulp.csv,abs,rational,10d6,2,bf16,0.00,2.96,1,[-128.0,128.0]
abs_n11d2_s2_uniform_rational_ulp.csv,abs,rational,11d2,2,bf16,0.00,3.19,1,[-128.0,128.0]
abs_n11d4_s2_uniform_rational_ulp.csv,abs,rational,11d4,2,bf16,0.00,3.19,1,[-128.0,128.0]
abs_n12d1_s2_uniform_rational_ulp.csv,abs,rational,12d1,2,bf16,0.00,3.13,1,[-128.0,128.0]
abs_n12d3_s2_uniform_rational_ulp.csv,abs,rational,12d3,2,bf16,0.00,3.19,1,[-128.0,128.0]
abs_n13d1_s2_uniform_rational_ulp.csv,abs,rational,13d1,2,bf16,0.00,3.35,1,[-128.0,128.0]
abs_n13d3_s2_uniform_rational_ulp.csv,abs,rational,13d3,2,bf16,0.00,3.40,1,[-128.0,128.0]
abs_n14d2_s2_uniform_rational_ulp.csv,abs,rational,14d2,2,bf16,0.00,3.40,1,[-128.0,128.0]
abs_n2d1_s2_uniform_rational_ulp.csv,abs,rational,2d1,2,bf16,0.00,1.97,1,[-128.0,128.0]
abs_n3d1_s2_uniform_rational_ulp.csv,abs,rational,3d1,2,bf16,0.00,2.26,1,[-128.0,128.0]
abs_n3d3_s2_uniform_rational_ulp.csv,abs,rational,3d3,2,bf16,0.00,2.32,1,[-128.0,128.0]
abs_n4d2_s2_uniform_rational_ulp.csv,abs,rational,4d2,2,bf16,0.00,2.32,1,[-128.0,128.0]
abs_n4d4_s2_uniform_rational_ulp.csv,abs,rational,4d4,2,bf16,0.00,2.48,1,[-128.0,128.0]
abs_n5d2_s2_uniform_rational_ulp.csv,abs,rational,5d2,2,bf16,0.00,2.53,1,[-128.0,128.0]
abs_n5d4_s2_uniform_rational_ulp.csv,abs,rational,5d4,2,bf16,0.00,2.59,1,[-128.0,128.0]
abs_n6d1_s2_uniform_rational_ulp.csv,abs,rational,6d1,2,bf16,0.00,2.47,1,[-128.0,128.0]
abs_n6d3_s2_uniform_rational_ulp.csv,abs,rational,6d3,2,bf16,0.00,2.53,1,[-128.0,128.0]
abs_n6d5_s2_uniform_rational_ulp.csv,abs,rational,6d5,2,bf16,0.00,2.59,1,[-128.0,128.0]
abs_n7d1_s2_uniform_rational_ulp.csv,abs,rational,7d1,2,bf16,0.00,2.69,1,[-128.0,128.0]
abs_n7d3_s2_uniform_rational_ulp.csv,abs,rational,7d3,2,bf16,0.00,2.75,1,[-128.0,128.0]
abs_n7d5_s2_uniform_rational_ulp.csv,abs,rational,7d5,2,bf16,0.00,2.75,1,[-128.0,128.0]
abs_n7d7_s2_uniform_rational_ulp.csv,abs,rational,7d7,2,bf16,0.00,2.75,1,[-128.0,128.0]
abs_n8d2_s2_uniform_rational_ulp.csv,abs,rational,8d2,2,bf16,0.00,2.75,1,[-128.0,128.0]
abs_n8d4_s2_uniform_rational_ulp.csv,abs,rational,8d4,2,bf16,0.00,2.75,1,[-128.0,128.0]
abs_n8d6_s2_uniform_rational_ulp.csv,abs,rational,8d6,2,bf16,0.00,2.75,1,[-128.0,128.0]
abs_n8d8_s2_uniform_rational_ulp.csv,abs,rational,8d8,2,bf16,0.00,2.86,1,[-128.0,128.0]
abs_n9d2_s2_uniform_rational_ulp.csv,abs,rational,9d2,2,bf16,0.00,2.97,1,[-128.0,128.0]
abs_n9d4_s2_uniform_rational_ulp.csv,abs,rational,9d4,2,bf16,0.00,2.97,1,[-128.0,128.0]
abs_n9d6_s2_uniform_rational_ulp.csv,abs,rational,9d6,2,bf16,0.00,2.97,1,[-128.0,128.0]
abs_p10_s2_uniform_any_ulp.csv,abs,poly,10,2,bf16,0.00,2.01,1,[-128.0,128.0]
abs_p11_s2_uniform_any_ulp.csv,abs,poly,11,2,bf16,0.00,2.10,1,[-128.0,128.0]
abs_p12_s2_uniform_any_ulp.csv,abs,poly,12,2,bf16,0.00,2.11,1,[-128.0,128.0]
abs_p15_s1_uniform_any_ulp.csv,abs,poly,15,1,bf16,256.00,0.13,1,[-128.0,128.0]
abs_p1_s3_uniform_any_ulp.csv,abs,poly,1,3,bf16,0.00,1.93,1,[-128.0,128.0]
abs_p2_s1_uniform_any_ulp.csv,abs,poly,2,1,bf16,256.00,0.13,1,[-128.0,128.0]
abs_p2_s4_uniform_any_ulp.csv,abs,poly,2,4,bf16,0.00,2.07,1,[-128.0,128.0]
abs_p3_s2_uniform_any_ulp.csv,abs,poly,3,2,bf16,0.00,1.82,1,[-128.0,128.0]
abs_p3_s8_uniform_any_ulp.csv,abs,poly,3,8,bf16,0.00,3.85,1,[-128.0,128.0]
abs_p4_s32_uniform_any_ulp.csv,abs,poly,4,32,bf16,0.00,13.13,1,[-128.0,128.0]
abs_p5_s16_uniform_any_ulp.csv,abs,poly,5,16,bf16,0.00,7.84,1,[-128.0,128.0]
abs_p5_s3_uniform_any_ulp.csv,abs,poly,5,3,bf16,0.00,2.22,1,[-128.0,128.0]
abs_p6_s1_uniform_any_ulp.csv,abs,poly,6,1,bf16,256.00,0.13,1,[-128.0,128.0]
abs_p6_s8_uniform_any_ulp.csv,abs,poly,6,8,bf16,0.00,4.29,1,[-128.0,128.0]
abs_p7_s3_uniform_any_ulp.csv,abs,poly,7,3,bf16,0.00,2.37,1,[-128.0,128.0]
abs_p8_s2_uniform_any_ulp.csv,abs,poly,8,2,bf16,0.00,1.94,1,[-128.0,128.0]
abs_p9_s1_uniform_any_ulp.csv,abs,poly,9,1,bf16,256.00,0.13,1,[-128.0,128.0]
abs_p9_s8_uniform_any_ulp.csv,abs,poly,9,8,bf16,0.00,5.22,1,[-128.0,128.0]
acos_n10d2_s2_uniform_rational_ulp.csv,acos,rational,10d2,2,bf16,0.50,6.13,1,[-0.99,0.99]
acos_n10d4_s2_uniform_rational_ulp.csv,acos,rational,10d4,2,bf16,3.69,6.79,1,[-0.99,0.99]
acos_n11d1_s2_uniform_rational_ulp.csv,acos,rational,11d1,2,bf16,1.00,6.13,1,[-0.99,0.99]
acos_n11d3_s2_uniform_rational_ulp.csv,acos,rational,11d3,2,bf16,1.00,6.79,1,[-0.99,0.99]
acos_n12d1_s1_uniform_rational_ulp.csv,acos,rational,12d1,1,bf16,1.00,3.92,1,[-0.99,0.99]
acos_n12d3_s2_uniform_rational_ulp.csv,acos,rational,12d3,2,bf16,1.00,7.12,1,[-0.99,0.99]
acos_n13d1_s2_uniform_rational_ulp.csv,acos,rational,13d1,2,bf16,4.12,6.79,1,[-0.99,0.99]
acos_n13d3_s2_uniform_rational_ulp.csv,acos,rational,13d3,2,bf16,0.44,7.45,1,[-0.99,0.99]
acos_n14d2_s2_uniform_rational_ulp.csv,acos,rational,14d2,2,bf16,4.44,7.45,1,[-0.99,0.99]
acos_n1d1_s2_uniform_rational_ulp.csv,acos,rational,1d1,2,bf16,8.50,2.81,1,[-0.99,0.99]
acos_n3d1_s1_uniform_rational_ulp.csv,acos,rational,3d1,1,bf16,6.00,2.44,1,[-0.99,0.99]
acos_n3d3_s1_uniform_rational_ulp.csv,acos,rational,3d3,1,bf16,2.00,2.76,1,[-0.99,0.99]
acos_n4d2_s1_uniform_rational_ulp.csv,acos,rational,4d2,1,bf16,2.00,2.76,1,[-0.99,0.99]
acos_n4d3_s2_uniform_rational_ulp.csv,acos,rational,4d3,2,bf16,1.00,4.46,1,[-0.99,0.99]
acos_n5d1_s1_uniform_rational_ulp.csv,acos,rational,5d1,1,bf16,3.00,2.76,1,[-0.99,0.99]
acos_n5d3_s1_uniform_rational_ulp.csv,acos,rational,5d3,1,bf16,1.00,3.09,1,[-0.99,0.99]
acos_n5d5_s1_uniform_rational_ulp.csv,acos,rational,5d5,1,bf16,1.00,3.42,1,[-0.99,0.99]
acos_n6d2_s2_uniform_rational_ulp.csv,acos,rational,6d2,2,bf16,0.50,4.80,1,[-0.99,0.99]
acos_n6d5_s1_uniform_rational_ulp.csv,acos,rational,6d5,1,bf16,1.00,3.59,1,[-0.99,0.99]
acos_n7d1_s1_uniform_rational_ulp.csv,acos,rational,7d1,1,bf16,2.00,3.09,1,[-0.99,0.99]
acos_n7d3_s1_uniform_rational_ulp.csv,acos,rational,7d3,1,bf16,1.00,3.42,1,[-0.99,0.99]
acos_n7d5_s2_uniform_rational_ulp.csv,acos,rational,7d5,2,bf16,1.00,6.13,1,[-0.99,0.99]
acos_n8d1_s2_uniform_rational_ulp.csv,acos,rational,8d1,2,bf16,0.50,5.13,1,[-0.99,0.99]
acos_n8d3_s2_uniform_rational_ulp.csv,acos,rational,8d3,2,bf16,0.12,5.80,1,[-0.99,0.99]
acos_n8d6_s1_uniform_rational_ulp.csv,acos,rational,8d6,1,bf16,0.50,4.08,1,[-0.99,0.99]
acos_n9d1_s1_uniform_rational_ulp.csv,acos,rational,9d1,1,bf16,1.00,3.42,1,[-0.99,0.99]
acos_n9d3_s1_uniform_rational_ulp.csv,acos,rational,9d3,1,bf16,1.00,3.75,1,[-0.99,0.99]
acos_n9d5_s1_uniform_rational_ulp.csv,acos,rational,9d5,1,bf16,0.50,4.09,1,[-0.99,0.99]
acos_n9d7_s1_uniform_rational_ulp.csv,acos,rational,9d7,1,bf16,0.50,4.42,1,[-0.99,0.99]
acos_p10_s2_uniform_any_ulp.csv,acos,poly,10,2,bf16,1.00,3.74,1,[-0.99,0.99]
acos_p13_s1_uniform_any_ulp.csv,acos,poly,13,1,bf16,2.00,2.68,1,[-0.99,0.99]
acos_p1_s1_uniform_any_ulp.csv,acos,poly,1,1,bf16,42.00,1.69,1,[-0.99,0.99]
