Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1132    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1135    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1142    0.1 %         UpdateKVCacheOperation                         0         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1145    0.2 %         SliceDeviceOperation                           1         1 μs         15 μs      8                                                       BF16 => BF16
 1147    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1153    0.2 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1158    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1161    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1164    0.1 %         UpdateKVCacheOperation                         2         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1169    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1174    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1175    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1179    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1184    0.1 %         TypecastDeviceOperation                        2         1 μs          7 μs      8                                                       BF16 => BFP8
 1190    0.1 %         UpdateKVCacheOperation                         0         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1192    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1196    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1201    0.2 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1206    0.1 %         UpdateKVCacheOperation                         0         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1208    0.1 %         TypecastDeviceOperation                        2         1 μs          7 μs      8                                                       BF16 => BFP8
 1212    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1218    0.2 %         SliceDeviceOperation                           0         1 μs         15 μs      8                                                       BF16 => BF16
 1222    0.2 %         SliceDeviceOperation                           0         1 μs         11 μs      8                                                       BF16 => BF16
 1226    0.1 %         TypecastDeviceOperation                        0         1 μs          9 μs      8                                                       BF16 => BFP8
 1230    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1233    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1236    0.1 %         UpdateKVCacheOperation                         2         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1242    0.3 %         SliceDeviceOperation                           0         1 μs         20 μs      8                                                       BF16 => BF16
 1243    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1249    0.2 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1252    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1257    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1262    0.1 %         UpdateKVCacheOperation                         0         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1265    0.2 %         SliceDeviceOperation                           1         1 μs         16 μs      8                                                       BF16 => BF16
 1269    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1271    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1277    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1280    0.1 %         TypecastDeviceOperation                        2         1 μs          7 μs      8                                                       BF16 => BFP8
 1283    0.1 %         UpdateKVCacheOperation                         3         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1290    0.2 %         SliceDeviceOperation                           0         1 μs         15 μs      8                                                       BF16 => BF16
 1294    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
 1297    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1302    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1303    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1307    0.1 %         UpdateKVCacheOperation                         3         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1311    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1317    0.2 %         SliceDeviceOperation                           1         1 μs         13 μs      8                                                       BF16 => BF16
 1320    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
