# PROVENANCE: every wall of the 2026-09-12 campaign (p100a, fw 19.9.0, tt-metal 72620d5 kernels; R1e rows on the fresh build f3fbc8984f0) priced by ttsim/perf/roofline_sdpa.py of branch mvlahovic/sdpa_revamp; measured = zones-off device wall (mean of invocations 1 and 2) or DEVICE KERNEL DURATION median for decode; model/refit_r2_fit.py
kind,label,regime,block,set,measured_cycles,model_cycles,err_pct,steps_wall_core,flags
prefill,MLA nh16 S1024,mla,R1a,fit,2640221,3051533,15.58,27.0,stream_residual_fit
prefill,MLA nh16 S4096,mla,R1a,fit,37137796,37263964,0.34,330.0,stream_residual_fit
prefill,MLA nh32 S2048,mla,R1a,fit,19315356,19197994,-0.61,170.0,stream_residual_fit
prefill,sparse T8192 TOPK1024,sparse,R1a,fit,8603386,8603761,0.0,152,regime_sparse;wall_only_fit
prefill,sparse T8192 TOPK2048,sparse,R1a,fit,16081570,16127532,0.29,304,regime_sparse;wall_only_fit
prefill,sparse T16384 TOPK2048,sparse,R1a,fit,16172522,16127532,-0.28,304,regime_sparse;wall_only_fit
prefill,sparse T32768 TOPK2048,sparse,R1a,holdout,16155094,16127532,-0.17,304,regime_sparse;wall_only_fit
prefill,joint N4096 L333 d128,joint,R1a,fit,8578988,8577400,-0.02,81.0,regime_joint;wall_only_fit
prefill,joint N4096 L333 d64,joint,R1a,fit,4532419,4532536,0.0,81.0,regime_joint;wall_only_fit
prefill,production S1024 q64 g64,production,T2.4,fit,468469,468466,-0.0,68.0,off_calibration_chunk;off_calibration_fidelity;off_calibration_exp_mode;legacy_path_production_family
prefill,production S2048 q256 g64,production,T2.4,pred,1072058,1056718,-1.43,18.0,off_calibration_fidelity;off_calibration_exp_mode;legacy_path_production_family
prefill,production S4096 q256 g64,production,T2.4,fit,3983028,3983024,-0.0,68.0,off_calibration_fidelity;off_calibration_exp_mode;legacy_path_production_family
prefill,production S8192 q256 g64,production,T2.4,pred,15392503,15453100,0.39,264.0,off_calibration_fidelity;off_calibration_exp_mode;legacy_path_production_family
prefill,production S4096 q256 g110,production,T2.4,pred,3019747,2987992,-1.05,51.0,off_calibration_fidelity;off_calibration_exp_mode;legacy_path_production_family
prefill,anchor repeat start,causal,R1d,repeat,2559756,2563224,0.14,165.0,
prefill,anchor repeat mid,causal,R1d,repeat,2561014,2563224,0.09,165.0,
prefill,anchor repeat end,causal,R1d,repeat,2563848,2563224,-0.02,165.0,
prefill,production S4096 g64 repeat,production,R1d,repeat,3982135,3983024,0.02,68.0,off_calibration_fidelity;off_calibration_exp_mode;legacy_path_production_family
prefill,hold-out causal S2048 q64 k64,causal,R1c,holdout,1286729,1283062,-0.28,165.0,off_calibration_chunk
prefill,hold-out causal all bf16,causal,R1c,holdout,4458372,4419927,-0.86,165.0,off_calibration_dtype
prefill,hold-out causal batch 2 nh16,causal,R1c,holdout,2562633,2563224,0.02,165.0,
prefill,causal head_dim 64,causal,R1c,fit,1416986,1416976,-0.0,165.0,
prefill,hold-out causal HiFi4,causal,R1c,holdout,2842621,2563224,-9.83,165.0,off_calibration_fidelity
prefill,hold-out causal LoFi,causal,R1c,holdout,2529248,2563224,1.34,165.0,off_calibration_fidelity
prefill,hold-out causal MHA nh16,causal,R1c,holdout,1401709,1539094,9.8,99.0,
prefill,hold-out causal S512 q64 k64,causal,R1c,holdout,132298,142554,7.75,18.0,off_calibration_chunk
