label,tag,group,causal,q_chunk,k_chunk,fidelity,cores,active_cores,FPU_COUNTER_mean,FPU_COUNTER_wall,SFPU_COUNTER_mean,SFPU_COUNTER_wall,MATH_COUNTER_mean,MATH_COUNTER_wall,wall_mp_mean,wall_cores,STEP_N_wall,m_fpu,m_sfpu,m_union,m_floor,m_wall,m_overlap,m_steps,m_steps_wc,m_fpu_matmul,m_fpu_overhead,m_sfpu_exp,m_sfpu_reduce,m_sfpu_recip,m_sfpu_ovh,kernel_path,qct,kct,dct,Q,K,K_eff,kt_per_chunk,steps,exp_tiles,exp_tiles_untrunc,tile_macs,tile_macs_untrunc,qtile_steps,ktile_steps,qtiles,rescale_qtiles,cpt,steps_wc,chunks_wc,FPU_COUNTER_wall_scaled_model,SFPU_COUNTER_wall_scaled_model,MATH_COUNTER_wall_scaled_model,hidden,o_meas,r_meas,fpu_per_tilemac_trunc,fpu_per_tilemac_untrunc,fpu_refit,fpu_alt_untrunc,fpu_alt_perstep,fpu_alt_frac,sfpu_refit,sfpu_free,union_refit,math_unmod_basis,fpu_refit_wall,sfpu_refit_wall,union_refit_wall
causal q128 k128,t21_causal_q128k128_zon_mp,grid1,True,128,128,HiFi2,110,110,724507.9272727272,778280.0,304463.12727272726,327060.0,903538.3227272728,971106.0,2587074.5,"[(2, 3), (1, 4)]",165.0,712193,309688,852327,882327,2563224,0.5475,153.6,165.0,629146,83047,226572,18432,633,64051,streaming,4,4,8,9.309090909090909,32,16.5,66.0,153.6,2457.6,2457.6,19660.8,19660.8,614.4,614.4,37.236363636363635,577.1636363636363,32.0,165.0,10,765051.07421875,332672.65625,915585.64453125,125432.7318181817,0.4119800415300323,0.17312817030222075,36.85037878787879,36.85037878787879,724318.295677934,723223.270061656,713304.2142375312,706048.057702046,305463.2271579382,306850.5957480535,876044.9645782306,876957.1227272728,778076.2941852807,328134.3260485664,941063.9267930213
causal q128 k256,t21_causal_q128k256_zon_mp,grid1,True,128,256,HiFi2,110,110,693527.2727272727,745000.0,236841.8909090909,254420.0,809603.6045454545,869827.0,2602114.0,"[(1, 3), (14, 3)]",85.0,733775,271200,856493,886493,2640809,0.5475,79.12727272727273,85.0,648211,85564,228076,9495,633,32996,streaming,4,8,8,9.309090909090909,16,8.5,66.0,79.12727272727273,2457.6,2532.072727272727,19660.8,20256.581818181818,316.5090909090909,614.4,37.236363636363635,279.27272727272725,32.0,85.0,10,788234.86328125,291328.125,920060.83984375,120765.55909090908,0.5098994887575171,0.174132386482802,35.27462121212121,34.237132352941174,693104.8259280792,702230.2003886274,703009.980592607,706048.057702046,241076.21674527397,238868.7735594087,787069.5433701182,784159.0421771551,744546.1997274288,258968.5922068373,845484.8610421192
causal q128 k512,t21_causal_q128k512_zon_mp,grid1,True,128,512,HiFi2,110,110,678930.6181818182,729320.0,203031.27272727274,218100.0,764050.0454545454,820596.5,2733823.5,"[(2, 3), (2, 3)]",45.0,776938,261810,895407,925407,2795980,0.5475,41.89090909090909,45.0,686341,90597,238681,5027,633,17469,streaming,4,16,8,9.309090909090909,8,4.5,66.0,41.89090909090909,2457.6,2681.018181818182,19660.8,21448.145454545454,167.56363636363636,614.4,37.236363636363635,130.3272727272727,32.0,45.0,10,834601.3671875,281241.2109375,961862.98828125,117911.84545454546,0.580757062055823,0.17367289424995203,34.53219696969697,31.65451388888889,677498.0910531519,720821.3688188952,697862.863770145,706048.057702046,208882.71153894183,204877.8624650863,742581.8327660622,739141.0142781051,727781.152498503,224385.72528597267,797695.3281666684
causal q64 k128,t21_causal_q64k128_zon_mp,grid1,True,64,128,HiFi2,110,110,714528.5818181818,767560.0,308614.9818181818,331520.0,1022566.1954545454,1098464.0,4958820.5,"[(2, 3), (2, 3)]",330.0,789578,373739,1127812,1157812,5123547,0.09499999999999997,307.2,330.0,629146,160432,226572,18432,633,128102,streaming,2,4,8,18.618181818181817,32,16.5,65.0,307.2,2420.363636363636,2457.6,19362.90909090909,19660.8,614.4,1210.181818181818,37.236363636363635,577.1636363636363,32.0,330.0,20,848179.4921875,401477.44140625,1211516.796875,577.3681818181649,0.0018708365304128916,0.0008080407089510681,36.90192307692308,36.34280303030303,714319.196976133,723223.270061656,724050.1263219315,695350.3598580755,310192.66143992136,310988.04725129815,1024511.8584160544,1022566.1954545454,767335.0748767054,333214.77303116553,1100549.847907871
causal q256 k128,t21_causal_q256k128_zon_mp,grid1,True,256,128,HiFi2,110,110,747035.9272727272,962976.0,310420.94545454544,400152.0,880067.1636363636,1133855.0,1985872.5,"[(1, 2), (1, 2)]",102.0,693910,286077,758635,788635,1750772,0.7737499999999999,79.12727272727273,102.0,648211,45699,233457,18991,633,32996,streaming,8,4,8,4.654545454545454,32,17.0,68.0,79.12727272727273,2532.072727272727,2532.072727272727,20256.581818181818,20256.581818181818,633.0181818181818,316.5090909090909,37.236363636363635,595.7818181818182,32.0,102.0,6,894493.359375,368771.1328125,977927.9296875,177389.709090909,0.5714489041039402,0.23745806943786749,36.87867647058823,36.87867647058823,746267.3349409016,745139.126730191,723981.8702091185,727443.4533899868,310921.36514142714,312706.81941295456,859194.6477808207,852659.4422815812,961985.236447256,400797.07225262094,1107555.6006549643
causal q512 k128,t21_causal_q512k128_zon_mp,grid1,True,512,128,HiFi2,110,110,792091.9272727272,1361408.0,327251.7818181818,562464.0,913716.6,1570500.5,2720246.5,"[(5, 3), (11, 2)]",72.0,713623,285437,745913,775913,2470484,0.886875,41.89090909090909,72.0,686341,27282,247227,20108,633,17469,streaming,16,4,8,2.327272727272727,32,18.0,72.0,41.89090909090909,2681.018181818182,2681.018181818182,21448.145454545454,21448.145454545454,670.2545454545455,167.56363636363636,37.236363636363635,633.0181818181818,32.0,72.0,4,1226539.53125,490594.84375,1282037.96875,205627.109090909,0.6283452696528131,0.259600056522365,36.93055555555556,36.93055555555556,790165.413466837,788970.8400672611,760778.5326196791,770234.2447658684,327172.8990986075,329251.8740849812,897215.5132420033,884655.835935653,1358096.8043961262,562328.4203257316,1542089.1633846932
causal q512 k512,t21_causal_q512k512_zon_mp,grid1,True,512,512,HiFi2,110,110,738806.6909090909,1269824.0,217288.14545454545,373464.0,791664.1136363635,1361708.0,1946333.5,"[(2, 2), (6, 2)]",18.0,713623,248708,741758,771758,1822484,0.886875,10.472727272727273,18.0,686341,27282,238681,5027,633,4367,streaming,16,16,8,2.327272727272727,8,4.5,72.0,10.472727272727273,2681.018181818182,2681.018181818182,21448.145454545454,21448.145454545454,167.56363636363636,167.56363636363636,37.236363636363635,130.3272727272727,32.0,18.0,4,1226539.53125,427466.875,1274896.5625,164430.7227272729,0.7567404212655043,0.22256257929248485,34.44618055555556,34.44618055555556,737492.6832639572,720821.3688188952,756435.6528007267,770234.2447658684,223021.44295647007,218927.77316969028,755064.7973155351,764558.3116525017,1267565.5493599265,383318.1050814329,1297767.620386076
non-causal q128 k128,t21_noncausal_q128k128_zon_mp,grid1,False,128,128,HiFi2,110,110,1403661.9636363636,1507840.0,597085.0909090909,641400.0,1689364.5227272727,1824972.0,3041182.5,"[(1, 4), (4, 2)]",320.0,1381222,600608,1573417,1603417,2944835,0.6799999999999999,297.8909090909091,320.0,1220161,161061,440007,35747,633,124221,streaming,4,4,8,9.309090909090909,32,32.0,128.0,297.8909090909091,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,1191.5636363636363,1191.5636363636363,37.236363636363635,1154.3272727272727,32.0,320.0,10,1483734.5703125,645184.375,1690194.04296875,311382.531818182,0.5215044497997546,0.22183584074010682,36.8125,36.8125,1404738.5128299324,1402614.826786242,1383377.8700364241,1369305.3240282105,591818.8780142934,594509.5322496685,1627813.5312263686,1608448.8272727272,1508996.449329029,635742.9353669168,1748627.8167470756
non-causal q128 k256,t21_noncausal_q128k256_zon_mp,grid1,False,128,256,HiFi2,110,110,1340509.0909090908,1440000.0,461842.61818181816,496120.0,1524489.4863636363,1658327.0,2981286.5,"[(4, 2), (4, 2)]",160.0,1381222,510495,1544580,1574580,3023740,0.6799999999999999,148.94545454545454,160.0,1220161,161061,429879,17873,633,62110,streaming,4,8,8,9.309090909090909,16,16.0,128.0,148.94545454545454,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,595.7818181818182,1191.5636363636363,37.236363636363635,558.5454545454545,32.0,160.0,10,1483734.5703125,548383.30078125,1659216.796875,277862.22272727266,0.6016383326016134,0.20728111775716143,35.15625,35.15625,1342311.5733302229,1321845.083084475,1362789.402746576,1369305.3240282105,463044.85718896484,458545.88787237887,1452999.6425200044,1447214.3103140914,1441936.2604133254,497411.46768345835,1560839.4597382862
non-causal q128 k512,t21_noncausal_q128k512_zon_mp,grid1,False,128,512,HiFi2,110,110,1308932.6545454545,1406080.0,394221.38181818184,423480.0,1431284.1772727272,1547526.0,3226825.5,"[(4, 2), (4, 2)]",80.0,1381222,465440,1530163,1560163,3201216,0.6799999999999999,74.47272727272727,80.0,1220161,161061,424815,8937,633,31055,streaming,4,16,8,9.309090909090909,8,8.0,128.0,74.47272727272727,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,297.8909090909091,1191.5636363636363,37.236363636363635,260.6545454545454,32.0,80.0,10,1483734.5703125,499984.375,1643729.78515625,271869.8590909091,0.6896375276171544,0.2077034736254783,34.328125,34.328125,1311098.1035803682,1281460.2112335914,1352495.1691016518,1369305.3240282105,398657.84677630063,390564.0656837341,1365592.698166822,1355829.2609256827,1408406.165955474,428245.7338417292,1466945.281233891
